道具id	对应副本id	生效时长（s）	对应奖励
string	int	int	string
ItemId	DungeonId	RewardBoxIcon	RewardItemId
item210110321001	1032	604800	item8103015110401,1
item210110321002	1032	604800	item8103015110407,2
item210110321003	1032	604800	item8103015110403,1
item210110321004	1032	604800	item8103015110412,1
item210110321005	1032	604800	item8103015110406,1
item210110321006	1032	604800	item8103010121003,60
item210110321007	1032	604800	item8103010121004,20
item210110321008	1032	604800	item8103010121005,5
item210110321009	1032	604800	item8103010121006,2
item210110321010	1032	604800	item8103010111018,5
item210110321011	1032	604800	item8103010111019,1
item210110321012	1032	604800	item8103010111020,1
item210110321013	1032	604800	item8103010132101,1
item210110321014	1032	604800	item8103010132111,1
item210110321015	1032	604800	item8103010132201,1
item210110321016	1032	604800	item8103010132211,1
item210110321017	1032	604800	item8103015110302,4
item210110321018	1032	604800	item8103015110303,6
item210110321019	1032	604800	item8103015110415,2
item210110321020	1032	604800	item8103015110416,3
item210110321021	1032	604800	item8103015110409,6
item210110321022	1032	604800	item8103015110408,4
item210110321023	1032	604800	item8101020503004,1
item210110321024	1032	604800	item8101020503032,1
item210110321025	1032	604800	item8101020503037,1
item210110321026	1032	604800	item8101020503033,1
item210110321027	1032	604800	item8101020503056,1
item210110321028	1032	604800	item8101020503044,1
item210110321029	1032	604800	item8101020503045,1
item210110321030	1032	604800	item8101020503046,1
item210110321031	1032	604800	item8101020503047,1
item210110321032	1032	604800	item8101020503048,1
item210110321033	1032	604800	item100000000000,10
item210110321034	1032	604800	item100000000001,10
item210110321035	1032	604800	item107999900002,25
item210110321036	1032	604800	item100500000001,50
item210110321037	1032	604800	item8119100000002,2
item210110321038	1032	604800	item119100000003,2
item210110321039	1032	604800	item8106210200001,25
item210110321040	1032	604800	item170000120020,200
item210110321041	1032	604800	item107300000001,50
item210110321042	1032	604800	item107300000002,20
item210110321043	1032	604800	item107200042001,30
item210110321044	1032	604800	item107200043001,30
item210110321045	1032	604800	item107200051001,10
item210110321046	1032	604800	item107200052001,5
item210110321047	1032	604800	item107200053001,5
item210110321048	1032	604800	item8101040101101,1
item210110321049	1032	604800	item8101040101104,1
item210110321050	1032	604800	item8101040101107,1
item210110321051	1032	604800	item8101040101110,1
item210110321052	1032	604800	item8101040101113,1
item210110321053	1032	604800	item8101040101102,1
item210110321054	1032	604800	item8101040101105,1
item210110321055	1032	604800	item8101040101108,1
item210110321056	1032	604800	item8101040101111,1
item210110321057	1032	604800	item8101040101114,1
item210110321058	1032	604800	item8101040101103,1
item210110321059	1032	604800	item8101040101106,1
item210110321060	1032	604800	item8101040101109,1
item210110321061	1032	604800	item8101040101112,1
item210110321062	1032	604800	item8101040101115,1
item210210321063	1032	604800	item103015110401,1
item210210321064	1032	604800	item103015110407,2
item210210321065	1032	604800	item103015110403,1
item210210321066	1032	604800	item103015110412,1
item210210321067	1032	604800	item103015110406,1
item210210321068	1032	604800	item103010121003,60
item210210321069	1032	604800	item103010121004,20
item210210321070	1032	604800	item103010121005,5
item210210321071	1032	604800	item103010121006,2
item210210321072	1032	604800	item103010111018,5
item210210321073	1032	604800	item103010111019,1
item210210321074	1032	604800	item103010111020,1
item210210321075	1032	604800	item103010132101,1
item210210321076	1032	604800	item103010132111,1
item210210321077	1032	604800	item103010132201,1
item210210321078	1032	604800	item103010132211,1
item210210321079	1032	604800	item103015110302,4
item210210321080	1032	604800	item103015110303,6
item210210321081	1032	604800	item103015110415,2
item210210321082	1032	604800	item103015110416,3
item210210321083	1032	604800	item103015110409,6
item210210321084	1032	604800	item103015110408,4
