推送id（不可重复）	功能id	功能标记位（范围1-63不可重复）	推送周期	推送标题	客户端推送id	推送内容	推送提前时间（分钟）	判断是否加入公会	判定公会等级	语言类型
int	int	int	string	string	int	string	int	bool	int	string
Id	FunctionId	FuncFlag	PushInterval	PushName	ClientPushId	PushContent	PushTimeAdvance	EnterGuildTag	GuildLevel	LanguageType
4001	57	1	0;1;2;3;4;5;6	公会盛宴即将开始	10001	公会大餐已经准备好了,5分钟后大家就可以入席享用了哦!	5	1	1	
4002	3	2	0;1;2;3;4;5;6	世界Boss来袭	10002	5分钟后魔王即将降临大陆,开始备战,我的勇士!	5	0	0	
4003	14	3	1	巅峰决斗即将开启	10003	巅峰角斗，谁能称王?5分钟后等待你的加入!	5	0	0	
4005	74	5	0;3;6	结界守卫战即将开启	10005	强大的魔王正在突破公会结界,防护罩只能支撑5分钟,火速救援!	5	1	2	
4006	106	6	0;2;4	圣杯争夺战即将开启	10006	圣杯争夺战即将开启，留给你的时间只有5分钟,是兄弟,跟我走!	5	0	0	
4007	2025	7	3;5	圣杯争夺战即将开启	10006	圣杯争夺战即将开启，留给你的时间只有5分钟,是兄弟,跟我走!	5	0	0	
4008	141	8	6	学院考试复试即将开启	10007	学院考试复试5分钟后即将开始啦！	5	0	0	
4009	122	9	1;3;5	遗迹夺宝报名即将开启	10008	遗迹夺宝还有5分钟即可报名，快来一展身手！	5	0	0	
4010	159	10	3;5	王者之塔即将开放	10010	王者之塔即将在5分钟后开放，快来和伙伴组队，目标——登顶王者之颠！	5	0	0	
4011	158	11	2;4	公会联赛即将开启	10011	公会联赛还有5分钟即将开始，为了公会的荣誉，全力一搏！	5	1	0	
4012	162	12	6	公会猎场即将开放	10012	公会猎场即将在5分钟后开放，做好准备，战斗一触即发！	5	1	0	
4013	453	13	0	灵魂矿场即将开放	10013	灵魂矿场将在5分钟后开放，做好准备，战斗一触即发！	5	0	0	
