流水	纹章ID	随机插槽数	插槽数权重	随机属性条数	属性条数权重
int	string	int	int	int	int
Id	BadgeId	HoleNum	HoleRate	PropNum	PropRate
1	item171001010101	0	3000	0	0
2	item171001010101	1	4000	1	7000
3	item171001010101	2	3000	2	3000
4	item171001010101	3	0	3	0
5	item171001010101	4	0	4	0
6	item171001010101	5	0	5	0
7	item171001010101	6	0	6	0
8	item171001010101	7	0	7	0
9	item171001010101	8	0	8	0
10	item171001010101	9	0	9	0
11	item171001010101	10	0	10	0
12	item171001010102	0	3000	0	0
13	item171001010102	1	4000	1	7000
14	item171001010102	2	3000	2	3000
15	item171001010102	3	0	3	0
16	item171001010102	4	0	4	0
17	item171001010102	5	0	5	0
18	item171001010102	6	0	6	0
19	item171001010102	7	0	7	0
20	item171001010102	8	0	8	0
21	item171001010102	9	0	9	0
22	item171001010102	10	0	10	0
23	item171001010103	0	3000	0	0
24	item171001010103	1	4000	1	7000
25	item171001010103	2	3000	2	3000
26	item171001010103	3	0	3	0
27	item171001010103	4	0	4	0
28	item171001010103	5	0	5	0
29	item171001010103	6	0	6	0
30	item171001010103	7	0	7	0
31	item171001010103	8	0	8	0
32	item171001010103	9	0	9	0
33	item171001010103	10	0	10	0
34	item171001010201	0	3000	0	0
35	item171001010201	1	4000	1	7000
36	item171001010201	2	3000	2	3000
37	item171001010201	3	0	3	0
38	item171001010201	4	0	4	0
39	item171001010201	5	0	5	0
40	item171001010201	6	0	6	0
41	item171001010201	7	0	7	0
42	item171001010201	8	0	8	0
43	item171001010201	9	0	9	0
44	item171001010201	10	0	10	0
45	item171001010202	0	3000	0	0
46	item171001010202	1	4000	1	7000
47	item171001010202	2	3000	2	3000
48	item171001010202	3	0	3	0
49	item171001010202	4	0	4	0
50	item171001010202	5	0	5	0
51	item171001010202	6	0	6	0
52	item171001010202	7	0	7	0
53	item171001010202	8	0	8	0
54	item171001010202	9	0	9	0
55	item171001010202	10	0	10	0
56	item171001010203	0	3000	0	0
57	item171001010203	1	4000	1	7000
58	item171001010203	2	3000	2	3000
59	item171001010203	3	0	3	0
60	item171001010203	4	0	4	0
61	item171001010203	5	0	5	0
62	item171001010203	6	0	6	0
63	item171001010203	7	0	7	0
64	item171001010203	8	0	8	0
65	item171001010203	9	0	9	0
66	item171001010203	10	0	10	0
67	item171001020101	0	900	0	0
68	item171001020101	1	2000	1	5000
69	item171001020101	2	2600	2	3000
70	item171001020101	3	3000	3	2000
71	item171001020101	4	1500	4	0
72	item171001020101	5	0	5	0
73	item171001020101	6	0	6	0
74	item171001020101	7	0	7	0
75	item171001020101	8	0	8	0
76	item171001020101	9	0	9	0
77	item171001020101	10	0	10	0
78	item171001020102	0	900	0	0
