装备ID	类型	占用负重	基础属性库	BUFF品质	基础BUFF	BUFF评分	附加属性条数区间	附加属性展示库	洗练道具消耗	洗练货币消耗	洗练返还万分比
string	int	int	int	string	string	string	string	string	string	string	int
EquipId	Type	Weight	PropId	BuffRare	BuffId	CPValue	EnvoyEquipNum	PropShow	UseItem	UseMoney	UseRate
envoyequip5001	1	120	1001	4;4	skill125007::buff_01;skill125008::buff_01	1000;1000	4,6	501010;501020;500030;500040;500050;500060	item18000000000011,3	1,80000	6000
envoyequip5002	2	120	1001	4;4	skill125009::buff_01;skill125010::buff_01	1000;1000	4,6	502010;502020;500030;500040;500050;500060	item18000000000011,3	1,80000	6000
envoyequip5003	3	120	1001	4;4	skill125003::buff_01;skill125004::buff_01	1000;1000	4,6	503010;503020;500030;500040;500050;500060	item18000000000011,3	1,80000	6000
envoyequip5004	4	120	1001	4;4	skill125001::buff_01;skill125002::buff_01	1000;1000	4,6	504010;504020;500030;500040;500050;500060	item18000000000011,3	1,80000	6000
envoyequip5005	5	120	1001	4;4	skill125005::buff_01;skill125006::buff_01	1000;1000	4,6	505010;505020;500030;500040;500050;500060	item18000000000011,3	1,80000	6000
envoyequip5006	6	120	1001	4;4	skill125011::buff_01;skill125012::buff_01	1000;1000	4,6	506010;506020;500030;500040;500050;500060	item18000000000011,3	1,80000	6000
envoyequip4001	1	80	1002	4	skill125008::buff_01	1000	3,5	401010;400020;400030;400040;400050	item18000000000011,1	1,60000	6000
envoyequip4002	2	80	1002	4	skill125010::buff_01	1000	3,5	402010;400020;400030;400040;400050	item18000000000011,1	1,60000	6000
envoyequip4003	3	80	1002	4	skill125004::buff_01	1000	3,5	403010;400020;400030;400040;400050	item18000000000011,1	1,60000	6000
envoyequip4004	4	80	1002	4	skill125002::buff_01	1000	3,5	404010;400020;400030;400040;400050	item18000000000011,1	1,60000	6000
envoyequip4005	5	80	1002	4	skill125006::buff_01	1000	3,5	405010;400020;400030;400040;400050	item18000000000011,1	1,60000	6000
envoyequip4006	6	80	1002	4	skill125012::buff_01	1000	3,5	406010;400020;400030;400040;400050	item18000000000011,1	1,60000	6000
envoyequip3001	8	15	1003				3,4	300010;301020;300030;300040	item18000000000003,3	1,40000	6000
envoyequip3002	2	15	1003				3,4	300010;302020;300030;300040	item18000000000003,3	1,40000	6000
envoyequip3003	7	15	1003				3,4	300010;303020;300030;300040	item18000000000003,3	1,40000	6000
envoyequip3004	9	15	1003				3,4	300010;304020;300030;300040	item18000000000003,3	1,40000	6000
envoyequip3005	10	15	1013				3,4	300010;305020;300130;300030	item18000000000003,3	1,40000	6000
envoyequip3006	5	15	1013				3,4	300010;306020;300130;300040	item18000000000003,3	1,40000	6000
envoyequip3007	6	15	1013				3,4	300010;307020;300130;300030	item18000000000003,3	1,40000	6000
envoyequip3008	1	15	1013				3,4	300010;308020;300130;300040	item18000000000003,3	1,40000	6000
envoyequip3009	4	15	1023				3,4	300010;309020;300130;300030	item18000000000003,3	1,40000	6000
envoyequip3010	3	15	1023				3,4	300010;310020;300130;300040	item18000000000003,3	1,40000	6000
envoyequip2001	8	0	1004				2,3	201010;200020;200030	item18000000000003,1	1,20000	6000
envoyequip2002	2	0	1004				2,3	202010;200020;200030	item18000000000003,1	1,20000	6000
envoyequip2003	9	0	1004				2,3	203010;200020;200030	item18000000000003,1	1,20000	6000
envoyequip2004	7	0	1014				2,3	204010;200020;200030	item18000000000003,1	1,20000	6000
envoyequip2005	10	0	1014				2,3	205010;200020;200030	item18000000000003,1	1,20000	6000
envoyequip2006	5	0	1014				2,3	206010;200020;200030	item18000000000003,1	1,20000	6000
envoyequip2007	6	0	1014				2,3	207010;200020;200030	item18000000000003,1	1,20000	6000
envoyequip2008	1	0	1024				2,3	208010;200120;200020	item18000000000003,1	1,20000	6000
envoyequip2009	3	0	1024				2,3	209010;200120;200030	item18000000000003,1	1,20000	6000
envoyequip2010	4	0	1024				2,3	210010;200120;200130	item18000000000003,1	1,20000	6000
