流水	印记id	等级	基础属性	升级消耗道具数量	升级消耗货币类型	升级消耗货币
int	string	int	string	int	int	int
Id	ImprintId	Level	BaseProp	Consume	CurrencyType	CurrencyCost
1	item127000065103	1	279,1200000	2	1	10000
2	item127000065103	2	279,1680000	3	1	50000
3	item127000065103	3	279,2040000	4	1	100000
4	item127000065103	4	279,2400000	5	1	200000
5	item127000065103	5	279,2760000	6	1	300000
6	item127000065103	6	279,3120000	7	1	500000
7	item127000065103	7	279,3360000	8	1	800000
8	item127000065103	8	279,3600000	9	1	1000000
9	item127000065103	9	279,3720000	10	1	1500000
10	item127000065103	10	279,3840000	0	0	0
11	item127000065104	1	281,120000	2	1	10000
12	item127000065104	2	281,168000	3	1	50000
13	item127000065104	3	281,204000	4	1	100000
14	item127000065104	4	281,240000	5	1	200000
15	item127000065104	5	281,276000	6	1	300000
16	item127000065104	6	281,312000	7	1	500000
17	item127000065104	7	281,336000	8	1	800000
18	item127000065104	8	281,360000	9	1	1000000
19	item127000065104	9	281,372000	10	1	1500000
20	item127000065104	10	281,384000	0	0	0
21	item127000065105	1	285,120000	2	1	10000
22	item127000065105	2	285,168000	3	1	50000
23	item127000065105	3	285,204000	4	1	100000
24	item127000065105	4	285,240000	5	1	200000
25	item127000065105	5	285,276000	6	1	300000
26	item127000065105	6	285,312000	7	1	500000
27	item127000065105	7	285,336000	8	1	800000
28	item127000065105	8	285,360000	9	1	1000000
29	item127000065105	9	285,372000	10	1	1500000
30	item127000065105	10	285,384000	0	0	0
31	item127000065106	1	283,120	2	1	10000
32	item127000065106	2	283,168	3	1	50000
33	item127000065106	3	283,204	4	1	100000
34	item127000065106	4	283,240	5	1	200000
35	item127000065106	5	283,276	6	1	300000
36	item127000065106	6	283,312	7	1	500000
37	item127000065106	7	283,336	8	1	800000
38	item127000065106	8	283,360	9	1	1000000
39	item127000065106	9	283,372	10	1	1500000
40	item127000065106	10	283,384	0	0	0
41	item127000065107	1	284,120	2	1	10000
42	item127000065107	2	284,168	3	1	50000
43	item127000065107	3	284,204	4	1	100000
44	item127000065107	4	284,240	5	1	200000
45	item127000065107	5	284,276	6	1	300000
46	item127000065107	6	284,312	7	1	500000
47	item127000065107	7	284,336	8	1	800000
48	item127000065107	8	284,360	9	1	1000000
49	item127000065107	9	284,372	10	1	1500000
50	item127000065107	10	284,384	0	0	0
51	item127000065108	1	287,120	2	1	10000
52	item127000065108	2	287,168	3	1	50000
53	item127000065108	3	287,204	4	1	100000
54	item127000065108	4	287,240	5	1	200000
55	item127000065108	5	287,276	6	1	300000
56	item127000065108	6	287,312	7	1	500000
57	item127000065108	7	287,336	8	1	800000
58	item127000065108	8	287,360	9	1	1000000
59	item127000065108	9	287,372	10	1	1500000
60	item127000065108	10	287,384	0	0	0
61	item127000065109	1	288,120	2	1	10000
62	item127000065109	2	288,168	3	1	50000
63	item127000065109	3	288,204	4	1	100000
64	item127000065109	4	288,240	5	1	200000
65	item127000065109	5	288,276	6	1	300000
66	item127000065109	6	288,312	7	1	500000
67	item127000065109	7	288,336	8	1	800000
68	item127000065109	8	288,360	9	1	1000000
69	item127000065109	9	288,372	10	1	1500000
70	item127000065109	10	288,384	0	0	0
71	item127000065110	1	289,120	2	1	10000
72	item127000065110	2	289,168	3	1	50000
73	item127000065110	3	289,204	4	1	100000
74	item127000065110	4	289,240	5	1	200000
75	item127000065110	5	289,276	6	1	300000
76	item127000065110	6	289,312	7	1	500000
77	item127000065110	7	289,336	8	1	800000
78	item127000065110	8	289,360	9	1	1000000
79	item127000065110	9	289,372	10	1	1500000
80	item127000065110	10	289,384	0	0	0
81	item127000065111	1	279,1200000;281,120000	2	1	10000
82	item127000065111	2	279,1680000;281,168000	3	1	50000
83	item127000065111	3	279,2040000;281,204000	4	1	100000
84	item127000065111	4	279,2400000;281,240000	5	1	200000
