精炼道具库编号	最小可用等级	最大可用等级	可用部位类型	获取途径
int	int	int	int	string
RefineBoxID	MinUsableLevel	MaxUsableLevel	UsablePartType	GainWay
1	0	9	2	35;1701;1502::item8103010111018
2	10	19	2	35;1701;1502::item8103010111018
3	20	29	2	35;1701;1502::item8103010111018
4	30	39	2	35;1701;1502::item8103010111018
5	40	49	2	35;1701;1502::item8103010111018
6	50	99	2	35;1701;1502::item8103010111018
7	0	9	3	35;1701;1502::item8103010111018
8	10	19	3	35;1701;1502::item8103010111018
9	20	29	3	35;1701;1502::item8103010111018
10	30	39	3	35;1701;1502::item8103010111018
11	40	49	3	35;1701;1502::item8103010111018
12	50	99	3	35;1701;1502::item8103010111018
13	0	9	4	35;1701;1502::item8103010111018
14	10	19	4	35;1701;1502::item8103010111018
15	20	29	4	35;1701;1502::item8103010111018
16	30	39	4	35;1701;1502::item8103010111018
17	40	49	4	35;1701;1502::item8103010111018
18	50	99	4	35;1701;1502::item8103010111018
19	0	9	1	35;1701;1502::item8103010111018
20	10	19	1	35;1701;1502::item8103010111018
21	20	29	1	35;1701;1502::item8103010111018
22	30	39	1	35;1701;1502::item8103010111018
23	40	49	1	35;1701;1502::item8103010111018
24	50	99	1	35;1701;1502::item8103010111018
