条件ID	条件类型	条件参数
int	int	string
Id	Type	Param
1	2	100250,0,5
2	3	monster_xschg1_002,1,24
3	2	100700,0,4
16	6	3,0
23	5	
52	2	1020060,0,3
53	2	1020060,1,3
54	2	1020110,0,3
55	2	1020170,0,3
68	2	1020170,1,3
66	2	1020160,1,3
95	2	1030030,0,3
96	2	1030080,0,3
97	2	1030080,1,3
98	2	1030080,2,3
99	2	1030150,0,3
100	2	1030180,2,3
101	2	1030180,3,3
102	2	1030220,0,3
103	2	1030230,1,3
104	2	1020130,0,3
129	2	10200010,3,5
130	2	10200020,0,5
181	2	10200020,1,3
131	2	10200040,0,5
132	2	10200080,1,5
133	2	10300010,0,5
189	2	10300010,1,3
134	2	10200080,0,5
135	2	10200070,0,5
183	2	10200080,0,3
136	2	10200080,1,3
137	2	10200260,1,3
138	2	10200260,2,3
139	2	10200010,6,3
140	2	10200040,1,3
143	2	10300130,1,3
144	2	10300180,2,3
145	2	10300180,3,3
146	2	10300180,4,3
147	2	10400040,1,3
148	2	10400040,2,3
149	2	10400040,3,3
150	2	10400120,2,3
151	2	10300020,0,5
188	2	10300030,1,3
152	2	10300030,1,5
153	2	10300380,0,5
154	2	10300070,0,5
155	2	10300120,1,5
156	2	10300130,2,5
185	2	10300140,1,3
157	2	10300150,0,5
158	2	10300160,4,5
186	2	10300160,5,3
159	2	10300180,1,5
160	2	10300170,0,5
190	2	10300180,1,3
161	2	10300180,4,5
187	2	10300190,1,3
162	2	10300190,1,5
163	2	10400120,2,5
164	2	10400060,5,5
165	2	10400070,1,5
166	2	10400120,2,5
167	2	10400130,0,5
168	2	10400130,1,5
177	2	10200100,0,5
178	2	510300,1,3
182	2	10200088,1,3
215	2	10200090,1,3
216	2	10200090,1,5
217	2	506040,3,3
224	2	506060,5,3
225	2	506090,3,3
226	2	7010020,1,3
227	2	7010020,2,3
228	2	7010020,3,3
229	2	7010030,2,3
230	2	7010040,2,3
231	2	7010070,2,3
232	2	7010080,2,3
233	2	7010120,3,3
234	2	7010120,4,3
235	2	7020050,0,3
236	2	7020080,0,3
237	2	7020090,1,3
238	2	7020090,3,3
239	2	7020140,2,3
240	2	7030090,2,3
241	2	7030140,7,3
242	2	7040090,1,3
243	2	7040090,2,3
244	2	7040120,3,3
245	2	7040120,4,3
246	2	7040120,5,3
247	2	7050030,2,3
248	2	7050040,1,3
253	2	7050040,3,3
249	2	7050070,3,3
250	2	7050070,4,3
251	2	7050130,0,3
252	2	7050130,1,3
254	2	7060060,2,3
255	2	7060060,3,3
256	2	7060060,4,3
257	2	7060060,5,3
258	2	7060140,1,3
45	13	
169	14	
196	9	
33	1	1,10
34	1	1,20
35	11	item106030101002,5
5	4	0
114	13	0
6	3	monster30000180,1,1
11	3	monster30000161,1,1
12	3	monster30000162,1,1
13	3	monster30000163,1,1
15	16	1
7	10	monster30000180
19	3	monster30000104,1,1
20	3	monster30000107,1,1
86	3	monster30000108,1,1
87	3	monster30000110,1,1
88	3	monster30000113,1,1
89	3	monster30000114,1,1
90	3	monster30000115,1,1
91	7	monster30000161,2,25
92	7	monster30000162,2,25
93	7	monster30000163,2,25
94	7	monster30000163,2,75
4	3	monster30100180,1,1
9	3	monster30100161,1,1
64	3	monster30100162,1,1
65	3	monster30100163,1,1
18	16	1
31	10	monster30100180
32	3	monster30100104,1,1
56	3	monster30100107,1,1
57	3	monster30100108,1,1
58	3	monster30100110,1,1
14	3	monster30100113,1,1
17	3	monster30100114,1,1
26	3	monster30100115,1,1
60	7	monster30100161,2,25
61	7	monster30100162,2,25
62	7	monster30100163,2,25
63	7	monster30100163,2,75
75	3	monster30000282,1,1
76	16	1
77	10	monster30000260
78	10	monster30000280
79	3	monster30000208,1,2
80	3	monster30000280,1,1
81	3	monster30000260,1,1
82	3	monster30000281,3,1
83	10	monster30000282
84	3	monster30000205,3,12
85	12	monster30000280,skill20132,1,1
220	16	6
21	3	monster30100282,1,1
22	16	1
30	10	monster30100260
36	10	monster30100280
37	3	monster30100208,1,2
38	16	4
222	3	monster30100280,1,1
39	3	monster30100260,1,1
40	3	monster30100281,3,1
221	3	monster30100283,3,1
41	10	monster30100282
42	3	monster30100205,3,12
44	12	monster30100280,skill20132_01,1,1
219	16	6
70	3	monster30000380,1,1
71	3	monster30000360,1,1
72	3	monster30000361,1,1
73	10	monster30000360
74	10	monster30000380
43	3	monster30100380,1,1
46	3	monster30100360,1,1
47	3	monster30100361,1,1
48	10	monster30100360
49	10	monster30100380
184	16	3
193	3	monster30000480,1,1
194	7	monster30000406,5,70
195	7	monster30000406,5,40
8	16	3
10	3	monster30100480,1,1
191	7	monster30100406,5,70
192	7	monster30100406,5,15
27	3	monster30100660,1,1
28	3	monster30100680,1,1
106	3	monster30100780,1,1
108	3	monster30100771,1,1
111	3	monster30100772,1,1
112	3	monster30100773,1,1
115	3	monster30100774,1,1
260	3	monster35000380,1,1
261	3	monster35000360,1,1
262	3	monster35000361,1,1
263	10	monster35000360
264	10	monster35000380
265	3	monster35000282,1,1
266	16	1
267	10	monster35000260
268	10	monster35000280
269	3	monster35000208,1,2
270	16	4
271	3	monster35000280,1,1
272	3	monster35000260,1,1
273	3	monster35000281,3,1
274	3	monster35000283,3,1
275	10	monster35000282
276	3	monster35000205,3,12
277	12	monster35000280,skill20132_01,1,1
278	16	6
59	3	monster10000015,3,1
69	3	monster33000300,3,1
105	3	monster33001300,3,1
109	3	monster33002300,3,1
110	3	monster33003300,3,1
122	3	monster33004300,3,1
123	3	monster33100300,3,1
124	3	monster33101300,3,1
125	3	monster33102300,3,1
170	3	monster33103300,3,1
171	3	monster33104300,3,1
172	3	monster33200300,3,1
173	3	monster33201300,3,1
174	3	monster33202300,3,1
175	3	monster33203300,3,1
176	3	monster33204300,3,1
113	16	1
202	12	monster31000101,skill200020,1,1
203	12	monster31000110,skill200020,1,1
117	7	monster31000160,2,20
118	3	monster31000160,3,1
119	3	monster31000180,3,1
120	17	finish_dungeon350011
279	16	1
280	12	monster31100101,skill200026,1,1
281	12	monster31100110,skill200026,1,1
282	7	monster31100160,2,20
283	3	monster31100160,3,1
284	3	monster31100180,3,1
285	17	finish_dungeon350013
126	6	3,0
223	3	monster31000281,3,1
24	3	monster31000380,3,1
25	3	monster31000381,3,1
50	3	monster31000480,3,1
51	3	monster31000481,3,1
67	17	arrived_door_avalon
29	3	monster31000581,3,1
116	3	monster31100581,3,1
127	3	monster31000681,3,1
1001	3	monster31000783,3,1
286	3	monster24000000,3,1
287	3	monster24000003,3,1
288	3	monster24000004,3,1
289	3	monster24000002,3,4
290	2	4020301,1,5
197	12	monster34000314,skill30417_11,1,1
198	3	monster34000360,1,1
199	3	monster34000361,1,1
200	10	monster34000360
201	10	monster34000380
204	12	monster34000282,skill80202,1,1
205	16	1
206	10	monster34000260
207	10	monster34000280
208	3	monster34000208,1,2
209	3	monster34000280,1,1
210	3	monster34000260,1,1
211	3	monster34000281,3,1
212	10	monster34000282
