层数	怪物id	层数名字	层数	单人进入解锁条件	组队进入解锁条件	组队大厅目标可见条件	等级	通关展示奖励	首通展示奖励	UI界面模型倍数	UI界面模型位置	UI界面模型角度	组队大厅链接	特效角度	推荐评分	概要	背景图	按钮底图框	按钮底图装饰
int	string	string	int	int	int	int	int	string	string	float	string	float	int	string	int	string	string	string	string
Id	MonsterId	LevelName	Level	SingleCondition	MultiCondition	TeamHallCondition	OpenLevel	RewardDisplay	FirstRewardDisplay	AvatarZoom	AvatarLocation	AvatarAngle	TeamHall	EffectAngle	RecommendGrade	OutlineDesc	BackgroundPicture	ButtonFrame	ButtonFrameDecorate
1	monster18100001	LevelName1	1	0	0	0	18	item2001,6000;item1000,5000;item107220020001,1;item107999900001,2	item107000020202,2	1.600000	0;0.05;0	0.000000	1	-91.3,-31.7,0	3500	OutlineDesc1	cubebeijingtu1	cubebtn4	cubebtndecorate4
2	monster18100002	LevelName1	2	1	0	0	18	item2001,8000;item1000,5000;item107220020002,1;item107999900001,2	item107000020301,1	0.500000	0;0;0	0.000000	1	-91.3,-31.7,0	4500	OutlineDesc1	cubebeijingtu1	cubebtn4	cubebtndecorate4
3	monster18100003	LevelName1	3	2	0	0	20	item2001,10000;item1000,5000;item107220020004,1;item107220020003,1;item107999900001,2	item107000020101,1	0.900000	0;0;0	0.000000	1	-91.3,-31.7,0	5500	OutlineDesc1	cubebeijingtu1	cubebtn4	cubebtndecorate4
4	monster18100004	LevelName1	4	3	0	0	20	item2001,12000;item1000,5000;item107200041001,1;item107220020006,1;item107220020005,1;item107999900001,3	item107000020201,1	0.900000	0;0;0	0.000000	1	-91.3,-31.7,0	7000	OutlineDesc1	cubebeijingtu1	cubebtn4	cubebtndecorate4
5	monster18100005	LevelName1	5	4	0	0	20	item2001,14000;item1000,5000;item107000041302,1;item107200041001,1;item107220020007,1;item107999900001,4	item107000020302,1	0.700000	0;0;0	0.000000	1	-91.3,-31.7,0	13000	OutlineDesc1	cubebeijingtu1	cubebtn4	cubebtndecorate4
6	monster18100006	LevelName1	6	5	0	0	20	item2001,20000;item1000,5000;item107220020009,1;item107200041001,2;item107220020008,1;item107999900001,5	item107000030301,1	0.400000	0;0;0	0.000000	1	-91.3,-31.7,0	16000	OutlineDesc1	cubebeijingtu1	cubebtn4	cubebtndecorate4
7	monster18100007	LevelName2	1	6	6	6	25	item2001,10000;item1000,10000;item107220020010,1;item107999900001,2	item107999900001,10	0.850000	0;0.1;0	0.000000	7	-145.3,177.41,182.8	14000	OutlineDesc2	cubebeijingtu2	cubebtn5	cubebtndecorate5
8	monster18100008	LevelName2	2	7	6	6	25	item2001,12000;item1000,10000;item107220020012,1;item107220020011,1;item107999900001,2	item107999900001,10	0.600000	0;0.1;0	0.000000	7	-145.3,177.41,182.8	15000	OutlineDesc2	cubebeijingtu2	cubebtn5	cubebtndecorate5
9	monster18100009	LevelName2	3	8	6	6	25	item2001,14000;item1000,10000;item107220020014,1;item107220020013,1;item107999900001,2	item107000030201,1	0.450000	0;0;0	0.000000	7	-145.3,177.41,182.8	17500	OutlineDesc2	cubebeijingtu2	cubebtn5	cubebtndecorate5
10	monster18100010	LevelName2	4	9	6	6	25	item2001,16000;item1000,10000;item107200041001,1;item107220020016,1;item107220020015,1;item107999900001,3	item107000030102,1	0.900000	0;0;0	0.000000	7	-145.3,177.41,182.8	21500	OutlineDesc2	cubebeijingtu2	cubebtn5	cubebtndecorate5
