固定ID	六维id	职业天赋ID	属性ID	六维转化战力
int	int	int	string	int
Id	SixDimensions	Talent	Props	ChangePower
10001	0	1011	37,1;21,0.25;22,0.1	1
10002	0	1012	37,1;21,0.25;22,0.1	1
10003	0	1021	37,1;21,0.25;22,0.1	1
10004	0	1022	37,1;21,0.25;22,0.1	1
10005	0	1031	37,1;21,0.25;22,0.1	1
10006	0	1032	37,1;21,0.25;22,0.1	1
10007	0	1041	37,1;21,0.25;22,0.1	1
10008	0	1042	37,1;21,0.25;22,0.1	1
10009	0	1051	37,1;21,0.25;22,0.1	1
10010	0	1052	37,1;21,0.25;22,0.1	1
10011	0	1061	37,1;21,0.25;22,0.1	1
10012	0	1062	37,1;21,0.25;22,0.1	1
10013	1	1011	51,0.35;23,0.15;25,0.05	1
10014	1	1012	51,0.35;23,0.15;25,0.05	1
10015	1	1021	51,0.3;23,0.1;25,0.05	1
10016	1	1022	51,0.3;23,0.1;25,0.05	1
10017	1	1031	51,0.3;23,0.05;25,0.05	1
10018	1	1032	51,0.3;23,0.05;25,0.05	1
10019	1	1041	51,0.35;23,0.15;25,0.05	1
10020	1	1042	51,0.35;23,0.15;25,0.05	1
10021	1	1051	51,0.3;23,0.05;25,0.05	1
10022	1	1052	51,0.3;23,0.05;25,0.05	1
10023	1	1061	51,0.35;23,0.15;25,0.05	1
10024	1	1062	51,0.35;23,0.15;25,0.05	1
10025	2	1011	52,0.4;24,0.05;26,0.1	1
10026	2	1012	52,0.4;24,0.05;26,0.1	1
10027	2	1021	52,0.45;24,0.1;26,0.2	1
10028	2	1022	52,0.45;24,0.1;26,0.2	1
10029	2	1031	52,0.4;24,0.05;26,0.05	1
10030	2	1032	52,0.4;24,0.05;26,0.05	1
10031	2	1041	52,0.45;24,0.1;26,0.2	1
10032	2	1042	52,0.45;24,0.1;26,0.2	1
10033	2	1051	52,0.4;24,0.05;26,0.15	1
10034	2	1052	52,0.4;24,0.05;26,0.15	1
10035	2	1061	52,0.4;24,0.05;26,0.15	1
10036	2	1062	52,0.4;24,0.05;26,0.15	1
10037	3	1011	3,0.4;23,0.1;25,0.05	1
10038	3	1012	3,0.4;23,0.1;25,0.05	1
10039	3	1021	3,0.45;23,0.05;25,0.15	1
10040	3	1022	3,0.45;23,0.05;25,0.15	1
10041	3	1031	3,0.45;23,0.05;25,0.15	1
10042	3	1032	3,0.45;23,0.05;25,0.15	1
10043	3	1041	3,0.4;23,0.05;25,0.15	1
10044	3	1042	3,0.4;23,0.05;25,0.15	1
10045	3	1051	3,0.45;23,0.05;25,0.15	1
10046	3	1052	3,0.45;23,0.05;25,0.15	1
10047	3	1061	3,0.4;23,0.05;25,0.15	1
10048	3	1062	3,0.4;23,0.05;25,0.15	1
10049	4	1011	4,0.45;24,0.2;26,0.1	1
10050	4	1012	4,0.45;24,0.2;26,0.1	1
10051	4	1021	4,0.4;24,0.1;26,0.05	1
10052	4	1022	4,0.4;24,0.1;26,0.05	1
10053	4	1031	4,0.45;24,0.2;26,0.1	1
10054	4	1032	4,0.45;24,0.2;26,0.1	1
10055	4	1041	4,0.4;24,0.15;26,0.05	1
10056	4	1042	4,0.4;24,0.15;26,0.05	1
10057	4	1051	4,0.4;24,0.15;26,0.05	1
10058	4	1052	4,0.4;24,0.15;26,0.05	1
10059	4	1061	4,0.4;24,0.15;26,0.05	1
10060	4	1062	4,0.4;24,0.15;26,0.05	1
10061	5	1011	1,4;21,0.15;22,0.2	1
10062	5	1012	1,4;21,0.15;22,0.2	1
10063	5	1021	1,4;21,0.15;22,0.2	1
10064	5	1022	1,4;21,0.15;22,0.2	1
10065	5	1031	1,4;21,0.15;22,0.2	1
10066	5	1032	1,4;21,0.15;22,0.2	1
10067	5	1041	1,4;21,0.15;22,0.2	1
10068	5	1042	1,4;21,0.15;22,0.2	1
10069	5	1051	1,4.5;21,0.15;22,0.2	1
10070	5	1052	1,4.5;21,0.15;22,0.2	1
10071	5	1061	1,4.5;21,0.15;22,0.2	1
10072	5	1062	1,4.5;21,0.15;22,0.2	1
