流水	精灵	幻化为初始模型的消耗	幻化贴图	幻化消耗	序号	染色模型倍数	染色界面模型位置	幻化后的icon	染色界面模型角度（左大模型）	染色界面模型角度（右小模型）	特效修改颜色	常驻美术特效
int	string	string	string	string	int	float	string	string	float	float	string	string
Id	Fairy	DiscoloInitialCost	DiscolourAvatar	DiscolouCost	Index	AvatarZoom	AvatarLocation	DiscolourIcon	AvatarAngle	AvatarAngle1	EffectColor	PermanentEffect
1	ride_101		r001|body|r001_body_t2	item101040101046,3	1	1.000000	0;0.1;0	r001_portrait02	150.000000	150.000000		
2	ride_101		r001|body|r001_body_t4	item101040101044,2;item101040101045,1	2	1.000000	0;0.1;0	r001_portrait03	150.000000	150.000000		
3	pet_101		m001|body|m001_body_t3	item101040101044,2;item101040101046,1	1	1.400000		m001_portrait03	150.000000	150.000000		
4	pet_101		m001|body|m001_body_t4	item101040101045,2;item101040101046,1	2	1.400000		m001_portrait04	150.000000	150.000000		
5	pet_111		m015|body|m015_body_t2	item101040101044,3	1	1.500000	0;-0.55;0	m015_portrait02	150.000000	150.000000		
6	pet_111		m015|body|m015_body_t3	item101040101044,2;item101040101046,1	2	1.500000	0;-0.55;0	m015_portrait03	150.000000	150.000000		
7	pet_111		m015|body|m015_body_t4	item101040101043,3	3	1.500000	0;-0.55;0	m015_portrait04	150.000000	150.000000		
8	pet_121		m014|body|m014_body_t3	item101040101044,2;item101040101046,1	1	1.600000	0;0.75;0	m014_portrait03	150.000000	150.000000		
9	pet_121		m014|body|m014_body_t4	item101040101045,2;item101040101046,1	2	1.600000	0;0.75;0	m014_portrait04	150.000000	150.000000		
10	pet_131		m904|body|m904_body_t3	item101040101044,3;item101040101045,2	1	1.000000		m904_portrait03	150.000000	150.000000		
11	pet_131		m904|body|m904_body_t4	item101040101045,5	2	1.000000		m904_portrait04	150.000000	150.000000		
12	pet_141		m908|body|m908_body_t3	item101040101044,3;item101040101045,2	1	0.750000		m908_portrait03	150.000000	150.000000		
13	pet_141		m908|body|m908_body_t4	item101040101046,5	2	0.750000		m908_portrait04	150.000000	150.000000		
14	baby_101		m005|body|m005_body_t2	item101040101044,2;item101040101045,1	1	1.600000		m005_portrait02	150.000000	150.000000		
15	baby_101		m005|body|m005_body_t3	item101040101044,2;item101040101046,1	2	1.600000		m005_portrait03	150.000000	150.000000		
16	baby_101		m005|body|m005_body_t4	item101040101042,1;item101040101043,2	3	1.600000		m005_portrait04	150.000000	150.000000		
17	baby_111		m021|body|m021_body_t2	item101040101044,2;item101040101046,1	1	1.600000		m021_portrait02	150.000000	150.000000		
18	baby_111		m021|body|m021_body_t3	item101040101044,2;item101040101046,1	2	1.600000		m021_portrait03	150.000000	150.000000		
19	baby_111		m021|body|m021_body_t4	item101040101045,3	3	1.600000		m021_portrait04	150.000000	150.000000		
20	baby_121		m002|body|m002_body_t2	item101040101045,2;item101040101046,1	1	1.400000	0;0.05;0	m002_portrait02	150.000000	150.000000		
21	baby_121		m002|body|m002_body_t3	item101040101044,2;item101040101046,1	2	1.400000	0;0.05;0	m002_portrait03	150.000000	150.000000		
22	baby_121		m002|body|m002_body_t4	item101040101044,2;item101040101045,1	3	1.400000	0;0.05;0	m002_portrait04	150.000000	150.000000		
23	baby_131		m003|body|m003_body_t3	item101040101044,2;item101040101046,1	1	1.500000	0;0.1;0	m003_portrait03	150.000000	150.000000		
24	baby_131		m003|body|m003_body_t4	item101040101046,3	2	1.500000	0;0.1;0	m003_portrait04	150.000000	150.000000		
25	pet_196		m906|body|m906_body_t3	item101040101042,10	1	0.400000		m906_portrait03	150.000000	150.000000		
26	pet_194		m907|body|m907_body_t3	item101040101044,5;item101040101046,5	1	0.800000	0;-0.35;0	m907_portrait03	150.000000	150.000000		
27	pet_198		m911|body|m911_body_t3	item101040101042,10	1	0.800000	0;-0.1;0	m911_portrait03	150.000000	150.000000		
28	ride_124		r012|body|r012_body_t2|parta|r012_parta_t1|partb|r012_partb_t1	item101040101046,5	1	0.900000		r012_portrait02	150.000000	150.000000		
29	ride_124		r012|body|r012_body_t3|parta|r012_parta_t1|partb|r012_partb_t1	item101040101044,3;item101040101045,2	2	0.900000		r012_portrait03	150.000000	150.000000		
30	ride_164		r050|body|r050_body_t3	item130010000002,12	1	0.550000	0;-0.1;0	r050_portrait01	150.000000	150.000000	141,0,526	
31	ride_164		r050|body|r050_body_t4	item130010000002,36	2	0.550000	0;-0.1;0	r050_portrait01	150.000000	150.000000		41000791
32	ride_164		r050|body|r050_body_t5	item130010000002,36	3	0.550000	0;-0.1;0	r050_portrait01	150.000000	150.000000		41000792
33	ride_166		r052|body|r052_body_t2|parta|r052_parta_t2|partb|r052_partb_t2|partc|r052_partc_t2|partd|r052_partd_t2	item130010000002,36	1	0.500000	0;-0.7;0	r052_portrait01	150.000000	150.000000		41000793,41000794,41000795,41000796
34	ride_166		r052|body|r052_body_t3|parta|r052_parta_t3|partb|r052_partb_t3|partc|r052_partc_t3|partd|r052_partd_t3	item130010000002,36	2	0.500000	0;-0.7;0	r052_portrait01	150.000000	150.000000		41000797,41000798,41000799,41000800
35	ride_129		r001|body|r001_body_t5	item130010000002,2	1	1.000000	0;0.1;0	r001_portrait05	150.000000	150.000000		
36	ride_129		r001|body|r001_body_t6	item130010000002,2	2	1.000000	0;0.1;0	r001_portrait05	150.000000	150.000000		
37	ride_173		r056|body|r056_body_t2	item130010000002,2	1	0.800000	0;-0.1;0	r056_portrait01	150.000000	150.000000		
38	ride_173		r056|body|r056_body_t3	item130010000002,2	2	0.800000	0;-0.1;0	r056_portrait01	150.000000	150.000000		
39	ride_173		r056|body|r056_body_t4	item130010000002,2	3	0.800000	0;-0.1;0	r056_portrait01	150.000000	150.000000		
40	ride_117		r008|body|r008_body_t3	item130010000002,2	1	0.550000	0;-0.2;0	r008_portrait01	150.000000	150.000000		
41	ride_117		r008|body|r008_body_t4	item130010000002,2	2	0.550000	0;-0.2;0	r008_portrait01	150.000000	150.000000		
42	ride_117		r008|body|r008_body_t5	item130010000002,2	3	0.550000	0;-0.2;0	r008_portrait01	150.000000	150.000000		
