流水	魔法属性品质	魔法属性等级	魔法属性潜力值	生命值	能量值	攻击力	防御力	生命回复	能量回复	生命值百分比	攻击力百分比	防御力百分比	速度百分比	命中等级	闪避等级	暴击等级	暴抗等级	暴伤等级	韧性等级	移动速度	附加狂怒率	攻击速度	附加命中率	附加闪避率	附加暴击率	附加暴抗率	附加暴伤倍率	附加暴伤抗率	伤害加深	伤害减免	加强眩晕	眩晕抗性	加强沉默	沉默抗性	加强定身	定身抗性	加强中毒	中毒抗性	加强恐惧	恐惧抗性	加强减速	减速抗性	冰系精通	毒系精通	火系精通	冰系抵抗	毒系抵抗	火系抵抗	远程物理系精通	近战物理系精通	套装所需装备降低
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	float	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
Id	MagicQuality	MagicLv	PotentialValue	HPMAX	SPMAX	ATT	DEF	HPRG	SPRG	HPPER	ATTPER	DEFPER	SPDPER	HIT	DOD	CRI	RES	CDG	CDGDEF	SPD	RAGE	ATTSPD	HITRATE	DODRATE	CRIRATE	RESRATE	CDGRATE	CDDRATE	DIC	DRD	STUNINC	STUNRES	SILINC	SILRES	ROOTINC	ROOTRES	POIINC	POIRES	FEARINC	FEARRES	SLOWINC	SLOWRES	ICEDIN	POIDIN	FIREDIN	ICEDRE	POIDRE	FIREDRE	RMPHYDIN	MLPHYDIN	SUITRED
1	2	1	10	100	0	10	10	0	0	0	0	0	0	33	33	33	33	33	33	0.000000	0	0	0	0	0	0	0	0	0	0	5	5	5	5	5	5	0	0	5	5	5	5	0	0	0	0	0	0	0	0	0
2	2	2	20	140	0	14	14	0	0	0	0	0	0	46	46	46	46	46	46	0.000000	0	0	0	0	0	0	0	0	0	0	7	7	7	7	7	7	0	0	7	7	7	7	0	0	0	0	0	0	0	0	0
3	2	3	30	180	0	18	18	0	0	0	0	0	0	60	60	60	60	60	60	0.000000	0	0	0	0	0	0	0	0	0	0	9	9	9	9	9	9	0	0	9	9	9	9	0	0	0	0	0	0	0	0	0
4	2	4	40	220	0	22	22	0	0	0	0	0	0	73	73	73	73	73	73	0.000000	0	0	0	0	0	0	0	0	0	0	11	11	11	11	11	11	0	0	11	11	11	11	0	0	0	0	0	0	0	0	0
5	2	5	50	260	0	26	26	0	0	0	0	0	0	86	86	86	86	86	86	0.000000	0	0	0	0	0	0	0	0	0	0	13	13	13	13	13	13	0	0	13	13	13	13	0	0	0	0	0	0	0	0	0
6	2	6	60	300	0	30	30	0	0	0	0	0	0	100	100	100	100	100	100	0.000000	0	0	0	0	0	0	0	0	0	0	15	15	15	15	15	15	0	0	15	15	15	15	0	0	0	0	0	0	0	0	0
7	2	7	70	340	0	34	34	0	0	0	0	0	0	113	113	113	113	113	113	0.000000	0	0	0	0	0	0	0	0	0	0	17	17	17	17	17	17	0	0	17	17	17	17	0	0	0	0	0	0	0	0	0
8	2	8	80	380	0	38	38	0	0	0	0	0	0	126	126	126	126	126	126	0.000000	0	0	0	0	0	0	0	0	0	0	19	19	19	19	19	19	0	0	19	19	19	19	0	0	0	0	0	0	0	0	0
9	2	9	90	420	0	42	42	0	0	0	0	0	0	140	140	140	140	140	140	0.000000	0	0	0	0	0	0	0	0	0	0	21	21	21	21	21	21	0	0	21	21	21	21	0	0	0	0	0	0	0	0	0
10	2	10	100	460	0	46	46	0	0	0	0	0	0	153	153	153	153	153	153	0.000000	0	0	0	0	0	0	0	0	0	0	23	23	23	23	23	23	0	0	23	23	23	23	0	0	0	0	0	0	0	0	0
11	2	11	110	500	0	50	50	0	0	0	0	0	0	166	166	166	166	166	166	0.000000	0	0	0	0	0	0	0	0	0	0	27	27	27	27	27	27	0	0	27	27	27	27	0	0	0	0	0	0	0	0	0
12	2	12	120	540	0	54	54	0	0	0	0	0	0	179	179	179	179	179	179	0.000000	0	0	0	0	0	0	0	0	0	0	29	29	29	29	29	29	0	0	29	29	29	29	0	0	0	0	0	0	0	0	0
13	2	13	130	580	0	58	58	0	0	0	0	0	0	192	192	192	192	192	192	0.000000	0	0	0	0	0	0	0	0	0	0	31	31	31	31	31	31	0	0	31	31	31	31	0	0	0	0	0	0	0	0	0
