场景ID	场景类型	是否可发送组队邀请	场景类型	副本类型	小地图倍数	小地图左右偏移	小地图上下偏移	开启等级	能否使用坐骑	区域组	地图名字	最小等级	最大等级	每条线最大人数限制	背景音	探索的奖励	场景描述	副本初始任务	摄像机设置2.5D	摄像机设置3D	最长挑战时间	场景名字显示	主界面显示的活动按钮	开启场景任务	是否可以托管	评分限制	是否自动追踪任务	视野同步距离	是否回归默认镜头	场景中心点	是否有白天黑夜	小岛场景亮度设置	是否允许星之子觉醒	是否允许召唤使者	是否允许召唤元素灵	场景复活时间
int	string	bool	int	int	float	int	int	int	int	int	string	int	int	int	int	string	string	int	int	int	int	float	string	int	bool	int	bool	int	int	vector2	int	int	int	int	int	int
Id	Script	TeamInvite	SceneType	Type	MapMultiple	MapDeviationX	MapDeviationY	OpenLevel	CanRide	Group	MapName	MixLevel	MaxLevel	LinePeopleMaxNum	BgSound	ExploreReward	SceneDes	InitTask	Camera2	Camera3	MaxChallengeTime	SceneNameShow	DisplayActivityButton	OpenTaskId	CanTrustee	CombatPowerLimit	IsAutoTrackTask	VisualRange	IsdefaultCamera	SceneCenter	EnvironmentValid	SceneLightIntensity	StarchildAwake	EnvoyAwake	ElementalAwake	ReviveCDTime
4	FieldScene	1	1	0	2.200000	1	20	1	1	1	MapName4	1	109	125	8	item102000010004	SceneDes4	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
1	FieldScene	1	1	0	2.400000	20	30	1	1	1	MapName1	1	109	125	24	item102000010002	SceneDes1	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
2	MainScene	1	0	0	2.150000	-20	15	1	1	1	MapName2	1	109	125	2			0	1	2	0	2.000000	3;14	11100190	1	0		20	0		1	1	1	1	1	0
3	FieldScene	1	1	0	3.000000	10	30	1	1	1	MapName3	1	109	125	4	item102000010003	SceneDes3	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
5	FieldScene	1	1	0	2.800000	10	5	1	1	1	MapName5	1	109	125	9	item102000010005	SceneDes5	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
6	FieldScene	1	1	0	2.100000	-20	0	1	1	1	MapName6	1	109	125	35	item102000010006	SceneDes6	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
7	FieldScene	1	1	0	2.600000	-30	-20	1	1	1	MapName7	1	109	125	37	item102000010007	SceneDes7	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
8	FieldScene	1	1	0	2.050000	1	10	1	1	1	MapName8	1	109	100	34	item102000010008	SceneDes8	0	1	2	0	2.000000	3;14	0	1	0		20	0	0,-20	0	1	0	0	0	0
9	FieldScene	1	1	0	2.400000	1	1	1	1	1	MapName9	1	109	100	39	item102000010009	SceneDes9	0	1	2	0	2.000000	3;14	0	1	0		20	0		1	1	0	0	0	0
10	FieldScene	1	1	0	1.000000	1	1	999	1	2	MapName10	1	109	100	2		SceneDes10	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
11	FieldScene	1	1	0	1.000000	1	1	999	1	2	MapName11	1	109	100	2		SceneDes11	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
12	FieldScene	1	1	0	1.000000	1	1	999	1	3	MapName12	1	109	100	2		SceneDes12	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
13	FieldScene	1	1	0	1.000000	1	1	999	1	3	MapName13	1	109	100	2		SceneDes13	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
18	FieldScene	1	1	0	1.800000	1	1	1	1	1	MapName18	1	109	100	2	item102000010018	SceneDes18	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
20	FieldScene	1	1	0	1.000000	1	1	101	1	3	MapName20	1	109	100	2		SceneDes20	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
21	FieldScene	1	1	0	1.000000	1	1	999	1	3	MapName21	1	109	100	2		SceneDes21	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
22	FieldScene	1	1	0	1.000000	1	1	999	1	3	MapName22	1	109	100	2		SceneDes22	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
23	CrossEntryScene	1	52	0	2.000000	1	1	1	1	1	MapName23	1	109	120	2		SceneDes23	0	1	2	0	2.000000	3;14	810200	1	0		20	0		1	1	0	0	0	0
24	FieldScene	1	1	0	1.000000	1	1	999	1	3	MapName24	1	109	100	2		SceneDes24	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
25	FieldScene	1	1	0	1.000000	1	1	999	1	3	MapName25	1	109	100	2		SceneDes25	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
26	FieldScene	1	1	0	1.000000	1	1	999	1	3	MapName26	1	109	100	2		SceneDes26	0	1	2	0	2.000000	3;14	0	1	0		20	0		0	1	0	0	0	0
