编号	魔灵	地点	台词
int	string	string	string
Id	PetID	Place	Dialogue
1	baby_101	Pet_Shangguxiaodao_Place1	Pet_ExploreJournalText_10000
2	baby_101	Pet_Shangguxiaodao_Place2	Pet_ExploreJournalText_10001
3	baby_101	Pet_Shangguxiaodao_Place3	Pet_ExploreJournalText_10002
4	baby_101	Pet_Shangguxiaodao_Place4	Pet_ExploreJournalText_10003
5	baby_101	Pet_Shangguxiaodao_Place5	Pet_ExploreJournalText_10004
6	baby_105	Pet_Shangguxiaodao_Place1	Pet_ExploreJournalText_10000
7	baby_105	Pet_Shangguxiaodao_Place2	Pet_ExploreJournalText_10001
8	baby_105	Pet_Shangguxiaodao_Place3	Pet_ExploreJournalText_10002
9	baby_105	Pet_Shangguxiaodao_Place4	Pet_ExploreJournalText_10003
10	baby_105	Pet_Shangguxiaodao_Place5	Pet_ExploreJournalText_10004
11	baby_121	Pet_Shangguxiaodao_Place1	Pet_ExploreJournalText_10005
12	baby_121	Pet_Shangguxiaodao_Place2	Pet_ExploreJournalText_10006
13	baby_121	Pet_Shangguxiaodao_Place3	Pet_ExploreJournalText_10007
14	baby_121	Pet_Shangguxiaodao_Place4	Pet_ExploreJournalText_10008
15	baby_121	Pet_Shangguxiaodao_Place5	Pet_ExploreJournalText_10009
16	baby_125	Pet_Shangguxiaodao_Place1	Pet_ExploreJournalText_10005
17	baby_125	Pet_Shangguxiaodao_Place2	Pet_ExploreJournalText_10006
18	baby_125	Pet_Shangguxiaodao_Place3	Pet_ExploreJournalText_10007
19	baby_125	Pet_Shangguxiaodao_Place4	Pet_ExploreJournalText_10008
20	baby_125	Pet_Shangguxiaodao_Place5	Pet_ExploreJournalText_10009
21	baby_121	Pet_Shangguxiaodao_Place6	Pet_ExploreJournalText_10010
22	baby_121	Pet_Shangguxiaodao_Place7	Pet_ExploreJournalText_10011
23	baby_121	Pet_Shangguxiaodao_Place8	Pet_ExploreJournalText_10012
24	baby_121	Pet_Shangguxiaodao_Place9	Pet_ExploreJournalText_10013
25	baby_121	Pet_Shangguxiaodao_Place10	Pet_ExploreJournalText_10014
26	baby_125	Pet_Shangguxiaodao_Place6	Pet_ExploreJournalText_10010
27	baby_125	Pet_Shangguxiaodao_Place7	Pet_ExploreJournalText_10011
28	baby_125	Pet_Shangguxiaodao_Place8	Pet_ExploreJournalText_10012
29	baby_125	Pet_Shangguxiaodao_Place9	Pet_ExploreJournalText_10013
30	baby_125	Pet_Shangguxiaodao_Place10	Pet_ExploreJournalText_10014
31	baby_131	Pet_Shangguxiaodao_Place6	Pet_ExploreJournalText_10015
32	baby_131	Pet_Shangguxiaodao_Place7	Pet_ExploreJournalText_10016
33	baby_131	Pet_Shangguxiaodao_Place8	Pet_ExploreJournalText_10017
