编号	类型	分组标签	子标签	排序	是否公会新闻	标题	内容	图标	成就点	奖励	是否可追踪	是否可分享	追踪任务ID	引导行为类型	引导对象	引导场景	引导坐标	是否在成就中隐藏	跳转功能
int	int	int	int	int	bool	string	string	string	int	string	int	int	int	int	string	int	vector3	bool	int
Id	Type	Label	SubLabel	Order	IsGuildNews	AchievementName	AchievementContent	Icon	Points	Reward	IsTrack	IsShare	Task	GuideType	GuideTarget	GuideScene	GuidePos	IsHide	Funcid
1001001	3	1	1	1	0	AchievementName1001001	AchievementContent1001001	achbottom_twosnake01;achframe_circle08;ach1_growup01;achbottom_ribbon01	1	item1000,5000	0	1	0	5	LinkUI:GrowUpPanel;1	0		0	0
1001002	3	1	1	2	0	AchievementName1001002	AchievementContent1001002	achbottom_twosnake01;achframe_circle04;ach1_growup01;achbottom_ribbon01	1	item1000,5000	0	1	0	5	LinkUI:GrowUpPanel;1	0		0	0
1001003	3	1	1	3	1	AchievementName1001003	AchievementContent1001003	achbottom_twosnake01;achframe_circle06;ach1_growup01;achbottom_ribbon01	3	item142000000005,1;item1000,10000	0	1	0	5	LinkUI:GrowUpPanel;1	0		0	0
1001004	3	1	1	4	1	AchievementName1001004	AchievementContent1001004	achbottom_twosnake01;achframe_circle07;ach1_growup01;achbottom_ribbon01	3	item1000,10000	0	1	0	5	LinkUI:GrowUpPanel;1	0		0	0
1001005	3	1	1	5	1	AchievementName1001005	AchievementContent1001005	achbottom_twosnake01;achframe_circle03;ach1_growup01;achbottom_ribbon01	3	item1000,10000	0	1	0	5	LinkUI:GrowUpPanel;1	0		0	0
1001006	3	1	1	6	1	AchievementName1001006	AchievementContent1001006	achbottom_twosnake01;achframe_circle03;ach1_growup01;achbottom_ribbon01	3	item1000,10000	0	1	0	5	LinkUI:GrowUpPanel;1	0		0	0
1001007	3	1	1	7	1	AchievementName1001007	AchievementContent1001007	achbottom_twosnake01;achframe_circle03;ach1_growup01;achbottom_ribbon01	3	item1000,10000	0	1	0	5	LinkUI:GrowUpPanel;1	0		0	0
1001008	3	1	1	8	1	AchievementName1001008	AchievementContent1001008	achbottom_twosnake01;achframe_circle03;ach1_growup01;achbottom_ribbon01	3	item1000,10000	0	1	0	5	LinkUI:GrowUpPanel;1	0		0	0
1001009	3	1	1	9	1	AchievementName1001009	AchievementContent1001009	achbottom_twosnake01;achframe_circle03;ach1_growup01;achbottom_ribbon01	3	item1000,10000	0	1	0	5	LinkUI:GrowUpPanel;1	0		0	0
1001010	3	1	1	10	1	AchievementName1001010	AchievementContent1001010	achbottom_twosnake01;achframe_circle03;ach1_growup01;achbottom_ribbon01	3	item1000,10000	0	1	0	5	LinkUI:GrowUpPanel;1	0		0	0
1002001	4	1	2	1	0	AchievementName1002001	AchievementContent1002001	achbottom_twohorse01;achframe_hexagon08;ach1_growup01;achtop_mogendavid01	1	item1000,5000	0	1	0	5	LinkUI:GrowUpPanel;2	0		0	85
1002002	4	1	2	2	0	AchievementName1002002	AchievementContent1002002	achbottom_twohorse01;achframe_hexagon04;ach1_growup01;achtop_mogendavid01	1	item142000000001,1;item1000,5000	0	1	0	5	LinkUI:GrowUpPanel;2	0		0	85
1002003	4	1	2	3	1	AchievementName1002003	AchievementContent1002003	achbottom_twohorse01;achframe_hexagon06;ach1_growup01;achtop_mogendavid01	3	item141000000050,1;item142000000002,1;item1000,10000	0	1	0	5	LinkUI:GrowUpPanel;2	0		0	85
