ID	功能ID	活动ID	聊天公告内容	显示位置
int	int	int	string	string
Id	Function	ActiveId	NoticeText	NoticeLocal
1	3	0	MSG_Activitynotice1	1,3
2	3	0	MSG_Activitynotice2	1,3
3	3	0	MSG_Activitynotice3	1,3
4	3	0	MSG_Activitynotice4	1,3
100	14	0	MSG_Activitynotice100	1,3
101	14	0	MSG_Activitynotice101	1,3
102	14	0	MSG_Activitynotice102	1,3
103	14	0	MSG_Activitynotice103	1,3
110	159	0	MSG_Activitynotice110	1,3
111	159	0	MSG_Activitynotice111	1,3
112	159	0	MSG_Activitynotice112	1,3
113	159	0	MSG_Activitynotice113	1,3
120	162	0	MSG_Activitynotice120	1,3
121	162	0	MSG_Activitynotice121	1,3
122	162	0	MSG_Activitynotice122	1,3
123	162	0	MSG_Activitynotice123	1,3
200	31	0	MSG_Activitynotice200	1,3
201	31	0	MSG_Activitynotice201	1,3
202	31	0	MSG_Activitynotice202	1,3
300	106	0	MSG_Activitynotice300	1,3
301	106	0	MSG_Activitynotice301	1,3
302	106	0	MSG_Activitynotice302	1,3
303	106	0	MSG_Activitynotice303	1,3
400	95	0	MSG_Activitynotice400	4
401	95	0	MSG_Activitynotice401	4
402	95	0	MSG_Activitynotice402	4
500	105	0	MSG_Activitynotice500	1,3
501	105	0	MSG_Activitynotice501	1,3
502	105	0	MSG_Activitynotice502	1,3
601	141	0	MSG_Activitynotice601	1,3
602	141	0	MSG_Activitynotice602	1,3
700	122	0	MSG_Activitynotice700	1,3
701	122	0	MSG_Activitynotice701	1,3
702	122	0	MSG_Activitynotice702	1,3
703	122	0	MSG_Activitynotice703	1,3
801	252	5305	MSG_Activitynotice801	1,3
802	252	5305	MSG_Activitynotice802	1,3
803	252	5305	MSG_Activitynotice803	1,3
811	259	6705	MSG_Activitynotice811	1,3
812	259	6705	MSG_Activitynotice812	1,3
813	259	6705	MSG_Activitynotice813	1,3
821	270	7203	MSG_Activitynotice821	1,3
822	270	7203	MSG_Activitynotice822	1,3
901	160	0	MSG_Activitynotice901	1,3
902	160	0	MSG_Activitynotice902	1,3
903	160	0	MSG_Activitynotice903	1,3
1001	158	0	MSG_Activitynotice1001	1,3
1002	158	0	MSG_Activitynotice1002	1,3
1003	158	0	MSG_Activitynotice1003	1,3
2310	231	0	MSG_Activitynotice2310	1,3,4
2311	231	0	MSG_Activitynotice2311	1,3,4
2312	231	0	MSG_Activitynotice2312	1,3,4
2313	231	0	MSG_Activitynotice2313	1,3,4
1101	295	0	MSG_Activitynotice1101	1,3
1111	455	26002	MSG_Activitynotice1111	1,3
1112	455	26002	MSG_Activitynotice1112	1,3
