npc编号	可装备信物
string	string
Id	ItemBag
soldier_npc_10001	1000;1001;1002;1003;1004;1005;1006;1007;1012;1013;1014;1015
soldier_npc_10002	1000;1001;1002;1003;1004;1005;1006;1007;1012;1013;1014;1015
soldier_npc_10003	1000;1001;1002;1003;1004;1005;1006;1007;1012;1013;1014;1015
soldier_npc_10004	1000;1001;1002;1003;1004;1005;1006;1007;1012;1013;1014;1015
soldier_npc_10005	1000;1001;1002;1003;1004;1005;1006;1007;1012;1013;1014;1015
soldier_npc_10006	1000;1001;1002;1003;1004;1005;1006;1007;1008;1009;1012;1013;1014;1015;1016;1018
soldier_npc_10007	1000;1001;1002;1003;1004;1005;1006;1007;1008;1009;1012;1013;1014;1015;1016;1019
soldier_npc_10008	1000;1001;1002;1003;1004;1005;1006;1007;1008;1009;1012;1013;1014;1015;1016;1020
soldier_npc_10009	1000;1001;1002;1003;1004;1005;1006;1007;1008;1009;1012;1013;1014;1015;1016;1021
soldier_npc_10010	1000;1001;1002;1003;1004;1005;1006;1007;1008;1009;1012;1013;1014;1015;1016;1022
soldier_npc_10012	1000;1001;1002;1003;1004;1005;1006;1007;1008;1009;1012;1013;1014;1015;1016;1024
soldier_npc_10013	1000;1001;1002;1003;1004;1005;1006;1007;1008;1009;1012;1013;1014;1015;1016;1025
soldier_npc_10014	1000;1001;1002;1003;1004;1005;1006;1007;1008;1009;1012;1013;1014;1015;1016;1026
soldier_npc_10015	1000;1001;1002;1003;1004;1005;1006;1007;1008;1009;1012;1013;1014;1015;1016;1027
soldier_npc_10016	1000;1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1012;1013;1014;1015;1016;1017;1028;1019
soldier_npc_10017	1000;1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1012;1013;1014;1015;1016;1017;1029;1021
soldier_npc_10018	1000;1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1012;1013;1014;1015;1016;1017;1030;1018
soldier_npc_10019	1000;1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1012;1013;1014;1015;1016;1017;1031;1022
soldier_npc_10020	1000;1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1012;1013;1014;1015;1016;1017;1033;1024
soldier_npc_10021	1000;1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1012;1013;1014;1015;1016;1017;1034;1027
soldier_npc_10022	1000;1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1012;1013;1014;1015;1016;1017;1035;1023
soldier_npc_10023	1000;1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1012;1013;1014;1015;1016;1017;1036;1026
soldier_npc_10024	1000;1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1012;1013;1014;1015;1016;1017;1037;1025
soldier_npc_10025	1000;1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1012;1013;1014;1015;1016;1017;1038;1020
soldier_npc_10026	1000;1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1012;1013;1014;1015;1016;1017;1039;1018
soldier_npc_10027	1000;1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1012;1013;1014;1015;1016;1017;1040;1019
soldier_npc_10028	1000;1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1012;1013;1014;1015;1016;1017;1041;1042
soldier_npc_10029	1000;1001;1002;1003;1004;1005;1006;1007;1008;1009;1012;1013;1014;1015;1016;1042
soldier_npc_10030	1000;1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1012;1013;1014;1015;1016;1017;1043;1020
