流水	魔法属性编号	属性等级	BuffID	BUFF描述	Buff等级	潜力值	评分计算类型	评分计算参数
int	int	int	string	string	int	int	int	int
Id	MagicId	Level	BuffId	BUFFstr	BuffLevel	PotentialValue	CPType	CPValue
1	100040	1	equipmagic_shoes::equipmagic_shoes_001		1	40	2	1000
2	100040	2	equipmagic_shoes::equipmagic_shoes_001		2	60	2	1250
3	100040	3	equipmagic_shoes::equipmagic_shoes_001		3	80	2	2250
4	100041	1	equipmagic_pauldrons::equipmagic_pauldrons_001		1	40	2	750
5	100041	2	equipmagic_pauldrons::equipmagic_pauldrons_001		2	60	2	1000
6	100041	3	equipmagic_pauldrons::equipmagic_pauldrons_001		3	80	2	1750
7	100042	1	equipmagic_headdress::Buff_Aura_RES		1	40	2	1000
8	100042	2	equipmagic_headdress::Buff_Aura_RES		2	60	2	1250
9	100042	3	equipmagic_headdress::Buff_Aura_RES		3	80	2	2250
10	100043	1	equipmagic_pants::equipmagic_pants_001		1	40	2	500
11	100043	2	equipmagic_pants::equipmagic_pants_001		2	60	2	750
12	100043	3	equipmagic_pants::equipmagic_pants_001		3	80	2	1250
13	100044	1	equipmagic_armor::equipmagic_armor_001		1	40	2	750
14	100044	2	equipmagic_armor::equipmagic_armor_001		2	60	2	1000
15	100044	3	equipmagic_armor::equipmagic_armor_001		3	80	2	1750
16	100045	1	equipmagic_equip::equipmagic_equip_001		1	40	2	500
17	100045	2	equipmagic_equip::equipmagic_equip_001		2	60	2	750
18	100045	3	equipmagic_equip::equipmagic_equip_001		3	80	2	1250
19	100046	1	equipmagic_equip::equipmagic_equip_002		1	40	2	500
20	100046	2	equipmagic_equip::equipmagic_equip_002		2	60	2	750
21	100046	3	equipmagic_equip::equipmagic_equip_002		3	80	2	1250
22	100047	1	equipmagic_equip::equipmagic_equip_002		1	40	2	500
23	100047	2	equipmagic_equip::equipmagic_equip_002		2	60	2	750
24	100047	3	equipmagic_equip::equipmagic_equip_002		3	80	2	1250
25	100048	1	equipmagic_equip::equipmagic_equip_002		1	40	2	500
26	100048	2	equipmagic_equip::equipmagic_equip_002		2	60	2	750
27	100048	3	equipmagic_equip::equipmagic_equip_002		3	80	2	1250
28	100049	1	equipmagic_equip::equipmagic_equip_002		1	40	2	500
29	100049	2	equipmagic_equip::equipmagic_equip_002		2	60	2	750
30	100049	3	equipmagic_equip::equipmagic_equip_002		3	80	2	1250
31	100050	1	equipmagic_equip::equipmagic_equip_002		1	40	2	500
32	100050	2	equipmagic_equip::equipmagic_equip_002		2	60	2	750
33	100050	3	equipmagic_equip::equipmagic_equip_002		3	80	2	1250
34	100051	1	equipmagic_job00::equipmagic_job00_001		1	40	2	1000
35	100051	2	equipmagic_job00::equipmagic_job00_001		2	60	2	1250
36	100051	3	equipmagic_job00::equipmagic_job00_001		3	80	2	2250
37	100052	1	equipmagic_job00::equipmagic_job00_002		1	40	2	1000
38	100052	2	equipmagic_job00::equipmagic_job00_002		2	60	2	1250
39	100052	3	equipmagic_job00::equipmagic_job00_002		3	80	2	2250
40	100053	1	equipmagic_job00::equipmagic_job00_003		1	40	2	500
41	100053	2	equipmagic_job00::equipmagic_job00_003		2	60	2	750
42	100053	3	equipmagic_job00::equipmagic_job00_003		3	80	2	1250
43	100054	1	equipmagic_job00::equipmagic_job00_004		1	40	2	750
