魔法属性编号	魔法属性名称	魔法属性描述	魔法属性品质	增加属性类型	属性ID	评分计算类型	评分计算参数	售卖价值参数	魔法属性指导价格天数系数	分解魔法属性获得魔法气息	公会圣器回收魔法属性
int	string	string	int	int	int	int	int	string	string	string	string
Id	MagicName	MagicDes	MagicRare	MagicType	PropId	CPType	CPValue	GuidePrice	DayCordon	MagicPrice	GuildMagicCharge
100001	MagicName_100001	MagicDes_100001	2	1	3	1	6	1,2000;2,4000;3,6000;4,8000;5,10000;6,12000;7,14000;8,16000;9,18000;10,20000;11,22000	1,1;31,0.8;61,0.6		1,8;2,16;3,24;4,32;5,40;6,48;7,56;8,64;9,72;10,80;11,88;12,96
100002	MagicName_100002	MagicDes_100002	2	1	4	1	6	1,2000;2,4000;3,6000;4,8000;5,10000;6,12000;7,14000;8,16000;9,18000;10,20000;11,22000	1,1;31,0.8;61,0.6		1,8;2,16;3,24;4,32;5,40;6,48;7,56;8,64;9,72;10,80;11,88;12,96
100003	MagicName_100003	MagicDes_100003	2	1	1	1	6	1,2000;2,4000;3,6000;4,8000;5,10000;6,12000;7,14000;8,16000;9,18000;10,20000;11,22000	1,1;31,0.8;61,0.6		1,8;2,16;3,24;4,32;5,40;6,48;7,56;8,64;9,72;10,80;11,88;12,96
100004	MagicName_100004	MagicDes_100004	3	1	11	1	6	1,50000;2,100000;3,200000;4,400000;5,800000;6,1200000	1,1;31,0.8;61,0.6	1,item90000000123,1;2,item90000000123,2;3,item90000000123,4;4,item90000000123,8;5,item90000000123,16	1,240;2,360;3,480;4,600;5,720;6,840
100005	MagicName_100005	MagicDes_100005	3	1	12	1	6	1,50000;2,100000;3,200000;4,400000;5,800000;6,1200000	1,1;31,0.8;61,0.6	1,item90000000123,1;2,item90000000123,2;3,item90000000123,4;4,item90000000123,8;5,item90000000123,16	1,240;2,360;3,480;4,600;5,720;6,840
100006	MagicName_100006	MagicDes_100006	3	1	13	1	6	1,50000;2,100000;3,200000;4,400000;5,800000;6,1200000	1,1;31,0.8;61,0.6	1,item90000000123,1;2,item90000000123,2;3,item90000000123,4;4,item90000000123,8;5,item90000000123,16	1,240;2,360;3,480;4,600;5,720;6,840
100016	MagicName_100016	MagicDes_100016	2	1	21	1	6	1,2000;2,4000;3,6000;4,8000;5,10000;6,12000;7,14000;8,16000;9,18000;10,20000;11,22000	1,1;31,0.8;61,0.6		1,8;2,16;3,24;4,32;5,40;6,48;7,56;8,64;9,72;10,80;11,88;12,96
100017	MagicName_100017	MagicDes_100017	2	1	22	1	6	1,2000;2,4000;3,6000;4,8000;5,10000;6,12000;7,14000;8,16000;9,18000;10,20000;11,22000	1,1;31,0.8;61,0.6		1,8;2,16;3,24;4,32;5,40;6,48;7,56;8,64;9,72;10,80;11,88;12,96
