ID	秘境场景ID	位置	播放背景音乐ID
int	int	int	int
Id	TowerScene	TowerPos	BgmID
1	1201	1	0
2	1201	16	0
3	1201	41	0
4	1201	76	0
5	1201	106	0
6	1201	120	0
7	1201	151	0
8	1201	213	0
9	1201	233	0
10	1201	266	0
11	1201	280	0
12	1201	290	0
13	1301	25	0
14	1301	50	0
15	1301	75	0
16	1301	100	0
17	1301	125	0
18	1301	150	0
19	1301	175	0
20	1301	200	0
21	1301	225	0
22	1301	250	0
23	1301	275	0
24	1301	290	0
25	1302	25	0
26	1302	50	0
27	1302	75	0
28	1302	100	0
29	1302	125	0
30	1302	150	0
31	1302	175	0
32	1302	200	0
33	1302	225	0
34	1302	250	0
35	1302	275	0
36	1302	290	0
37	1303	25	0
38	1303	50	0
39	1303	75	0
40	1303	100	0
41	1303	125	0
42	1303	150	0
43	1303	175	0
44	1303	200	0
45	1303	225	0
46	1303	250	0
47	1303	275	0
48	1303	290	0
49	1304	25	0
50	1304	50	0
51	1304	75	0
52	1304	100	0
53	1304	125	0
54	1304	150	0
55	1304	175	0
56	1304	200	0
57	1304	225	0
58	1304	250	0
59	1304	275	0
60	1304	290	0
61	1305	5	0
62	1305	25	0
63	1305	45	0
64	1305	65	0
65	1305	85	0
66	1306	1	0
67	1306	16	0
68	1306	41	0
69	1306	76	0
70	1306	106	0
71	1306	120	0
72	1306	151	0
73	1306	213	0
74	1306	233	0
75	1306	266	0
76	1306	280	0
77	1306	290	0
78	1307	1	0
79	1307	16	0
80	1307	41	0
81	1307	76	0
82	1307	106	0
83	1307	120	0
84	1307	151	0
85	1307	213	0
86	1307	233	0
87	1307	266	0
88	1307	280	0
89	1307	290	0
90	1308	1	0
91	1308	16	0
92	1308	41	0
93	1308	76	0
94	1308	106	0
95	1308	120	0
96	1308	151	0
97	1308	213	0
98	1308	233	0
99	1308	266	0
100	1308	280	0
101	1308	290	0
102	1309	1	0
103	1309	16	0
104	1309	41	0
105	1309	76	0
106	1309	106	0
107	1309	120	0
108	1309	151	0
109	1309	213	0
110	1309	233	0
111	1309	266	0
112	1309	280	0
113	1309	290	0
114	1310	8	0
115	1310	80	0
116	1311	25	0
117	1311	50	0
118	1311	75	0
119	1311	100	0
120	1311	125	0
121	1311	150	0
122	1311	175	0
123	1311	200	0
124	1311	225	0
125	1311	250	0
126	1311	275	0
127	1311	290	0
128	1312	25	0
129	1312	50	0
130	1312	75	0
131	1312	100	0
132	1312	125	0
133	1312	150	0
134	1312	175	0
135	1312	200	0
136	1312	225	0
137	1312	250	0
138	1312	275	0
139	1312	290	0
140	1313	25	0
141	1313	50	0
142	1313	75	0
143	1313	100	0
144	1313	125	0
145	1313	150	0
146	1313	175	0
147	1313	200	0
148	1313	225	0
149	1313	250	0
150	1313	275	0
151	1313	290	0
152	1314	25	0
153	1314	50	0
154	1314	75	0
155	1314	100	0
156	1314	125	0
157	1314	150	0
158	1314	175	0
159	1314	200	0
160	1314	225	0
161	1314	250	0
162	1314	275	0
163	1314	290	0
164	1315	5	0
165	1315	25	0
166	1315	45	0
167	1315	65	0
168	1315	85	0
169	1316	25	0
170	1316	50	0
171	1316	75	0
