流水	活动Id	任务类型	奖励ID	任务目标	奖励	任务描述	预创角开关
int	int	int	int	string	string	string	int
Id	ActiveId	ActiveType	RewardID	TaskTarget	Reward	Desc	Switch
1	30100	1	1	1	item100000000006,1;item1014,50	UI_Active_Common_Desc_1012_1001	1
2	30100	1	2	3	item100000000006,3;item1014,50	UI_Active_Common_Desc_1012_1001	1
3	30100	1	3	4	item100000000006,5;item1014,100;item105000000029,2	UI_Active_Common_Desc_1012_1001	1
4	30100	2	4	1	item100000000006,1;item1014,50	UI_Active_Common_Desc_1012_2001	1
5	30100	2	5	3	item100000000006,3;item1014,50	UI_Active_Common_Desc_1012_2001	1
6	30100	2	6	7	item100000000006,5;item1014,100;item105000000029,3	UI_Active_Common_Desc_1012_2001	1
7	30100	3	7	20	item100000000006,1;item101040101015,5	UI_Active_Common_Desc_1012_3001	1
8	30100	3	8	100	item100000000006,3;item101040101015,10	UI_Active_Common_Desc_1012_3001	1
9	30100	3	9	300	item100000000006,5;item105000000030,30;item161000000001,3	UI_Active_Common_Desc_1012_3001	1
10	30100	3	10	600	item100000000006,10;item105000000030,50;item161000000002,2	UI_Active_Common_Desc_1012_3001	1
11	30100	4	11	1,2000	item100000000006,5;item107200042001,10	UI_Active_Common_Desc_1012_4001	1
11	30100	4	12	1,30000	item100000000006,8;item107200042001,20	UI_Active_Common_Desc_1012_4001	1
11	30100	4	13	1,60000	item100000000000,1;item107200051001,10;item105000000074,1	UI_Active_Common_Desc_1012_4001	1
11	30100	4	14	1,80000	item100000000000,3;item107200052001,10;item101020507323,1	UI_Active_Common_Desc_1012_4001	1
11	30100	4	15	1,120000	item100000000000,5;item107200053001,15;item90000000125,1	UI_Active_Common_Desc_1012_4001	1
