流水	道具ID	魔灵	等级
int	string	string	int
Id	ItemId	PetID	Level
1	item101020501001	egg_001	0
2	item101020501002	egg_002	0
3	item101020501011	egg_003	0
4	item101020501012	egg_004	0
5	item101020503001	egg_1001	0
6	item101020503002	egg_1002	0
7	item101020503003	egg_1003	0
8	item101020503004	egg_1004	0
9	item101020503005	egg_1005	0
10	item101020503006	egg_1006	0
11	item101020503007	egg_1007	0
12	item101020503008	egg_1008	0
13	item101020503009	egg_1009	0
14	item101020503011	egg_1011	0
15	item101020503012	egg_1012	0
16	item101020503013	egg_1013	0
17	item101020503021	egg_1021	0
18	item101020503022	egg_1022	0
19	item101020503023	egg_1023	0
20	item101020503024	egg_1024	0
21	item101020503025	egg_1025	0
22	item101020503026	egg_1026	0
23	item101020503027	egg_1027	0
24	item101020503028	egg_1028	0
25	item101020503029	egg_1029	0
26	item101020503030	egg_1030	0
27	item101020503031	egg_1031	0
28	item101020503032	egg_1032	0
29	item101020503033	egg_1033	0
30	item101020503034	egg_1034	0
31	item101020503035	egg_1035	0
32	item101020503036	egg_1036	0
33	item101020503037	egg_1037	0
34	item101020503038	egg_1038	0
35	item101020503039	egg_1039	0
36	item101020503040	egg_1040	0
37	item101020503041	egg_1041	0
38	item101020503042	egg_1042	0
39	item101020503043	egg_1043	0
40	item101020503044	egg_1044	0
41	item101020503045	egg_1045	0
42	item101020503046	egg_1046	0
43	item101020503047	egg_1047	0
44	item101020503048	egg_1048	0
45	item101020503049	egg_1049	0
46	item101020503050	egg_1050	0
47	item101020503051	egg_1051	0
48	item101020503052	egg_1052	0
49	item101020503053	egg_1053	0
50	item101020503054	egg_1054	0
51	item101020503055	egg_1055	0
52	item101020503056	egg_1056	0
53	item101020503057	egg_1057	0
54	item101020503058	egg_1058	0
55	item101020503059	egg_1059	0
56	item101020503060	egg_1060	0
57	item101020503061	egg_1061	0
58	item101020503062	egg_1062	0
59	item101020503063	egg_1063	0
60	item101020503064	egg_1064	0
61	item101020503065	egg_1065	0
62	item101020503066	egg_1066	0
63	item101020503067	egg_1067	0
64	item101020503068	egg_1068	0
65	item101020503069	egg_1069	0
66	item101020503070	egg_1070	0
67	item101020503071	egg_1071	0
68	item101020503072	egg_1072	0
69	item101020503073	egg_1073	0
70	item101020503074	egg_1074	0
71	item101020503075	egg_1075	0
72	item101020503076	egg_1076	0
73	item101020503077	egg_1077	0
74	item101020503078	egg_1078	0
75	item101020503079	egg_1079	0
76	item101020503080	egg_1080	0
77	item101020503081	egg_1081	0
78	item101020503082	egg_1082	0
79	item101020503083	egg_1083	0
80	item101020503084	egg_1084	0
81	item101020503085	egg_1085	0
82	item101020503086	egg_1086	0
83	item101020503087	egg_1087	0
84	item101020503088	egg_1088	0
85	item101020503089	egg_1089	0
86	item101020503090	egg_1090	0
87	item101020503091	egg_1091	0
88	item101020503092	egg_1092	0
89	item101020503093	egg_1093	0
90	item101020503094	egg_1094	0
91	item101020503095	egg_1095	0
92	item101020503096	egg_1096	0
93	item101020503097	egg_1097	0
94	item101020503098	egg_1098	0
95	item101020503099	egg_1099	0
96	item101020503100	egg_1100	0
97	item101020514001	egg_2001	0
98	item101020514002	egg_2002	0
99	item101020514003	egg_2003	0
100	item101020514004	egg_2004	0
101	item101020514005	egg_2005	0
102	item101020514006	egg_2006	0
103	item101020514007	egg_2007	0
104	item101020514008	egg_2008	0
105	item101020514009	egg_2009	0
106	item101020514010	egg_2010	0
107	item101020514011	egg_2011	0
108	item101020514012	egg_2012	0
109	item101020514013	egg_2013	0
110	item101020514014	egg_2014	0
111	item101020514015	egg_2015	0
112	item101020514501	egg_2501	0
113	item101020514502	egg_2502	0
114	item101020514503	egg_2503	0
115	item101020514504	egg_2504	0
116	item101020514505	egg_2505	0
117	item101020514506	egg_2506	0
118	item101020514507	egg_2507	0
119	item101020514508	egg_2508	0
120	item101020514509	egg_2509	0
121	item101020514510	egg_2510	0
122	item101020514511	egg_2511	0
123	item101020514512	egg_2512	0
124	item101020514513	egg_2513	0
125	item101020503101	egg_1101	0
126	item101020503102	egg_1102	0
127	item101020503103	egg_1103	0
128	item101020503104	egg_1104	0
129	item101020503105	egg_1105	0
130	item101020503106	egg_1106	0
131	item101020503107	egg_1107	0
132	item101020503108	egg_1108	0
133	item101020503109	egg_1109	0
134	item101020503110	egg_1110	0
135	item101020503111	egg_1111	0
136	item101020503112	egg_1112	0
137	item101020503113	egg_1113	0
138	item101020503114	egg_1114	0
139	item101020503115	egg_1115	0
140	item101020503116	egg_1116	0
141	item101020503117	egg_1117	0
142	item101020503118	egg_1118	0
143	item101020503119	egg_1119	0
144	item101020503120	egg_1120	0
145	item101020503121	egg_1121	0
146	item101020503122	egg_1122	0
147	item101020503123	egg_1123	0
148	item101020503124	egg_1124	0
149	item101020503125	egg_1125	0
150	item101020503126	egg_1126	0
151	item101020503127	egg_1127	0
152	item101020501102	ride_101	1
153	item101020501104	ride_104	1
154	item101020501106	ride_105	1
155	item101020501110	ride_107	1
156	item101020501114	ride_109	1
157	item101020501118	ride_111	1
158	item101020501122	ride_113	1
159	item101020501124	ride_114	1
160	item101020501126	ride_115	1
161	item101020501128	ride_116	1
162	item101020501130	ride_117	1
163	item101020501132	ride_119	1
164	item101020501134	ride_121	1
165	item101020501136	ride_123	1
166	item101020501202	pet_101	1
167	item101020501204	pet_104	1
168	item101020501206	pet_111	1
169	item101020501208	pet_115	1
170	item101020501210	pet_121	1
171	item101020501212	pet_124	1
172	item101020501214	pet_131	1
173	item101020501216	pet_134	1
174	item101020501218	pet_141	1
