流水	开启等级	对应NPC	难度	页签说明	界面展示模型	UI界面模型倍数	UI界面模型位置	UI模型特效	UI模型特效倍数	UI模型特效位置偏移	界面背景	对应场景	巅峰情报	难度说明	通关固定奖励展示	通关随机奖励展示	攻略	标题	内容
int	int	string	int	string	string	float	string	int	float	string	string	int	string	string	string	string	string	string	string
Id	Level	NpcID	Difficulty	DifficultyLabel	ShowNpcID	AvatarZoom	AvatarLocation	NpcEffectID	EffectIZoom	EffectILocation	BgID	SceneID	SzellPeakDes	DifficultyDes	ItemDropShow	RandomItemDropShow	Strategy	Title	Desc
10001	40	npc_peak001	1	Difficulty001	npc_peak001	1.000000	0;0;0	41100012	1.000000	0;0;0	cubebeijingtu5	3	SzellPeakDes10001	HardDes10001	item8200000800001,1;item200000810001,1;item1000,200000;item106210500001,1	item8200000800003,1;item8200000800002,1;item200000810003,1;item8200000800001,1;item200000810002,1;item200000810001,1;item8103010131003,1;item8101040101101,1;item8101040101104,1;item8101040101107,1;item8101040101110,1;item8101040101113,1;item101200000016,1	211;212;213;214;215;216	SzellpeakTitle1	SzellpeakDesc1
10002	40	npc_peak001	2	Difficulty002	npc_peak001	1.100000	0;0;0	41100013	1.100000	0;0;0	cubebeijingtu5	3	SzellPeakDes10002	HardDes10002	item8200000800001,1;item200000810002,1;item1000,200000;item106210500001,1	item200000115010,1;item200000800003,1;item200000810003,1;item8200000800002,1;item200000810002,1;item8200000800001,1;item200000810001,1;item8103010131003,1;item101040101101,1;item101040101104,1;item101040101107,1;item101040101110,1;item101040101113,1;item101200000016,1	217;218;219;220;221;222	SzellpeakTitle2	SzellpeakDesc2
10003	40	npc_peak001	3	Difficulty003	npc_peak001	1.200000	0;0;0	41100014	1.200000	0;0;0	cubebeijingtu5	3	SzellPeakDes10003	HardDes10003	item8200000800002,1;item200000810002,1;item1000,200000;item106210500001,1	item200000800005,1;item200000515001,1;item200000515002,1;item200000515003,1;item200000515004,1;item200000515005,1;item200000515006,1;item200000515007,1;item200000515008,1;item200000515009,1;item200000800001,1;item200000800002,1;item200000800003,1;item200000810001,1;item200000810002,1;item200000810003,1;item200000810004,1;item103010131003,1;item101040101101,1;item101040101104,1;item101040101107,1;item101040101110,1;item101040101113,1;item101200000016,1	223;224;225;226;227;228;229	SzellpeakTitle3	SzellpeakDesc3
20001	50	npc_peak002	1	Difficulty004	npc_peak002	1.000000	0;0;0	41100015	1.000000	0;0;0	cubebeijingtu4	4	SzellPeakDes20001	HardDes20001	item8200000800001,1;item200000810001,1;item1000,300000;item106210500001,1	item8200000800003,1;item8200000800002,1;item200000810003,1;item8200000800001,1;item200000810002,1;item200000810001,1;item8103010131003,1;item8101040101101,1;item8101040101104,1;item8101040101107,1;item8101040101110,1;item8101040101113,1;item101200000016,1	230;231;232;233;234	SzellpeakTitle4	SzellpeakDesc4
20002	50	npc_peak002	2	Difficulty005	npc_peak002	1.100000	0;0;0	41100016	1.100000	0;0;0	cubebeijingtu4	4	SzellPeakDes20002	HardDes20002	item8200000800001,1;item200000810002,1;item1000,300000;item106210500001,1	item200000115012,1;item200000800003,1;item200000810003,1;item8200000800002,1;item200000810002,1;item8200000800001,1;item200000810001,1;item8103010131003,1;item101040101101,1;item101040101104,1;item101040101107,1;item101040101110,1;item101040101113,1;item101200000016,1	235;236;237;238;239	SzellpeakTitle5	SzellpeakDesc5
20003	50	npc_peak002	3	Difficulty006	npc_peak002	1.200000	0;0;0	41100017	1.200000	0;0;0	cubebeijingtu4	4	SzellPeakDes20003	HardDes20003	item8200000800002,1;item200000810002,1;item1000,300000;item106210500001,1	item200000800007,1;item200000515001,1;item200000515002,1;item200000515003,1;item200000515004,1;item200000515005,1;item200000515006,1;item200000515007,1;item200000515008,1;item200000515009,1;item200000800001,1;item200000800002,1;item200000800003,1;item200000810001,1;item200000810002,1;item200000810003,1;item200000810004,1;item103010131003,1;item101040101101,1;item101040101104,1;item101040101107,1;item101040101110,1;item101040101113,1;item101200000016,1	240;241;242;243;244;245	SzellpeakTitle6	SzellpeakDesc6
30001	60	npc_peak003	1	Difficulty007	npc_peak003	1.000000	0;0;0	41100018	1.000000	0;0;0	cubebeijingtu3	5	SzellPeakDes30001	HardDes30001	item8200000800001,1;item200000810001,1;item1000,400000;item106210500001,1	item8200000800003,1;item8200000800002,1;item200000810003,1;item8200000800001,1;item200000810002,1;item200000810001,1;item8103010131003,1;item8101040101101,1;item8101040101104,1;item8101040101107,1;item8101040101110,1;item8101040101113,1;item101200000016,1	246;247;248;249;250;251	SzellpeakTitle7	SzellpeakDesc7
30002	60	npc_peak003	2	Difficulty008	npc_peak003	1.100000	0;0;0	41100019	1.100000	0;0;0	cubebeijingtu3	5	SzellPeakDes30002	HardDes30002	item8200000800001,1;item200000810002,1;item1000,400000;item106210500001,1	item200000115011,1;item200000800003,1;item200000810003,1;item8200000800002,1;item200000810002,1;item8200000800001,1;item200000810001,1;item8103010131003,1;item101040101101,1;item101040101104,1;item101040101107,1;item101040101110,1;item101040101113,1;item101200000016,1	252;253;254;255;256;257	SzellpeakTitle8	SzellpeakDesc8
