npc编号	收集属性
string	string
Id	CollectAttr
soldier_npc_10001	1,100
soldier_npc_10002	3,10
soldier_npc_10003	4,10
soldier_npc_10004	1,100
soldier_npc_10005	3,10
soldier_npc_10006	1,500;24,120
soldier_npc_10007	3,50;23,120
soldier_npc_10008	4,50;26,120
soldier_npc_10009	21,150;22,150
soldier_npc_10010	3,50;21,120
soldier_npc_10012	4,50;24,120
soldier_npc_10013	1,500;26,120
soldier_npc_10014	3,75;1,750
soldier_npc_10015	23,150;25,150
soldier_npc_10016	1,2000;4,200;31,200
soldier_npc_10017	3,200;1,2000;30,200
soldier_npc_10018	1,2000;4,200;33,200
soldier_npc_10019	1,2000;4,200;11,150
soldier_npc_10020	3,200;1,2000;32,200
soldier_npc_10021	1,2000;4,200;52,200
soldier_npc_10022	4,200;1,2000;51,200
soldier_npc_10023	3,200;1,2000;173,300
soldier_npc_10024	4,200;1,2000;52,200
soldier_npc_10025	3,200;1,2000;34,200
soldier_npc_10026	3,200;1,2000;12,150
soldier_npc_10027	3,200;1,2000;30,200
soldier_npc_10028	3,200;1,2000;51,200
soldier_npc_10029	3,75;25,150
soldier_npc_10030	3,200;1,2000;35,200
soldier_npc_10031	3,200;1,2000;35,200
soldier_npc_10032	3,200;1,2000;11,150
soldier_npc_10033	3,200;1,2000;30,150
soldier_npc_10034	3,200;1,2000;34,200
soldier_npc_10035	3,200;1,2000;174,150
soldier_npc_10036	3,200;1,2000;13,150
soldier_npc_10037	3,200;1,2000;51,200
soldier_npc_10038	3,200;1,2000;33,200
soldier_npc_10039	3,200;1,2000;11,200
soldier_npc_10040	3,200;1,2000;32,200
soldier_npc_10041	3,200;1,2000;34,200
soldier_npc_10042	3,200;1,2000;33,200
soldier_npc_10043	3,200;1,2000;33,200
soldier_npc_10044	3,200;1,2000;12,150
soldier_npc_10045	3,200;1,2000;11,150
soldier_npc_10046	3,200;1,2000;32,200
soldier_npc_10047	3,200;1,2000;30,200
soldier_npc_10048	3,200;1,2000;35,200
soldier_npc_10049	3,200;1,2000;173,300
soldier_npc_10050	3,200;1,2000;174,300
soldier_npc_10051	3,200;1,2000;51,200
soldier_npc_10053	3,200;1,2000;34,200
soldier_npc_10054	3,200;1,2000;51,200
soldier_npc_10055	3,200;1,2000;51,200
soldier_npc_10056	3,200;1,2000;32,200
soldier_npc_10057	3,200;1,2000;31,200
soldier_npc_10058	3,200;1,2000;35,200
soldier_npc_10059	3,200;1,2000;30,200
