序号	键值	数值
int	string	string
Id	Key	Value
1	MaxToolBoxCapacity	100
2	BuyToolBoxCapacity	200
3	MaxTemporaryToolBoxCapacity	20
4	BackpackUnlockNum	5
5	MaxHeroContainerCapacity	12
6	HeroSkillslot1OpenLevel	2
7	HeroSkillslot2OpenLevel	3
8	HeroSkillslot3OpenLevel	6
9	HeroSkillslot4OpenLevel	12
10	SkillPublicCD	0.5
11	CameraOffset	0,0,-16
12	CameraEulerAngles	45,0,0
13	CameraFieldView	40
14	MinCameraOffset	0,0,-5.6
15	MaxCameraOffset	0,0,-25
16	RecoverPerOnBattle	1000
17	RecoverPerOnBattleEnergy	5000
18	PVPDamage	0.15
19	PVEDamage	1
20	EVPDamage	1
21	DamageParamA	8000
22	DamageParamB	100
23	DamageParamC	1
24	DamageParamD	0
25	CriDamageMin	1.2
26	CriDamageMax	3
27	DamageRateMin	0.01
28	HitRateMin	0.35
29	AttackFloatMin	0.95
30	AttackFloatMax	1.05
31	AttackFloat	0.03
32	DamageShowType1Max	0
33	DamageShowType2Max	0
34	DamageShowType3Max	4000
35	ControlTimeFuncDivideXValue	-100
36	ControlTime1ParamA	0.003
37	ControlTime2ParamA	-8e-6
38	ControlTime2ParamB	-0.0002
39	ControlTime2ParamC	0.76
40	ControlTimeMin	0.1
41	DexterityCri	1,8000;2,1800;4,180;10,20
42	SlowDamageTimes	6
43	SlowDamageInterval	0.5
44	MaxCriAddHpPer	3
45	HhdicHpPer	0.5
46	LhdicHpPer	0.5
47	MaxJobSkillCdReduce	4
48	EnterBackpackEffect	dropeffect_003_2
49	DropItemPickedStartEffect	90079
50	PlayerFollowDistance	2
51	PlayerBattleFollowDistance	15
52	PlayerBattleFollowDistance2	3
53	LevelRollTime	45
54	OfflineQuitTeamTime	30
55	RemoveQuitTeamTime	3
56	LevelWaitTime	10
57	LevelReadyTime	3
58	LevelFailTime	86400
59	LeaveLevelTime	20
60	WaitAwardFinishTime	120
61	WaitBoxAutoOpenTime	60
62	AutoFightMonsterSearchRadius	30
63	TeamGroupIsReadyTime	120
64	TeamDungeonBoxDropTime	3
65	WorldTaskBoxDropTime	1
66	LevelKickOutTime	60
67	TeamDungeonNoRewardNotice	MSG_TeamDungeon_NoReward
68	TeamCloneNoRewardNotice	Msg_TeamDungeonRewardLimit
69	LeaveSuccessTime	3
70	DungeonAutoAgreeFriendShipPoint	50
71	DungeonAutoAgreeTime	8
72	DungeonAutoAgreeLimitTime	600
73	TeamDungeonAddTimes	Msg_TeamDungeon_AddTimes
74	TeamDungeonAddTimesMax	Msg_TeamDungeon_AddTimesMax
75	FixedSkillWarningTime	3
76	BattleWinSoundInfo	222,0.5,0.1
77	BattleLoseSoundInfo	223,0.5,0.1
78	DungeonLeaveBtnAppearTime	5
79	TeamDungeonPublicTimes	3
80	BossAppearCameraOffset	0,0,-14.9
81	BossAppearCameraAngle	18,0,0
82	AttackAggro	1
83	TalkCamPosDefault	0,0,0
84	TalkCamAngDefault	0,0,0
85	DungeonEnterCamAng	23.14,0,0
86	DungeonEnterCamPosOffset	2.1,3.0,-6
87	NpcInteractionCamTime	0.8
88	BossAppearCamTime	1
89	NpcInteractionCloseCamTime	1
90	WorldTaskFinishCond	5;3;2
91	WorldTaskExtraRewardDrop	31004
92	WorldTaskLevelDifference	29
93	WorldTaskBoxId	box_900011_003
94	WorldTaskRewardId	item102000010001
95	WorldTaskRefreshTime	0
96	WorldTaskOpenServerRefresh	2000001;2000001;2000011;2000021
97	WorldTaskExpLimit	5;3;2
98	WorldTaskAnswerTime	40
