抽次数区间	抽奖消耗货币	抽奖消耗道具	第几次触发特殊事件	触发特殊事件返还的奖励(货币）	触发特殊事件返还的奖励（道具）	抽奖后获得的积分数
string	string	string	int	string	string	int
LotteryTimes	LotterySpendCurrency	LotterySpendItem	SpecialEventTimes	SpecialEventReturnRewardCurrency	SpecialEventReturnRewardItem	AcquireScore
1;5	3,10		0			1
6;6	3,10		6	3,60		1
7;8	3,10		0			1
9;12	3,10		0			1
13;-1	3,10		0			1
1;3	3,100		0			10
4;4	3,100		4			10
5;8	3,100		0			10
9;9	3,90		9			10
10;12	3,100		0			10
13;13	3,100		13			10
14;16	3,100		0			10
17;17	3,100		17			10
18;20	3,100		0			10
21;21	3,100		21			10
22;25	3,100		0			10
26;26	3,100		26			10
27;30	3,100		0			10
31;31	3,100		31			10
32;-1	3,100		0			10
1;5		item91000000689,1	0			1
6;6		item91000000689,1	6		item91000000689,6	1
7;8		item91000000689,1	0			1
9;12		item91000000689,1	0			1
13;-1		item91000000689,1	0			1
1;3		item91000000689,10	0			10
4;4		item91000000689,10	4			10
5;8		item91000000689,10	0			10
9;9		item91000000689,9	9			10
10;12		item91000000689,10	0			10
13;13		item91000000689,10	13			10
14;16		item91000000689,10	0			10
17;17		item91000000689,10	17			10
18;20		item91000000689,10	0			10
21;21		item91000000689,10	21			10
22;25		item91000000689,10	0			10
26;26		item91000000689,10	26			10
27;30		item91000000689,10	0			10
31;31		item91000000689,10	31			10
32;-1		item91000000689,10	0			10
1;4		item91000000962,1	0			1
5;5		item91000000962,1	5		item91000000962,5	1
6;8		item91000000962,1	0			1
9;12		item91000000962,1	0			1
13;-1		item91000000962,1	0			1
1;1		item91000000962,10	1			10
2;2		item91000000962,10	0			10
3;3		item91000000962,10	3			10
4;4		item91000000962,10	0			10
5;5		item91000000962,10	5			10
6;9		item91000000962,10	0			10
10;10		item91000000962,10	10			10
11;14		item91000000962,10	0			10
15;15		item91000000962,10	15			10
16;19		item91000000962,10	0			10
20;20		item91000000962,10	20			10
21;29		item91000000962,10	0			10
30;30		item91000000962,10	30			10
31;39		item91000000962,10	0			10
40;40		item91000000962,10	40			10
40;-1		item91000000962,10	0			10
1;4		item91000000962,1	0			1
5;5		item91000000962,1	5		item91000000962,5	1
6;8		item91000000962,1	0			1
9;12		item91000000962,1	0			1
13;-1		item91000000962,1	0			1
1;1		item91000000962,10	1			10
2;2		item91000000962,10	0			10
3;3		item91000000962,10	3			10
