流水	镶嵌部件位置	槽位	镶嵌槽开放等级	孔位开放所需星魂石个数	获取途径	孔位加成
int	int	int	int	int	string	string
Id	EquipPos	SlotPos	Level	StoneNum	GainWay	AdditionNum
1	1	0	32	0	145;26;3000	
2	1	1	45	0	145;26;3000	
3	1	2	2	0	145;26;3000	
4	1	3	80	1	145;26;3000	5,500;8,1000;10,1500;12,2000
5	2	0	35	0	145;26;3000	
6	2	1	47	0	145;26;3000	
7	2	2	2	0	145;26;3000	
8	2	3	80	1	145;26;3000	5,500;8,1000;10,1500;12,2000
9	3	0	38	0	145;26;3000	
10	3	1	49	0	145;26;3000	
11	3	2	2	0	145;26;3000	
12	3	3	80	2	145;26;3000	6,500;9,1000;12,1500;16,2000
13	4	0	33	0	145;26;3000	
14	4	1	46	0	145;26;3000	
15	4	2	13	0	145;26;3000	
16	4	3	80	1	145;26;3000	6,500;9,1000;12,1500;16,2000
17	5	0	39	0	145;26;3000	
18	5	1	50	0	145;26;3000	
19	5	2	16	0	145;26;3000	
20	5	3	80	3	145;26;3000	6,500;9,1000;12,1500;16,2000
21	6	0	42	0	145;26;3000	
22	6	1	53	0	145;26;3000	
23	6	2	29	0	145;26;3000	
24	6	3	80	4	145;26;3000	6,500;9,1000;12,1500;16,2000
25	7	0	51	0	145;26;3000	
26	7	1	21	0	145;26;3000	
27	7	2	40	0	145;26;3000	
28	7	3	80	2	145;26;3000	5,500;8,1000;10,1500;12,2000
29	8	0	29	0	145;26;3000	
30	8	1	44	0	145;26;3000	
31	8	2	54	0	145;26;3000	
32	8	3	80	3	145;26;3000	5,500;8,1000;10,1500;12,2000
33	9	0	48	0	145;26;3000	
34	9	1	10	0	145;26;3000	
35	9	2	37	0	145;26;3000	
36	9	3	80	2	145;26;3000	5,500;8,1000;10,1500;12,2000
37	10	0	28	0	145;26;3000	
38	10	1	41	0	145;26;3000	
39	10	2	52	0	145;26;3000	
40	10	3	80	3	145;26;3000	5,500;8,1000;10,1500;12,2000
