配方道具ID	烹饪等级	解锁方式	配方解锁提示	配方类型	素材1	素材2	素材3	素材4	制作出的道具ID	制作提供熟练度	探索配方提供熟练度	配方效果显示方式
string	int	int	string	int	string	string	string	string	string	string	int	int
RecipeId	CookingLv	UnlockType	UnlockDes	RecipeType	Resource1	Resource2	Resource3	Resource4	FoodItemId	CookingExp	ResearchExp	ShowType
item172400001010	1	4		1	item144000000001,7				item172000001011,100	0,1;3,0	2	0
item172400001020	1	4		1	item144100000001,2				item172000001021,100	0,1;3,0	2	0
item172400001030	1	4		1	item144100000002,2				item172000001033,100	0,1;3,0	2	0
item172200001010	1	1		1	item144000000001,7				item172000001011,10;item172000001012,85;item172000001013,5	0,1;3,0	2	0
item172200001020	1	1		1	item144100000001,2				item172000001021,10;item172000001022,85;item172000001023,5	0,1;3,0	2	0
item172200001030	1	1		1	item144100000002,2				item172000001031,10;item172000001032,85;item172000001033,5	0,1;3,0	2	0
item172200001040	2	2		1	item144000000001,14	item144100000001,1	item144400000004,1		item172000001041,10;item172000001042,85;item172000001043,5	0,5;3,3;6,0	3	0
item172200001050	1	2		1	item144000000001,5	item144100000002,3	item144400000004,1		item172000001051,10;item172000001052,85;item172000001053,5	0,5;3,3;6,0	3	0
item172200001060	3	2		1	item144000000002,3	item144100000002,3	item144400000004,1		item172000001061,10;item172000001062,85;item172000001063,5	0,5;3,3;6,0	3	0
item172200001070	3	2		1	item144000000002,3	item144000000001,5	item144100000001,2	item144400000004,1	item172000001071,10;item172000001072,85;item172000001073,5	0,5;3,3;6,0	3	0
item172200001080	1	1		1	item144400000012,1	item144100000003,2	item144000000001,5		item172000030001,1	0,1;3,0	2	1
item172200005010	4	3	FoodTip_item172200005010	1	item144000000001,10	item144400000001,4			item172000005011,10;item172000005012,85;item172000005013,5	0,10;3,4;6,0	6	0
item172200005020	4	3	FoodTip_item172200005020	1	item144000000004,3	item144400000001,1	item144000000001,4		item172000005021,10;item172000005022,85;item172000005023,5	0,10;3,4;6,0	6	0
item172200005030	4	3	FoodTip_item172200005030	1	item144000000004,3	item144200000002,1			item172000005031,10;item172000005032,85;item172000005033,5	0,10;3,4;6,0	6	0
item172200005040	5	2		1	item144000000002,3	item144200000002,3	item144100000002,2	item144400000004,1	item172000005041,10;item172000005042,85;item172000005043,5	0,15;5,6;6,0	9	0
item172200005050	5	2		1	item144000000004,4	item144100000003,3	item144000000001,6	item144400000005,1	item172000005051,10;item172000005052,85;item172000005053,5	0,15;5,6;6,0	9	0
item172200005060	5	2		1	item144100000003,3	item144200000002,2	item144000000001,5	item144400000004,1	item172000005061,10;item172000005062,85;item172000005063,5	0,15;5,6;6,0	9	0
item172200005070	6	2		1	item144100000003,3	item144400000005,1	item144200000001,3		item172000005071,10;item172000005072,85;item172000005073,5	0,15;5,6;6,0	9	0
item172200005080	7	2		1	item144200000004,1	item144100000002,3	item144200000011,3		item172000005081,10;item172000005082,85;item172000005083,5	0,15;3,10;6,0	9	0
item172200005090	8	2		1	item144000000001,10	item170000101010,1	item144400000004,3		item172000005091,10;item172000005092,85;item172000005093,5	0,15;5,10;6,0	9	0
item172200005100	9	2		1	item170000106010,1	item144000000001,10	item144400000004,3		item172000005101,10;item172000005102,85;item172000005103,5	0,15;5,10;6,0	9	0
item172200010010	10	3	FoodTip_item172200010010	1	item170000106010,2	item144000000002,1	item144000000001,5		item172000010011,10;item172000010012,85;item172000010013,5	0,20;3,5;6,0	12	0
item172200010020	10	3	FoodTip_item172200010020	1	item170000102010,2	item144100000002,3			item172000010021,10;item172000010022,85;item172000010023,5	0,20;3,5;6,0	12	0
item172200010030	10	3	FoodTip_item172200010030	1	item170000101010,1	item144400000001,7			item172000010031,10;item172000010032,85;item172000010033,5	0,20;3,5;6,0	12	0
item172200010040	10	2		1	item144200000013,1	item144000000001,1	item144200000002,1	item144200000011,1	item172000010041,10;item172000010042,85;item172000010043,5	0,35;3,10;6,0	21	0
item172200010050	10	2		1	item144400000004,1	item144000000001,8	item144200000013,1	item144200000012,4	item172000010051,10;item172000010052,85;item172000010053,5	0,35;5,10;6,0	21	0
item172200010060	10	2		1	item144200000014,2	item144200000001,4	item144000000001,8	item144200000002,1	item172000010061,10;item172000010062,85;item172000010063,5	0,35;3,10;6,0	21	0
item172200010070	11	2		1	item144200000014,2	item144100000002,3	item144200000001,2	item144200000011,2	item172000010071,10;item172000010072,85;item172000010073,5	0,35;3,10;6,0	21	0
item172200010080	11	2		1	item144400000007,1	item144100000002,4	item144200000013,4		item172000010081,10;item172000010082,85;item172000010083,5	0,35;5,10;6,0	21	0
item172200010090	11	2		1	item144400000007,1	item144200000001,4	item144200000002,4	item144200000013,1	item172000010091,10;item172000010092,85;item172000010093,5	0,35;5,10;6,0	21	0
item172200010100	12	2		1	item144400000008,1	item144000000001,30	item144400000004,5		item172000010101,10;item172000010102,85;item172000010103,5	0,35;5,15;6,0	21	0
item172200010110	12	2		1	item144400000008,1	item144400000001,10	item144400000004,5		item172000010111,10;item172000010112,85;item172000010113,5	0,35;5,15;6,0	21	0
