流水id	奖包id	生效值	生效起始点	默认优先显示	英雄id	时装id	缩放比例	限时显示	限时图标显示	限时倒计时	时装文本	最终保底次数	概率文本	奖励显示
int	string	int	string	int	string	string	string	int	string	int	string	int	string	string
Id	LotteryId	EffectSwitch	EffectDate	DefaultShow	HeroId	FashionId	ModelScale	FlashSale	FlashIcon	FlashTime	DesContent	FinalEndNum	ProbabilityContent	RewardDisplay
1	10101010001	0	2018,11,15	0	hero101	fashion_101351		0		0		0		item130000001351,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
2	10101010002	0	2018,11,15	0	hero101	fashion_101352		0		0		0		item130000001352,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
3	10101010003	0	2018,11,15	0	hero101	fashion_101353		0		0		0		item130000001353,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
4	10101010004	0	2018,11,15	0	hero101	fashion_101371		0		0		0		item130000001371,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
5	10101010005	0	2018,11,15	0	hero101	fashion_101372		0		0		0		item130000001372,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
6	10101010006	0	2018,11,15	0	hero101	fashion_101373		0		0		0		item130000001373,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
7	10102010004	1	2019,7,20	1	hero101	fashion_101254		1	1	336		60	UI_FashionShop_ProbabilityDesc1	item130000001254,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
8	10102010001	1	2018,11,15	0	hero101	fashion_101251		0		0		30	UI_FashionShop_ProbabilityDesc	item130000001251,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
9	10102010002	0	2018,11,15	0	hero101	fashion_101252		0		0		0		item130000001252,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
10	10102010003	1	2018,11,15	0	hero101	fashion_101253		0		0		30	UI_FashionShop_ProbabilityDesc	item130000001253,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
11	10103010009	1	2019,7,20	1	hero101	fashion_101154		1	1	336		20	UI_FashionShop_ProbabilityDesc	item130000001154,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
12	10103010001	1	2018,11,15	0	hero101	fashion_101151		0		0		20	UI_FashionShop_ProbabilityDesc	item130000001151,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
13	10103010002	0	2018,11,15	0	hero101	fashion_101152		0		0		0		item130000001152,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
14	10103010003	1	2018,11,15	0	hero101	fashion_101153		0		0		20	UI_FashionShop_ProbabilityDesc	item130000001153,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
15	10103010004	1	2018,11,15	0	hero101	fashion_101171		0		0		20	UI_FashionShop_ProbabilityDesc	item130000001171,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
16	10103010005	0	2018,11,15	0	hero101	fashion_101172		0		0		0		item130000001172,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
17	10103010006	0	2018,11,15	0	hero101	fashion_101173		0		0		0		item130000001173,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
18	10103010007	0	2018,11,15	0	hero101	fashion_101174		0		0		0		item130000001174,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
19	10103010008	0	2018,11,15	0	hero101	fashion_101175		0		0		0		item130000001175,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
20	10201010001	0	2018,11,15	0	hero102	fashion_102351		0		0		0		item130000002351,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
21	10201010002	0	2018,11,15	0	hero102	fashion_102352		0		0		0		item130000002352,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
22	10201010003	0	2018,11,15	0	hero102	fashion_102353		0		0		0		item130000002353,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
23	10201010004	0	2018,11,15	0	hero102	fashion_102371		0		0		0		item130000002371,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
24	10201010005	0	2018,11,15	0	hero102	fashion_102372		0		0		0		item130000002372,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
25	10201010006	0	2018,11,15	0	hero102	fashion_102373		0		0		0		item130000002373,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
26	10202010004	1	2019,7,20	1	hero102	fashion_102254		1	1	336		60	UI_FashionShop_ProbabilityDesc1	item130000002254,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
27	10202010001	1	2018,11,15	0	hero102	fashion_102251		0		0		30	UI_FashionShop_ProbabilityDesc	item130000002251,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
28	10202010002	0	2018,11,15	0	hero102	fashion_102252		0		0		0		item130000002252,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
29	10202010003	1	2018,11,15	0	hero102	fashion_102253		0		0		30	UI_FashionShop_ProbabilityDesc	item130000002253,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
30	10203010009	1	2019,7,20	1	hero102	fashion_102154		1	1	336		20	UI_FashionShop_ProbabilityDesc	item130000002154,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
31	10203010001	1	2018,11,15	0	hero102	fashion_102151		0		0		20	UI_FashionShop_ProbabilityDesc	item130000002151,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
32	10203010002	0	2018,11,15	0	hero102	fashion_102152		0		0		0		item130000002152,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
33	10203010003	1	2018,11,15	0	hero102	fashion_102153		0		0		20	UI_FashionShop_ProbabilityDesc	item130000002153,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
34	10203010004	0	2018,11,15	0	hero102	fashion_102171		0		0		0		item130000002171,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
35	10203010005	0	2018,11,15	0	hero102	fashion_102172		0		0		0		item130000002172,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
36	10203010006	0	2018,11,15	0	hero102	fashion_102173		0		0		0		item130000002173,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
37	10203010007	1	2018,11,15	0	hero102	fashion_102174		0		0		20	UI_FashionShop_ProbabilityDesc	item130000002174,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
38	10203010008	0	2018,11,15	0	hero102	fashion_102175		0		0		0		item130000002175,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
39	10301010001	0	2018,11,15	0	hero103	fashion_103351		0		0		0		item130000003351,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
40	10301010002	0	2018,11,15	0	hero103	fashion_103352		0		0		0		item130000003352,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
41	10301010003	0	2018,11,15	0	hero103	fashion_103353		0		0		0		item130000003353,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
42	10301010004	0	2018,11,15	0	hero103	fashion_103371		0		0		0		item130000003371,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
43	10301010005	0	2018,11,15	0	hero103	fashion_103372		0		0		0		item130000003372,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
44	10301010006	0	2018,11,15	0	hero103	fashion_103373		0		0		0		item130000003373,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
45	10302010004	1	2019,7,20	1	hero103	fashion_103254		1	1	336		60	UI_FashionShop_ProbabilityDesc1	item130000003254,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
46	10302010001	1	2018,11,15	0	hero103	fashion_103251		0		0		30	UI_FashionShop_ProbabilityDesc	item130000003251,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
47	10302010002	0	2018,11,15	0	hero103	fashion_103252		0		0		0		item130000003252,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
48	10302010003	1	2018,11,15	0	hero103	fashion_103253		0		0		30	UI_FashionShop_ProbabilityDesc	item130000003253,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
49	10303010009	1	2019,7,20	1	hero103	fashion_103154		1	1	336		20	UI_FashionShop_ProbabilityDesc	item130000003154,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
50	10303010001	1	2018,11,15	0	hero103	fashion_103151		0		0		20	UI_FashionShop_ProbabilityDesc	item130000003151,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
51	10303010002	0	2018,11,15	0	hero103	fashion_103152		0		0		0		item130000003152,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
52	10303010003	1	2018,11,15	0	hero103	fashion_103153		0		0		20	UI_FashionShop_ProbabilityDesc	item130000003153,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
53	10303010004	0	2018,11,15	0	hero103	fashion_103171		0		0		0		item130000003171,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
54	10303010005	0	2018,11,15	0	hero103	fashion_103172		0		0		0		item130000003172,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
55	10303010006	0	2018,11,15	0	hero103	fashion_103173		0		0		0		item130000003173,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
56	10303010007	0	2018,11,15	0	hero103	fashion_103174		0		0		0		item130000003174,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
57	10303010008	1	2018,11,15	0	hero103	fashion_103175		0		0		20	UI_FashionShop_ProbabilityDesc	item130000003175,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
58	10401010001	0	2018,11,15	0	hero104	fashion_104351		0		0		0		item130000004351,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
59	10401010002	0	2018,11,15	0	hero104	fashion_104352		0		0		0		item130000004352,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
60	10401010003	0	2018,11,15	0	hero104	fashion_104353		0		0		0		item130000004353,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
61	10401010004	0	2018,11,15	0	hero104	fashion_104371		0		0		0		item130000004371,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
62	10401010005	0	2018,11,15	0	hero104	fashion_104372		0		0		0		item130000004372,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
63	10401010006	0	2018,11,15	0	hero104	fashion_104373		0		0		0		item130000004373,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
64	10402010004	1	2019,7,20	1	hero104	fashion_104254		1	1	336		60	UI_FashionShop_ProbabilityDesc1	item130000004254,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
65	10402010001	1	2018,11,15	0	hero104	fashion_104251		0		0		30	UI_FashionShop_ProbabilityDesc	item130000004251,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
66	10402010002	0	2018,11,15	0	hero104	fashion_104252		0		0		0		item130000004252,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
67	10402010003	1	2018,11,15	0	hero104	fashion_104253		0		0		30	UI_FashionShop_ProbabilityDesc	item130000004253,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
68	10403010009	1	2019,7,20	1	hero104	fashion_104154		1	1	336		20	UI_FashionShop_ProbabilityDesc	item130000004154,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
69	10403010001	1	2018,11,15	0	hero104	fashion_104151		0		0		20	UI_FashionShop_ProbabilityDesc	item130000004151,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
70	10403010002	0	2018,11,15	0	hero104	fashion_104152		0		0		0		item130000004152,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
71	10403010003	1	2018,11,15	0	hero104	fashion_104153		0		0		20	UI_FashionShop_ProbabilityDesc	item130000004153,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
72	10403010004	0	2018,11,15	0	hero104	fashion_104171		0		0		0		item130000004171,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
73	10403010005	0	2018,11,15	0	hero104	fashion_104172		0		0		0		item130000004172,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
74	10403010006	0	2018,11,15	0	hero104	fashion_104173		0		0		0		item130000004173,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
75	10403010007	0	2018,11,15	0	hero104	fashion_104174		0		0		0		item130000004174,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
76	10403010008	1	2018,11,15	0	hero104	fashion_104175		0		0		20	UI_FashionShop_ProbabilityDesc	item130000004175,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
77	10501010001	0	2018,11,15	0	hero105	fashion_105351		0		0		0		item130000005351,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
78	10501010002	0	2018,11,15	0	hero105	fashion_105352		0		0		0		item130000005352,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
79	10501010003	0	2018,11,15	0	hero105	fashion_105353		0		0		0		item130000005353,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
80	10501010004	0	2018,11,15	0	hero105	fashion_105371		0		0		0		item130000005371,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
81	10501010005	0	2018,11,15	0	hero105	fashion_105372		0		0		0		item130000005372,item137000000001,item137000000002,item137000000003,item137000000004,item137000000005
