流水	个人排行奖励
int	string
Id	Reward
1	item1001,3000;item141000000043,1
2	item1001,2500;item141000000044,1
3	item1001,2000;item141000000045,1
4	item1001,1500
5	item1001,1500
6	item1001,1500
7	item1001,1500
8	item1001,1500
9	item1001,1500
10	item1001,1500
11	item1001,1000
12	item1001,1000
13	item1001,1000
14	item1001,1000
15	item1001,1000
16	item1001,1000
17	item1001,1000
18	item1001,1000
19	item1001,1000
20	item1001,1000
21	item1001,800
22	item1001,800
23	item1001,800
24	item1001,800
25	item1001,800
26	item1001,800
27	item1001,800
28	item1001,800
29	item1001,800
30	item1001,800
31	item1001,800
32	item1001,800
33	item1001,800
34	item1001,800
35	item1001,800
36	item1001,800
37	item1001,800
38	item1001,800
39	item1001,800
40	item1001,800
41	item1001,800
42	item1001,800
43	item1001,800
44	item1001,800
45	item1001,800
46	item1001,800
47	item1001,800
48	item1001,800
49	item1001,800
50	item1001,800
51	item1001,600
52	item1001,600
53	item1001,600
54	item1001,600
55	item1001,600
56	item1001,600
57	item1001,600
58	item1001,600
59	item1001,600
60	item1001,600
61	item1001,600
62	item1001,600
63	item1001,600
64	item1001,600
65	item1001,600
66	item1001,600
67	item1001,600
68	item1001,600
69	item1001,600
70	item1001,600
71	item1001,600
72	item1001,600
73	item1001,600
74	item1001,600
75	item1001,600
76	item1001,600
77	item1001,600
78	item1001,600
79	item1001,600
80	item1001,600
81	item1001,600
82	item1001,600
83	item1001,600
84	item1001,600
85	item1001,600
86	item1001,600
87	item1001,600
88	item1001,600
89	item1001,600
90	item1001,600
91	item1001,600
92	item1001,600
93	item1001,600
94	item1001,600
95	item1001,600
96	item1001,600
97	item1001,600
98	item1001,600
99	item1001,600
100	item1001,600
101	item1001,300
102	item1001,300
103	item1001,300
104	item1001,300
105	item1001,300
106	item1001,300
107	item1001,300
108	item1001,300
109	item1001,300
110	item1001,300
111	item1001,300
112	item1001,300
113	item1001,300
114	item1001,300
115	item1001,300
116	item1001,300
117	item1001,300
118	item1001,300
119	item1001,300
120	item1001,300
121	item1001,300
122	item1001,300
123	item1001,300
124	item1001,300
125	item1001,300
126	item1001,300
127	item1001,300
128	item1001,300
129	item1001,300
130	item1001,300
131	item1001,300
132	item1001,300
133	item1001,300
134	item1001,300
135	item1001,300
136	item1001,300
137	item1001,300
138	item1001,300
139	item1001,300
140	item1001,300
141	item1001,300
142	item1001,300
143	item1001,300
144	item1001,300
145	item1001,300
146	item1001,300
147	item1001,300
148	item1001,300
149	item1001,300
150	item1001,300
151	item1001,300
152	item1001,300
153	item1001,300
154	item1001,300
155	item1001,300
156	item1001,300
157	item1001,300
158	item1001,300
159	item1001,300
160	item1001,300
161	item1001,300
162	item1001,300
163	item1001,300
164	item1001,300
165	item1001,300
166	item1001,300
167	item1001,300
168	item1001,300
169	item1001,300
170	item1001,300
171	item1001,300
172	item1001,300
173	item1001,300
174	item1001,300
175	item1001,300
176	item1001,300
177	item1001,300
178	item1001,300
179	item1001,300
180	item1001,300
181	item1001,300
182	item1001,300
183	item1001,300
184	item1001,300
185	item1001,300
186	item1001,300
187	item1001,300
188	item1001,300
189	item1001,300
190	item1001,300
191	item1001,300
192	item1001,300
193	item1001,300
194	item1001,300
195	item1001,300
196	item1001,300
197	item1001,300
198	item1001,300
199	item1001,300
200	item1001,300
201	item1001,300
202	item1001,300
203	item1001,300
204	item1001,300
205	item1001,300
206	item1001,300
207	item1001,300
208	item1001,300
209	item1001,300
210	item1001,300
211	item1001,300
212	item1001,300
213	item1001,300
214	item1001,300
215	item1001,300
216	item1001,300
217	item1001,300
218	item1001,300
219	item1001,300
220	item1001,300
221	item1001,300
222	item1001,300
223	item1001,300
224	item1001,300
225	item1001,300
226	item1001,300
227	item1001,300
228	item1001,300
229	item1001,300
230	item1001,300
231	item1001,300
232	item1001,300
233	item1001,300
234	item1001,300
235	item1001,300
236	item1001,300
237	item1001,300
238	item1001,300
239	item1001,300
240	item1001,300
241	item1001,300
242	item1001,300
243	item1001,300
244	item1001,300
245	item1001,300
246	item1001,300
247	item1001,300
248	item1001,300
249	item1001,300
250	item1001,300
251	item1001,300
252	item1001,300
253	item1001,300
254	item1001,300
255	item1001,300
256	item1001,300
257	item1001,300
258	item1001,300
259	item1001,300
260	item1001,300
261	item1001,300
262	item1001,300
263	item1001,300
264	item1001,300
265	item1001,300
266	item1001,300
267	item1001,300
268	item1001,300
269	item1001,300
270	item1001,300
271	item1001,300
272	item1001,300
273	item1001,300
274	item1001,300
275	item1001,300
276	item1001,300
277	item1001,300
278	item1001,300
279	item1001,300
280	item1001,300
281	item1001,300
282	item1001,300
283	item1001,300
284	item1001,300
285	item1001,300
286	item1001,300
287	item1001,300
288	item1001,300
289	item1001,300
290	item1001,300
291	item1001,300
292	item1001,300
293	item1001,300
294	item1001,300
295	item1001,300
296	item1001,300
297	item1001,300
298	item1001,300
299	item1001,300
300	item1001,300
301	item1001,300
302	item1001,300
303	item1001,300
304	item1001,300
305	item1001,300
306	item1001,300
307	item1001,300
308	item1001,300
309	item1001,300
310	item1001,300
311	item1001,300
312	item1001,300
313	item1001,300
314	item1001,300
315	item1001,300
316	item1001,300
317	item1001,300
318	item1001,300
319	item1001,300
320	item1001,300
321	item1001,300
322	item1001,300
323	item1001,300
324	item1001,300
325	item1001,300
326	item1001,300
327	item1001,300
328	item1001,300
329	item1001,300
330	item1001,300
331	item1001,300
332	item1001,300
333	item1001,300
334	item1001,300
335	item1001,300
336	item1001,300
337	item1001,300
338	item1001,300
339	item1001,300
340	item1001,300
341	item1001,300
342	item1001,300
