流水	属性库	属性品质	类型	buff编号	buff评分	属性Id	属性下限	属性上限	权重	是否属于稀有属性
int	int	int	int	string	int	int	int	int	int	int
Id	PropDropBox	Rare	Type	BuffId	CpValue	PropId	PropMin	PropMax	Probability	IsRare
1	500030	4	1		0	303	700	900	10000	1
2	500040	4	1		0	303	700	900	4000	1
3	500040	3	1		0	303	400	600	6000	0
4	500050	3	1		0	3	405	560	1000	0
5	500050	3	1		0	4	405	560	1000	0
6	500050	3	1		0	301	26300	37500	1000	0
7	500050	3	1		0	331	2630	3750	1000	0
8	500050	2	1		0	3	285	400	1500	0
9	500050	2	1		0	4	285	400	1500	0
10	500050	2	1		0	301	18400	26200	1500	0
11	500050	2	1		0	331	1840	2625	1500	0
12	500060	2	1		0	302	1260	1800	1111	0
13	500060	2	1		0	5	700	1000	1111	0
14	500060	2	1		0	2	112	160	1111	0
15	500060	2	1		0	21	420	600	1111	0
16	500060	2	1		0	23	420	600	1111	0
17	500060	2	1		0	25	420	600	1111	0
18	500060	2	1		0	22	420	600	1111	0
19	500060	2	1		0	24	420	600	1111	0
20	500060	2	1		0	26	420	600	1111	0
21	501010	4	2	skill125008::buff_01	500	0	1	1	3500	1
22	501010	4	2	skill125008::buff_01	1000	0	2	2	3500	1
23	501010	4	2	skill125008::buff_01	1500	0	3	3	1500	1
24	501010	4	2	skill125008::buff_01	2000	0	4	4	1500	1
25	502010	4	2	skill125010::buff_01	500	0	1	1	3500	1
26	502010	4	2	skill125010::buff_01	1000	0	2	2	3500	1
27	502010	4	2	skill125010::buff_01	1500	0	3	3	1500	1
28	502010	4	2	skill125010::buff_01	2000	0	4	4	1500	1
29	503010	4	2	skill125004::buff_01	500	0	1	1	3500	1
30	503010	4	2	skill125004::buff_01	1000	0	2	2	3500	1
31	503010	4	2	skill125004::buff_01	1500	0	3	3	1500	1
32	503010	4	2	skill125004::buff_01	2000	0	4	4	1500	1
33	504010	4	2	skill125002::buff_01	500	0	1	1	3500	1
34	504010	4	2	skill125002::buff_01	1000	0	2	2	3500	1
35	504010	4	2	skill125002::buff_01	1500	0	3	3	1500	1
36	504010	4	2	skill125002::buff_01	2000	0	4	4	1500	1
37	505010	4	2	skill125006::buff_01	500	0	1	1	3500	1
38	505010	4	2	skill125006::buff_01	1000	0	2	2	3500	1
39	505010	4	2	skill125006::buff_01	1500	0	3	3	1500	1
40	505010	4	2	skill125006::buff_01	2000	0	4	4	1500	1
41	506010	4	2	skill125012::buff_01	500	0	1	1	3500	1
42	506010	4	2	skill125012::buff_01	1000	0	2	2	3500	1
43	506010	4	2	skill125012::buff_01	1500	0	3	3	1500	1
44	506010	4	2	skill125012::buff_01	2000	0	4	4	1500	1
45	501020	4	2	skill125007::buff_01	500	0	1	1	3500	1
46	501020	4	2	skill125007::buff_01	1000	0	2	2	3500	1
47	501020	4	2	skill125007::buff_01	1500	0	3	3	1500	1
48	501020	4	2	skill125007::buff_01	2000	0	4	4	1500	1
49	502020	4	2	skill125009::buff_01	500	0	1	1	3500	1
50	502020	4	2	skill125009::buff_01	1000	0	2	2	3500	1
51	502020	4	2	skill125009::buff_01	1500	0	3	3	1500	1
52	502020	4	2	skill125009::buff_01	2000	0	4	4	1500	1
53	503020	4	2	skill125003::buff_01	500	0	1	1	3500	1
54	503020	4	2	skill125003::buff_01	1000	0	2	2	3500	1
55	503020	4	2	skill125003::buff_01	1500	0	3	3	1500	1
56	503020	4	2	skill125003::buff_01	2000	0	4	4	1500	1
57	504020	4	2	skill125001::buff_01	500	0	1	1	3500	1
58	504020	4	2	skill125001::buff_01	1000	0	2	2	3500	1
59	504020	4	2	skill125001::buff_01	1500	0	3	3	1500	1
60	504020	4	2	skill125001::buff_01	2000	0	4	4	1500	1
61	505020	4	2	skill125005::buff_01	500	0	1	1	3500	1
62	505020	4	2	skill125005::buff_01	1000	0	2	2	3500	1
63	505020	4	2	skill125005::buff_01	1500	0	3	3	1500	1
64	505020	4	2	skill125005::buff_01	2000	0	4	4	1500	1
65	506020	4	2	skill125011::buff_01	500	0	1	1	3500	1
66	506020	4	2	skill125011::buff_01	1000	0	2	2	3500	1
67	506020	4	2	skill125011::buff_01	1500	0	3	3	1500	1
68	506020	4	2	skill125011::buff_01	2000	0	4	4	1500	1
69	501011	4	2	skill125008::buff_01	500	0	1	1	6000	1
70	501011	4	2	skill125008::buff_01	1000	0	2	2	2500	1
71	501011	4	2	skill125008::buff_01	1500	0	3	3	1500	1
72	501011	4	2	skill125008::buff_01	2000	0	4	4	0	1
73	502011	4	2	skill125010::buff_01	500	0	1	1	6000	1
74	502011	4	2	skill125010::buff_01	1000	0	2	2	2500	1
75	502011	4	2	skill125010::buff_01	1500	0	3	3	1500	1
76	502011	4	2	skill125010::buff_01	2000	0	4	4	0	1
77	503011	4	2	skill125004::buff_01	500	0	1	1	6000	1
78	503011	4	2	skill125004::buff_01	1000	0	2	2	2500	1
79	503011	4	2	skill125004::buff_01	1500	0	3	3	1500	1
80	503011	4	2	skill125004::buff_01	2000	0	4	4	0	1
81	504011	4	2	skill125002::buff_01	500	0	1	1	6000	1
82	504011	4	2	skill125002::buff_01	1000	0	2	2	2500	1
83	504011	4	2	skill125002::buff_01	1500	0	3	3	1500	1
84	504011	4	2	skill125002::buff_01	2000	0	4	4	0	1
85	505011	4	2	skill125006::buff_01	500	0	1	1	6000	1
86	505011	4	2	skill125006::buff_01	1000	0	2	2	2500	1
87	505011	4	2	skill125006::buff_01	1500	0	3	3	1500	1
88	505011	4	2	skill125006::buff_01	2000	0	4	4	0	1
89	506011	4	2	skill125012::buff_01	500	0	1	1	6000	1
90	506011	4	2	skill125012::buff_01	1000	0	2	2	2500	1
91	506011	4	2	skill125012::buff_01	1500	0	3	3	1500	1
92	506011	4	2	skill125012::buff_01	2000	0	4	4	0	1
93	501021	4	2	skill125007::buff_01	500	0	1	1	6000	1
94	501021	4	2	skill125007::buff_01	1000	0	2	2	2500	1
95	501021	4	2	skill125007::buff_01	1500	0	3	3	1500	1
96	501021	4	2	skill125007::buff_01	2000	0	4	4	0	1
97	502021	4	2	skill125009::buff_01	500	0	1	1	6000	1
98	502021	4	2	skill125009::buff_01	1000	0	2	2	2500	1
99	502021	4	2	skill125009::buff_01	1500	0	3	3	1500	1
100	502021	4	2	skill125009::buff_01	2000	0	4	4	0	1
101	503021	4	2	skill125003::buff_01	500	0	1	1	6000	1
102	503021	4	2	skill125003::buff_01	1000	0	2	2	2500	1
103	503021	4	2	skill125003::buff_01	1500	0	3	3	1500	1
104	503021	4	2	skill125003::buff_01	2000	0	4	4	0	1
105	504021	4	2	skill125001::buff_01	500	0	1	1	6000	1
106	504021	4	2	skill125001::buff_01	1000	0	2	2	2500	1
107	504021	4	2	skill125001::buff_01	1500	0	3	3	1500	1
