物件id	物件类型	物品是否上升级预告	物品长（列）	物品宽（行）	物品高	是否可以放置在其他物体上	是否可以放置其他物体	交互格	交互位置组	交互ID	解锁家园等级	物品是否可收回	移动选择序列	清除1份CD的时间	清除1份CD的价格	物品内放置物	物品可转朝向	工厂产物摆放位置	物件外观	模型动作集	动作集对应ID	阻挡信息	有效阻挡长格子	有效阻挡宽格子	响应面板的范围	状态特效id	状态特效	特效缩放	对应的itemid	物件图标	物件名字	快速购买的价格	预览标签偏移	烹饪用道具图标偏移	挂壁格子偏移
int	int	int	int	int	int	int	int	string	string	int	int	int	int	int	string	string	string	string	string	int	string	string	float	float	int	string	string	float	string	string	string	string	vector3	string	float
ObjectId	Type	UpgradeNotice	Length	Width	Height	CanOnDesk	CanPutThings	InteractiveGrid	GridBindGroup	InteractiveId	UnlockLevel	CanTakeBack	MoveOrder	ClearCDTime	ClearCDCost	ContainObjects	AalidOrient	PutPos	Avatar	ActionSet	ActionId	CollideInfo	ObstructLength	ObstructWidth	RespondScope	StateEffect	ExtraStateEffect	EffectScale	ItemId	ObjectIcon	ObjectName	QuickBuyCost	HeadOffset	CookingOffset	WallOffset
1001	1	1	2	2	1	0	0			0	5	0	1	0			1;2;3;4		SEJY_tudi_001	0		2,2,2,0.1	0.000000	0.000000	12	4100001;4100002;4100003		0.000000		homeland_land	ObjectName1001		0,0.6,0		0.000000
1002	1	1	2	2	1	0	0			0	5	0	1	0			1;2;3;4		SEJY_tudi_001	0		2,2,2,0.1	0.000000	0.000000	12	4100001;4100002;4100003		0.000000		homeland_land	ObjectName1002		0,0.6,0		0.000000
1003	1	1	2	2	1	0	0			0	5	0	1	0			1;2;3;4		SEJY_tudi_001	0		2,2,2,0.1	0.000000	0.000000	12	4100001;4100002;4100003		0.000000		homeland_land	ObjectName1003		0,0.6,0		0.000000
1004	1	1	2	2	1	0	0			0	5	0	1	0			1;2;3;4		SEJY_tudi_001	0		2,2,2,0.1	0.000000	0.000000	12	4100001;4100002;4100003		0.000000		homeland_land	ObjectName1004		0,0.6,0		0.000000
1005	1	1	2	2	1	0	0			0	5	0	2	0			1;2;3;4		SEJY_tudi_001	0		2,2,2,0.1	0.000000	0.000000	12	4100001;4100002;4100003		0.000000		homeland_land	ObjectName1005		0,0.6,0		0.000000
1006	1	1	2	2	1	0	0			0	6	0	2	0			1;2;3;4		SEJY_tudi_001	0		2,2,2,0.1	0.000000	0.000000	12	4100001;4100002;4100003		0.000000		homeland_land	ObjectName1006		0,0.6,0		0.000000
1007	1	1	2	2	1	0	0			0	7	0	2	0			1;2;3;4		SEJY_tudi_001	0		2,2,2,0.1	0.000000	0.000000	12	4100001;4100002;4100003		0.000000		homeland_land	ObjectName1007		0,0.6,0		0.000000
1008	1	1	2	2	1	0	0			0	8	0	2	0			1;2;3;4		SEJY_tudi_001	0		2,2,2,0.1	0.000000	0.000000	12	4100001;4100002;4100003		0.000000		homeland_land	ObjectName1008		0,0.6,0		0.000000
