流水	主任务ID	子任务序号	任务状态	任务目标	是否显示箭头特效	是否显示手指特效	指引优先级	触发范围
int	int	int	int	string	bool	bool	int	float
Id	TaskId	SubId	TaskState	Target	NeedArrows	NeedHand	Priority	Scope
1	10000020	0	3	-63.5,-4.6,-51.9	1	1	1	5.500000
2	10000020	1	3	-54.8,-4,-40.7	1	1	2	5.500000
3	10000025	0	3	-60.3,-4.9,-20.8	1	1	3	5.500000
4	10000025	1	3	-70.0,-4.1,-9.0	1	1	4	5.500000
5	10000040	0	3	-58.9,-3.5,17.9	1	1	5	5.500000
6	10000040	1	3	-56.5,6.4,20.9	1	1	6	5.500000
7	10000040	2	3	-49.4,5.6,24.9	1	1	7	5.500000
8	10000050	0	3	-33.2,4.5,25.4	1	1	8	5.500000
9	10000050	1	3	-33.2,4.7,26.1	1	1	9	5.500000
10	10000050	2	3	-30.0,5.0,24.3	1	1	10	5.500000
11	10000060	0	3	-10.4,6.9,45.1	1	1	11	5.500000
12	10000060	1	3	4.2,6.9,51.2	1	1	12	5.500000
13	10000060	2	3	4.8, 6.9, 52.3	1	1	13	5.500000
14	10000063	1	3	14.5,4.7,60.6	1	1	14	5.500000
15	10000070	1	3	27.1,4.9,66.7	1	1	15	5.500000
16	10000080	0	3	75.6,-3.1,90.9	1	1	16	5.500000
17	10000090	0	3	81.1,-3.1,95.2	1	1	17	5.500000
18	11100010	0	3	28.2,-5.1,-45.2	1	1	18	5.500000
19	11100010	1	3	24.3, -5.1, -37.5	1	1	19	5.500000
20	11100010	2	3	24.3, -5.1, -37.5	1	1	20	5.500000
21	11100010	3	3	25.4, -5.1, -36.7	1	1	21	5.500000
22	11100020	0	3	33.4,-5.2,-37.1	1	1	22	5.500000
23	11100020	1	3	34.1,-0.4,-20.7	1	1	23	5.500000
24	11100030	0	1	22.1, -0.4, 2.9	1	1	24	5.500000
25	11100030	1	3	-43.2,-4.3,-45.7	1	1	25	5.500000
26	11100040	0	1	-68.2,-4.3,-62.3	1	1	26	5.500000
27	11100040	1	4	-68.2,-4.3,-62.3	1	1	27	5.500000
28	11100040	2	4	-67.7,-4.3,-64.4	1	1	28	5.500000
29	11100050	0	1	-59.5, -4.3, -41.2	1	1	29	5.500000
30	11100050	1	3	-60.7,-4.3,-47.5	1	1	30	5.500000
31	11100050	2	3	-60.7,-4.3,-47.5	1	1	31	5.500000
32	11100050	3	3	-57.1,-4.3,-64.5	1	1	32	5.500000
33	11100050	4	3	-56.4,-4.3,-79.4	1	1	33	5.500000
34	11100050	5	3	-59.2,-4.4,-78.5	1	1	34	5.500000
35	11100060	0	1	-59.5, -4.3, -41.2	1	1	35	5.500000
36	11100060	0	4	-25.0, -5.0, -34.0	1	1	36	5.500000
37	11100100	0	3	-27.4, -4.1, -29.3	1	1	37	5.500000
38	11100110	0	3	-19.0,-0.5,48.9	1	1	38	5.500000
39	11100110	1	3	-20.3,-0.48,50.0	1	1	39	5.500000
40	11100110	2	3	-20.3,-0.48,50.0	1	1	40	5.500000
41	11100120	0	3	-39.6,-0.6,42.3	1	1	41	5.500000
42	11100120	1	3	-52.3,-3.0,19.4	1	1	42	5.500000
43	11100120	2	3	-52.3,-3.0,19.4	1	1	43	5.500000
44	11100120	3	3	-52.3,-3.0,19.4	1	1	44	5.500000
45	11100120	6	3	-47.2, -3.0, 13.0	1	1	45	5.500000
46	11100130	0	3	-41.7,-4.3,-45.0	1	1	46	5.500000
47	11100130	1	3	-60.8,-4.3,-67.6	1	1	47	5.500000
48	11100130	2	3	-56.8,-4.3,-63.4	1	1	48	5.500000
49	11100130	3	4	-52.5,-4.3,-59.3	1	1	49	5.500000
50	11100140	0	1	-13.0, -5.0, -23.2	1	1	50	5.500000
51	11100140	1	4	-11.1, -5.0, -26.8	1	1	51	5.500000
52	11100140	2	3	32.7,-0.4,-13.1	1	1	52	5.500000
53	11100150	0	4	38.1,-0.4,-10.6	1	1	53	5.500000
54	11100150	1	3	18.9, -0.4, 2.8	1	1	54	5.500000
55	11100150	2	3	18.9, -0.4, 2.8	1	1	55	5.500000
56	11100150	4	3	23.3, -0.4, -1.3	1	1	56	5.500000
57	11100160	0	3	31.9,-5.1,-37.4	1	1	57	5.500000
58	11100160	1	4	14.8,-5.1,-46.4	1	1	58	5.500000
59	11100180	0	3	28.0,-0.4,-14.1	1	1	59	5.500000
60	11100180	1	3	42.8,-0.4,13.5	1	1	60	5.500000
61	11100180	2	4	14.8,-5.1,-46.4	1	1	61	5.500000
