流水	队长职业	队长动作集	队长动作ID	队员职业	队员动作集	队员动作ID	骨骼	各职业队员偏移	基本偏移	基本欧拉角
int	string	int	int	string	int	int	int	vector3	vector3	vector3
Id	CapHeroId	CapActionSet	CapActionId	MemHeroId	MemActionSet	MemActionId	Bones	MemHeroPos	Position	EulerAngles
1	hero101	36	1	hero101	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
2	hero101	36	1	hero102	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
3	hero101	36	1	hero103	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
4	hero101	36	1	hero107	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
5	hero101	36	1	hero104	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
6	hero101	36	1	hero108	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
7	hero101	36	1	hero105	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
8	hero101	36	1	hero106	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
9	hero101	36	8	hero101	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
10	hero101	36	8	hero102	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
11	hero101	36	8	hero103	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
12	hero101	36	8	hero107	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
13	hero101	36	8	hero104	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
14	hero101	36	8	hero108	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
15	hero101	36	8	hero105	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
16	hero101	36	8	hero106	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
17	hero102	36	1	hero101	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
18	hero102	36	1	hero102	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
19	hero102	36	1	hero103	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
20	hero102	36	1	hero107	1	618	19		-0.631,-0.338,-0.767	1.578,98.44501,73.941
