神石ID	类型	基础属性	神授属性	战力评分	分解道具	等级	升级消耗道具ID	升级消耗碎片数量	升级需要的货币	升级后神石ID
string	int	string	string	int	string	int	string	int	string	string
DivineId	Type	BasicProp	DivineProp	Score	ResolveItem	Level	ItemId	Num	CurrencyID	UpgradeItem
item23000000001002	1	1,40;3,5;4,5;23,20	1,50;3,20;4,20;23,20;21,20	0	item23100000001001,5	1	item23100000001001	10	item1000,10000	item23000000001003
item23000000001003	1	1,64;3,8;4,8;23,32	1,75;3,30;4,30;23,30;21,30	0	item23100000001001,8	2	item23100000001001	20	item1000,50000	item23000000001004
item23000000001004	1	1,80;3,10;4,10;23,40	1,100;3,40;4,40;23,40;21,40	0	item23100000001001,16	3	item23100000001001	0	item1000,0	
item23000000002002	2	1,40;3,5;4,5;25,20	1,50;3,20;4,20;25,20;52,20	0	item23100000002001,5	1	item23100000002001	10	item1000,10000	item23000000002003
item23000000002003	2	1,64;3,8;4,8;25,32	1,75;3,30;4,30;25,30;52,30	0	item23100000002001,8	2	item23100000002001	20	item1000,50000	item23000000002004
item23000000002004	2	1,80;3,10;4,10;25,40	1,100;3,40;4,40;25,40;52,40	0	item23100000002001,16	3	item23100000002001	0	item1000,0	
item23000000003002	3	1,70;3,5;4,5;24,10	1,50;3,20;4,20;24,20;52,20	0	item23100000003001,5	1	item23100000003001	10	item1000,10000	item23000000003003
item23000000003003	3	1,112;3,8;4,8;24,16	1,75;3,30;4,30;24,30;52,30	0	item23100000003001,8	2	item23100000003001	20	item1000,50000	item23000000003004
item23000000003004	3	1,140;3,10;4,10;24,20	1,100;3,40;4,40;24,40;52,40	0	item23100000003001,16	3	item23100000003001	0	item1000,0	
item23000000004002	4	1,40;3,5;4,5;26,20	1,50;3,20;4,20;26,20;22,20	0	item23100000004001,5	1	item23100000004001	10	item1000,10000	item23000000004003
item23000000004003	4	1,64;3,8;4,8;26,32	1,75;3,30;4,30;51,30;52,30	0	item23100000004001,8	2	item23100000004001	20	item1000,50000	item23000000004004
item23000000004004	4	1,80;3,10;4,10;26,40	1,100;3,40;4,40;51,40;52,40	0	item23100000004001,16	3	item23100000004001	0	item1000,0	
item23000000005002	5	1,40;3,5;4,5;21,20;52,20	1,50;3,20;4,20;51,20;52,20	0	item23100000005001,5	1	item23100000005001	10	item1000,10000	item23000000005003
item23000000005003	5	1,64;3,8;4,8;21,32;52,32	1,75;3,30;4,30;26,30;22,30	0	item23100000005001,8	2	item23100000005001	20	item1000,50000	item23000000005004
item23000000005004	5	1,80;3,10;4,10;21,40;52,40	1,100;3,40;4,40;26,40;22,40	0	item23100000005001,16	3	item23100000005001	0	item1000,0	
item23000000006002	6	1,70;3,5;4,5;22,10;51,20	1,50;3,20;4,20;51,20;12,20	0	item23100000006001,5	1	item23100000006001	10	item1000,10000	item23000000006003
item23000000006003	6	1,112;3,8;4,8;22,16;51,32	1,75;3,30;4,30;51,30;12,30	0	item23100000006001,8	2	item23100000006001	20	item1000,50000	item23000000006004
item23000000006004	6	1,140;3,10;4,10;22,20;51,40	1,100;3,40;4,40;51,40;12,40	0	item23100000006001,16	3	item23100000006001	0	item1000,0	
