ID	周几	功能ID	时间
int	int	int	string
Id	WeekDay	FuncId	Time
1	0	34	10:00
2	0	3	12:00
3	0	3	18:30
4	0	57	19:30
5	0	231	20:00
6	0	296	20:30
7	0	106	21:00
8	0	484	21:45
9	1	136	0:00
10	1	3	12:00
11	1	122	12:30
13	1	3	18:30
14	1	57	19:30
15	1	14	20:00
16	1	122	21:00
17	2	136	0:00
18	2	109	10:00
19	2	3	12:00
20	2	3	18:30
21	2	184	19:00
22	2	57	19:30
23	2	158	19:45
24	2	106	21:00
25	2	484	21:45
26	3	136	0:00
27	3	3	12:00
28	3	122	12:30
30	3	3	18:30
31	3	57	19:30
32	3	159	20:00
33	3	122	21:00
34	4	136	0:00
35	4	109	10:00
36	4	3	12:00
38	4	3	18:30
40	4	184	19:00
41	4	57	19:30
42	4	158	19:45
43	4	106	21:00
44	4	484	21:45
45	5	136	0:00
46	5	3	12:00
47	5	122	12:30
49	5	3	18:30
50	5	57	19:30
51	5	159	20:00
52	5	122	21:00
53	5	197	21:20
54	6	109	10:00
55	6	3	12:00
56	6	141	13:00
57	6	141	16:00
58	6	3	18:30
59	6	141	19:20
60	6	57	19:30
61	6	462	19:55
62	6	162	20:30
63	6	462	21:05
