漫步星数	漫步阶数	等级限制	道具消耗	属性增加
int	int	int	string	string
EffectStar	EffectRank	RoleLevelRestrict	ItemConsume	PropAddition
0	1	38		
1	1	38	item100500000001,1	1,50
2	1	38	item100500000001,1	4,5
3	1	38	item100500000001,1	3,5
4	1	38	item100500000001,1	30,20
5	1	38	item100500000001,1	31,20
6	1	38	item100500000001,1	33,20
7	1	38	item100500000001,1	35,20
8	1	38	item100500000001,3	52,12
9	2	38	item100500000001,1	1,50
10	2	38	item100500000001,1	4,5
11	2	38	item100500000001,1	3,5
12	2	38	item100500000001,1	30,20
13	2	38	item100500000001,1	31,20
14	2	38	item100500000001,1	33,20
15	2	38	item100500000001,1	35,20
16	2	38	item100500000001,3	52,12
17	3	38	item100500000001,2	1,50
18	3	38	item100500000001,2	4,5
19	3	38	item100500000001,2	3,5
20	3	38	item100500000001,2	30,20
21	3	38	item100500000001,2	31,20
22	3	38	item100500000001,2	33,20
23	3	38	item100500000001,2	35,20
24	3	38	item100500000001,6	52,12
25	4	38	item100500000001,2	1,50
26	4	38	item100500000001,2	4,5
27	4	38	item100500000001,2	3,5
28	4	38	item100500000001,2	30,20
29	4	38	item100500000001,2	31,20
30	4	38	item100500000001,2	33,20
31	4	38	item100500000001,2	35,20
32	4	38	item100500000001,6	52,12
33	5	38	item100500000001,3	1,50
34	5	38	item100500000001,3	4,5
35	5	38	item100500000001,3	3,5
36	5	38	item100500000001,3	30,20
37	5	38	item100500000001,3	31,20
38	5	38	item100500000001,3	33,20
39	5	38	item100500000001,3	35,20
40	5	38	item100500000001,9	52,12
41	6	40	item100500000001,3	1,80
42	6	40	item100500000001,3	4,8
43	6	40	item100500000001,3	3,8
44	6	40	item100500000001,3	30,20
45	6	40	item100500000001,3	31,20
46	6	40	item100500000001,3	33,20
47	6	40	item100500000001,3	35,20
48	6	40	item100500000001,9	52,12
49	7	40	item100500000001,4	1,80
50	7	40	item100500000001,4	4,8
51	7	40	item100500000001,4	3,8
52	7	40	item100500000001,4	30,20
53	7	40	item100500000001,4	31,20
54	7	40	item100500000001,4	33,20
55	7	40	item100500000001,4	35,20
56	7	40	item100500000001,12	52,12
57	8	40	item100500000001,4	1,80
58	8	40	item100500000001,4	4,8
59	8	40	item100500000001,4	3,8
60	8	40	item100500000001,4	30,20
61	8	40	item100500000001,4	31,20
62	8	40	item100500000001,4	33,20
63	8	40	item100500000001,4	35,20
64	8	40	item100500000001,12	52,12
65	9	40	item100500000001,5	1,80
66	9	40	item100500000001,5	4,8
67	9	40	item100500000001,5	3,8
68	9	40	item100500000001,5	30,20
69	9	40	item100500000001,5	31,20
70	9	40	item100500000001,5	33,20
71	9	40	item100500000001,5	35,20
72	9	40	item100500000001,15	52,12
73	10	40	item100500000001,6	1,80
74	10	40	item100500000001,6	4,8
75	10	40	item100500000001,6	3,8
76	10	40	item100500000001,6	30,20
77	10	40	item100500000001,6	31,20
78	10	40	item100500000001,6	33,20
79	10	40	item100500000001,6	35,20
80	10	40	item100500000001,18	52,12
81	11	45	item100500000001,8	1,120
82	11	45	item100500000001,8	4,12
83	11	45	item100500000001,8	3,12
84	11	45	item100500000001,8	30,20
85	11	45	item100500000001,8	31,20
86	11	45	item100500000001,8	33,20
87	11	45	item100500000001,8	35,20
88	11	45	item100500000001,24	52,12
89	12	45	item100500000001,10	1,120
90	12	45	item100500000001,10	4,12
91	12	45	item100500000001,10	3,12
92	12	45	item100500000001,10	30,20
93	12	45	item100500000001,10	31,20
94	12	45	item100500000001,10	33,20
95	12	45	item100500000001,10	35,20
96	12	45	item100500000001,30	52,12
97	13	45	item100500000001,12	1,120
98	13	45	item100500000001,12	4,12
99	13	45	item100500000001,12	3,12
100	13	45	item100500000001,12	30,20
101	13	45	item100500000001,12	31,20
102	13	45	item100500000001,12	33,20
103	13	45	item100500000001,12	35,20
104	13	45	item100500000001,36	52,12
105	14	45	item100500000001,14	1,120
106	14	45	item100500000001,14	4,12
107	14	45	item100500000001,14	3,12
108	14	45	item100500000001,14	30,20
109	14	45	item100500000001,14	31,20
110	14	45	item100500000001,14	33,20
111	14	45	item100500000001,14	35,20
112	14	45	item100500000001,42	52,12
113	15	45	item100500000001,16	1,120
114	15	45	item100500000001,16	4,12
115	15	45	item100500000001,16	3,12
116	15	45	item100500000001,16	30,20
117	15	45	item100500000001,16	31,20
118	15	45	item100500000001,16	33,20
119	15	45	item100500000001,16	35,20
120	15	45	item100500000001,48	52,12
121	16	50	item100500000001,18	1,160
122	16	50	item100500000001,18	4,16
123	16	50	item100500000001,18	3,16
124	16	50	item100500000001,18	30,20
125	16	50	item100500000001,18	31,20
126	16	50	item100500000001,18	33,20
127	16	50	item100500000001,18	35,20
128	16	50	item100500000001,54	52,12
129	17	50	item100500000001,20	1,160
130	17	50	item100500000001,20	4,16
131	17	50	item100500000001,20	3,16
132	17	50	item100500000001,20	30,20
133	17	50	item100500000001,20	31,20
134	17	50	item100500000001,20	33,20
135	17	50	item100500000001,20	35,20
136	17	50	item100500000001,60	52,12
137	18	50	item100500000001,22	1,160
138	18	50	item100500000001,22	4,16
139	18	50	item100500000001,22	3,16
140	18	50	item100500000001,22	30,20
141	18	50	item100500000001,22	31,20
142	18	50	item100500000001,22	33,20
143	18	50	item100500000001,22	35,20
144	18	50	item100500000001,66	52,12
145	19	50	item100500000001,24	1,160
146	19	50	item100500000001,24	4,16
147	19	50	item100500000001,24	3,16
148	19	50	item100500000001,24	30,20
149	19	50	item100500000001,24	31,20
150	19	50	item100500000001,24	33,20
