流水	印记页签	槽位	槽位解锁类型	槽位解锁品阶	槽位解锁品质	页签解锁等级
int	int	int	int	int	int	int
Id	TabId	SlotId	Type	Grade	Rare	TabLevel
1	1	1	1	1	2	80
2	1	2	2	1	2	80
3	1	3	3	1	3	80
4	1	4	4	1	3	80
5	1	5	5	1	4	80
6	2	1	1	1	2	82
7	2	2	2	2	2	82
8	2	3	3	2	3	82
9	2	4	4	2	3	82
10	2	5	5	2	4	82
11	2	6	6	2	4	82
12	3	1	1	2	2	87
13	3	2	2	3	2	87
14	3	3	3	3	3	87
15	3	4	4	3	3	87
16	3	5	5	3	4	87
17	3	6	6	3	4	87
18	4	1	1	3	2	92
19	4	2	2	4	3	92
20	4	3	3	4	3	92
21	4	4	4	4	4	92
22	4	5	5	4	4	92
23	4	6	6	4	5	92
24	5	1	1	4	3	97
25	5	2	2	5	4	97
26	5	3	3	5	4	97
27	5	4	4	5	4	97
28	5	5	5	5	5	97
29	5	6	6	5	5	97
30	6	1	1	5	3	107
31	6	2	2	6	4	107
32	6	3	3	6	4	107
33	6	4	4	6	4	107
34	6	5	5	6	5	107
35	6	6	6	6	5	107
