ID	场景id	行走层	播放周期	特效id	音效id	特效权重	播放位置
int	int	int	string	string	string	string	string
Id	SceneId	TerrainId	ShowTime	EffectId	AudioId	Probability	ShowArea
1	1	0	30,90	10196;10197	401;0	9500;500	1,2
2	1	0	90,120	10195		10000	1
3	1	1	30,90	10196;10197	401;0	9500;500	1,2
4	1	1	90,120	10195		10000	1
5	3	0	45,90	10202		10000	1
6	3	0	10,30	10203		10000	0
7	4	0	30,90	10196;10197	401;401	9500;500	1,2
8	4	0	90,120	10195		10000	1
9	4	2	0	10204		10000	1
10	5	0	30,120	10206	129	10000	0
11	5	0	0		130	10000	0
12	5	1	30,120	10206	129	10000	0
13	5	1	0		130	10000	0
14	6	8	10,15	10194	305	10000	0
15	7	0	30,120	10215		10000	0
16	1	0	5,15	10196;10197	401;0	9500;500	1,2
17	1	0	5,15	10195		10000	1
18	3	0	5,15	10203		10000	0
19	3	0	5,15	10202		10000	1
20	67	0	0	10332		10000	0
21	1113	0	30,180	10206	129	6600	0
22	1114	0	30,180	10206	129	6600	0
