流水	道具消耗组id	次数	消耗道具	消耗货币
int	int	int	string	string
Id	CostZone	Num	Costitem	CostCurreny
1	1	1	item91000000983,1	
2	1	2	item91000000983,1	
3	1	3	item91000000983,1	
4	1	4	item91000000983,1	
5	1	5	item91000000983,1	
6	1	6	item91000000983,1	
7	1	7	item91000000983,1	
8	1	8	item91000000983,1	
9	1	9	item91000000983,1	
10	1	10	item91000000983,1	
11	1	11	item91000000983,1	
12	1	12	item91000000983,1	
13	1	13	item91000000983,1	
14	1	14	item91000000983,1	
15	1	15	item91000000983,1	
16	1	16	item91000000983,1	
17	1	17	item91000000983,1	
18	1	18	item91000000983,1	
19	1	19	item91000000983,1	
20	1	20	item91000000983,1	
21	1	21	item91000000983,1	
22	1	22	item91000000983,1	
23	1	23	item91000000983,1	
24	1	24	item91000000983,1	
25	1	25	item91000000983,1	
26	1	26	item91000000983,1	
27	1	27	item91000000983,1	
28	1	28	item91000000983,1	
29	1	29	item91000000983,1	
30	1	30	item91000000983,1	
31	1	31	item91000000983,1	
32	1	32	item91000000983,1	
33	1	33	item91000000983,1	
34	1	34	item91000000983,1	
35	1	35	item91000000983,1	
36	1	36	item91000000983,1	
37	2	1	item91000000983,1	
38	2	2	item91000000983,1	
39	2	3	item91000000983,1	
40	2	4	item91000000983,1	
41	2	5	item91000000983,1	
42	2	6	item91000000983,1	
43	2	7	item91000000983,1	
44	2	8	item91000000983,1	
45	2	9	item91000000983,1	
46	2	10	item91000000983,1	
47	2	11	item91000000983,1	
48	2	12	item91000000983,1	
49	2	13	item91000000983,1	
50	2	14	item91000000983,1	
51	2	15	item91000000983,1	
52	2	16	item91000000983,1	
53	2	17	item91000000983,1	
54	2	18	item91000000983,1	
55	2	19	item91000000983,1	
56	2	20	item91000000983,1	
57	2	21	item91000000983,1	
58	2	22	item91000000983,1	
59	2	23	item91000000983,1	
60	2	24	item91000000983,1	
61	2	25	item91000000983,1	
62	2	26	item91000000983,1	
63	2	27	item91000000983,1	
64	2	28	item91000000983,1	
65	2	29	item91000000983,1	
66	2	30	item91000000983,1	
67	2	31	item91000000983,1	
68	2	32	item91000000983,1	
69	2	33	item91000000983,1	
70	2	34	item91000000983,1	
71	2	35	item91000000983,1	
72	2	36	item91000000983,1	
