流水	类型	排名最小区间	排名最大区间	奖励
int	int	int	int	string
Id	Type	RankMin	RankMax	Reward
1	1	1	1	item1040,500;item106400001101,10;item171002010002,3
2	1	2	2	item1040,450;item106400001101,8;item171002010002,3
3	1	3	3	item1040,400;item106400001101,7;item171002010002,3
4	1	4	10	item1040,350;item106400001101,6;item171002010002,3
5	1	11	20	item1040,300;item106400001101,5;item171002010002,2
6	1	21	100	item1040,250;item106400001101,4;item171002010002,1
7	1	101	500	item1040,200;item106400001101,3;item171002010001,2
8	1	501	1000	item1040,150;item106400001101,2;item171002010001,2
9	2	1	1	item1040,500;item106400001101,10;item171002010002,3
10	2	2	2	item1040,450;item106400001101,8;item171002010002,3
11	2	3	3	item1040,400;item106400001101,7;item171002010002,3
12	2	4	10	item1040,350;item106400001101,6;item171002010002,3
13	2	11	20	item1040,300;item106400001101,5;item171002010002,2
14	2	21	100	item1040,250;item106400001101,4;item171002010002,1
15	2	101	500	item1040,200;item106400001101,3;item171002010001,2
16	2	501	1000	item1040,150;item106400001101,2;item171002010001,2
17	3	1	1	item1040,500;item106400001101,10;item171002010002,3
18	3	2	2	item1040,450;item106400001101,8;item171002010002,3
19	3	3	3	item1040,400;item106400001101,7;item171002010002,3
20	3	4	10	item1040,350;item106400001101,6;item171002010002,3
21	3	11	20	item1040,300;item106400001101,5;item171002010002,2
22	3	21	100	item1040,250;item106400001101,4;item171002010002,1
23	3	101	500	item1040,200;item106400001101,3;item171002010001,2
24	3	501	1000	item1040,150;item106400001101,2;item171002010001,2
25	4	1	1	item1040,500;item106400001101,10;item171002010002,3
26	4	2	2	item1040,450;item106400001101,8;item171002010002,3
27	4	3	3	item1040,400;item106400001101,7;item171002010002,3
28	4	4	10	item1040,350;item106400001101,6;item171002010002,3
29	4	11	20	item1040,300;item106400001101,5;item171002010002,2
30	4	21	100	item1040,250;item106400001101,4;item171002010002,1
31	4	101	500	item1040,200;item106400001101,3;item171002010001,2
32	4	501	1000	item1040,150;item106400001101,2;item171002010001,2
33	5	1	1	item1040,500;item106400001101,10;item171002010002,3
34	5	2	2	item1040,450;item106400001101,8;item171002010002,3
35	5	3	3	item1040,400;item106400001101,7;item171002010002,3
36	5	4	10	item1040,350;item106400001101,6;item171002010002,3
37	5	11	20	item1040,300;item106400001101,5;item171002010002,2
38	5	21	100	item1040,250;item106400001101,4;item171002010002,1
39	5	101	500	item1040,200;item106400001101,3;item171002010001,2
40	5	501	1000	item1040,150;item106400001101,2;item171002010001,2
41	6	1	1	item1040,500;item106400001101,10;item171002010002,3
42	6	2	2	item1040,450;item106400001101,8;item171002010002,3
43	6	3	3	item1040,400;item106400001101,7;item171002010002,3
44	6	4	10	item1040,350;item106400001101,6;item171002010002,3
45	6	11	20	item1040,300;item106400001101,5;item171002010002,2
46	6	21	100	item1040,250;item106400001101,4;item171002010002,1
47	6	101	500	item1040,200;item106400001101,3;item171002010001,2
48	6	501	1000	item1040,150;item106400001101,2;item171002010001,2
49	7	1	1	item1040,500;item106400001101,10;item171002010002,3
50	7	2	2	item1040,450;item106400001101,8;item171002010002,3
51	7	3	3	item1040,400;item106400001101,7;item171002010002,3
52	7	4	10	item1040,350;item106400001101,6;item171002010002,3
53	7	11	20	item1040,300;item106400001101,5;item171002010002,2
54	7	21	100	item1040,250;item106400001101,4;item171002010002,1
55	7	101	500	item1040,200;item106400001101,3;item171002010001,2
56	7	501	1000	item1040,150;item106400001101,2;item171002010001,2
57	8	1	1	item1040,500;item106400001101,10;item171002010002,3
58	8	2	2	item1040,450;item106400001101,8;item171002010002,3
59	8	3	3	item1040,400;item106400001101,7;item171002010002,3
60	8	4	10	item1040,350;item106400001101,6;item171002010002,3
61	8	11	20	item1040,300;item106400001101,5;item171002010002,2
62	8	21	100	item1040,250;item106400001101,4;item171002010002,1
63	8	101	500	item1040,200;item106400001101,3;item171002010001,2
64	8	501	1000	item1040,150;item106400001101,2;item171002010001,2
65	101	1	1	item1014,8888;item106400001101,100;item200000800002,5;item107999900013,1
66	101	2	2	item1014,5000;item106400001101,80;item200000800002,5;item107999900013,1
67	101	3	3	item1014,4500;item106400001101,75;item200000800002,5;item107999900013,1
68	101	4	4	item1014,4000;item106400001101,70;item200000800002,4
69	101	5	5	item1014,3500;item106400001101,65;item200000800002,4
70	101	6	6	item1014,3000;item106400001101,60;item200000800002,4
71	101	7	7	item1014,2500;item106400001101,55;item200000800002,3
72	101	8	8	item1014,2000;item106400001101,50;item200000800002,3
73	101	9	9	item1014,1800;item106400001101,45;item200000800002,3
74	101	10	10	item1014,1500;item106400001101,40;item200000800002,2
75	101	11	20	item1014,1200;item106400001101,35;item200000800002,2
76	101	21	50	item1014,1000;item106400001101,30;item200000800002,2
77	101	51	100	item1014,800;item106400001101,25;item200000800002,1
78	101	101	500	item1014,500;item106400001101,20;item200000800002,1
79	101	501	1000	item1014,300;item106400001101,15;item200000800002,1
80	101	1000	5000	item1014,200;item106400001101,10;item200000800002,1
81	102	1	1	item1040,1000;item106400001101,20;item105000000029,10
82	102	2	2	item1040,900;item106400001101,15;item105000000029,10
83	102	3	3	item1040,800;item106400001101,14;item105000000029,10
84	102	4	4	item1040,700;item106400001101,13;item105000000029,9
85	102	5	5	item1040,650;item106400001101,12;item105000000029,8
86	102	6	6	item1040,600;item106400001101,11;item105000000029,7
87	102	7	7	item1040,550;item106400001101,10;item105000000029,6
88	102	8	8	item1040,500;item106400001101,9;item105000000029,5
89	102	9	9	item1040,450;item106400001101,8;item105000000029,4
90	102	10	10	item1040,400;item106400001101,7;item105000000029,3
91	102	11	20	item1040,350;item106400001101,6;item105000000029,2
92	102	21	50	item1040,300;item106400001101,5;item105000000029,1
93	102	51	100	item1040,250;item106400001101,4;item105000000029,1
94	102	101	500	item1040,200;item106400001101,3;item105000000029,1
95	102	501	1000	item1040,150;item106400001101,2;item105000000029,1
96	102	1001	2000	item1040,100;item106400001101,1;item105000000029,1
