玩具定义ID	玩具ID	系列	类型	等级	出战属性	饲养属性	专属提升等级上限	套装编号	专属魔灵	战力类型	战力计算
int	string	int	int	int	string	string	int	int	string	int	int
Id	ItemId	ClassId	Type	Level	FightProp	FeedingProp	LevelLimitUp	SuitId	PetId	CPType	CPValue
1200101	item101031200101	1	1	1	1,30;3,3;4,3		2	0	pet_161	1	6
1200102	item101031200102	1	1	2	1,50;3,4;4,4		4	0	pet_161	1	6
1200103	item101031200103	1	1	3	1,60;3,6;4,6		6	0	pet_161	1	6
1200104	item101031200104	1	1	4	1,80;3,7;4,7		8	0	pet_161	1	6
1200105	item101031200105	1	1	5	1,100;3,10;4,10		10	0	pet_161	1	6
1200201	item101031200201	2	1	1	1,30;3,3;4,3		2	0	pet_163	1	6
1200202	item101031200202	2	1	2	1,50;3,4;4,4		4	0	pet_163	1	6
1200203	item101031200203	2	1	3	1,60;3,6;4,6		6	0	pet_163	1	6
1200204	item101031200204	2	1	4	1,80;3,7;4,7		8	0	pet_163	1	6
1200205	item101031200205	2	1	5	1,100;3,10;4,10		10	0	pet_163	1	6
1200301	item101031200301	3	1	1	1,30;3,3;4,3		2	0	pet_165	1	6
1200302	item101031200302	3	1	2	1,50;3,4;4,4		4	0	pet_165	1	6
1200303	item101031200303	3	1	3	1,60;3,6;4,6		6	0	pet_165	1	6
1200304	item101031200304	3	1	4	1,80;3,7;4,7		8	0	pet_165	1	6
1200305	item101031200305	3	1	5	1,100;3,10;4,10		10	0	pet_165	1	6
1200401	item101031200401	4	1	1	1,30;3,3;4,3		2	0	pet_167	1	6
1200402	item101031200402	4	1	2	1,50;3,4;4,4		4	0	pet_167	1	6
1200403	item101031200403	4	1	3	1,60;3,6;4,6		6	0	pet_167	1	6
1200404	item101031200404	4	1	4	1,80;3,7;4,7		8	0	pet_167	1	6
1200405	item101031200405	4	1	5	1,100;3,10;4,10		10	0	pet_167	1	6
1200501	item101031200501	5	1	1	1,30;3,3;4,3		2	0	pet_169	1	6
1200502	item101031200502	5	1	2	1,50;3,4;4,4		4	0	pet_169	1	6
1200503	item101031200503	5	1	3	1,60;3,6;4,6		6	0	pet_169	1	6
1200504	item101031200504	5	1	4	1,80;3,7;4,7		8	0	pet_169	1	6
1200505	item101031200505	5	1	5	1,100;3,10;4,10		10	0	pet_169	1	6
1200601	item101031200601	6	1	1	1,30;3,3;4,3		2	0	pet_171	1	6
1200602	item101031200602	6	1	2	1,50;3,4;4,4		4	0	pet_171	1	6
1200603	item101031200603	6	1	3	1,60;3,6;4,6		6	0	pet_171	1	6
1200604	item101031200604	6	1	4	1,80;3,7;4,7		8	0	pet_171	1	6
1200605	item101031200605	6	1	5	1,100;3,10;4,10		10	0	pet_171	1	6
1200701	item101031200701	7	1	1	1,30;3,3;4,3		2	0	pet_173	1	6
1200702	item101031200702	7	1	2	1,50;3,4;4,4		4	0	pet_173	1	6
1200703	item101031200703	7	1	3	1,60;3,6;4,6		6	0	pet_173	1	6
1200704	item101031200704	7	1	4	1,80;3,7;4,7		8	0	pet_173	1	6
1200705	item101031200705	7	1	5	1,100;3,10;4,10		10	0	pet_173	1	6
1200801	item101031200801	8	1	1	1,30;3,3;4,3		2	0	pet_175	1	6
1200802	item101031200802	8	1	2	1,50;3,4;4,4		4	0	pet_175	1	6
1200803	item101031200803	8	1	3	1,60;3,6;4,6		6	0	pet_175	1	6
1200804	item101031200804	8	1	4	1,80;3,7;4,7		8	0	pet_175	1	6
1200805	item101031200805	8	1	5	1,100;3,10;4,10		10	0	pet_175	1	6
1300101	item101031300101	9	1	1	1,50;3,5;4,5	1,20;3,1;4,1	2	0	pet_131;pet_134	1	6
1300102	item101031300102	9	1	2	1,70;3,7;4,7	1,20;3,2;4,2	4	0	pet_131;pet_134	1	6
1300103	item101031300103	9	1	3	1,100;3,9;4,9	1,30;3,3;4,3	6	0	pet_131;pet_134	1	6
1300104	item101031300104	9	1	4	1,120;3,12;4,12	1,40;3,4;4,4	8	0	pet_131;pet_134	1	6
1300105	item101031300105	9	1	5	1,150;3,15;4,15	1,50;3,5;4,5	10	0	pet_131;pet_134	1	6
1300201	item101031300201	10	1	1	1,50;3,5;4,5	1,20;3,1;4,1	2	0	pet_141;pet_144	1	6
1300202	item101031300202	10	1	2	1,70;3,7;4,7	1,20;3,2;4,2	4	0	pet_141;pet_144	1	6
1300203	item101031300203	10	1	3	1,100;3,9;4,9	1,30;3,3;4,3	6	0	pet_141;pet_144	1	6
1300204	item101031300204	10	1	4	1,120;3,12;4,12	1,40;3,4;4,4	8	0	pet_141;pet_144	1	6
1300205	item101031300205	10	1	5	1,150;3,15;4,15	1,50;3,5;4,5	10	0	pet_141;pet_144	1	6
1300301	item101031300301	11	1	1	1,50;3,5;4,5	1,20;3,1;4,1	2	0	pet_176;pet_177	1	6
1300302	item101031300302	11	1	2	1,70;3,7;4,7	1,20;3,2;4,2	4	0	pet_176;pet_177	1	6
1300303	item101031300303	11	1	3	1,100;3,9;4,9	1,30;3,3;4,3	6	0	pet_176;pet_177	1	6
