流水	开始时间	结束时间	显示时间方式	时间语言包	5人本开启时间	5人本结束时间	10人本开启时间	10人本结束时间
int	string	string	int	string	string	string	string	string
ID	StartDate	EndDate	TimeShowType	TimeLanguage	PartyStartDate	PartyEndDate	RaidStartDate	RaidEndDate
10001	2020-06-01-00:00:00	2020-07-01-23:59:59	2	MauDungeon_RangeTime	2020-06-05-00:00:00	2020-07-01-23:59:59	2020-06-06-00:00:00	2020-07-01-23:59:59
10002	2020-07-20-11:50:00	2020-07-20-11:50:00	2	MauDungeon_RangeTime	2020-07-20-11:50:00	2020-07-20-11:50:00	2020-07-20-11:50:00	2020-07-20-11:50:00
10003	2020-09-01-00:00:00	2020-09-23-23:59:59	2	MauDungeon_RangeTime	2020-09-01-00:00:00	2020-09-23-23:59:59	2020-09-01-00:00:00	2020-09-23-23:59:59
10004	2020-12-17-00:00:00	2020-12-30-23:59:59	2	MauDungeon_RangeTime	2020-12-17-00:00:00	2020-12-30-23:59:59	2020-12-17-00:00:00	2020-12-30-23:59:59
10005	2021-02-01-00:00:00	2021-02-15-23:59:59	2	MauDungeon_RangeTime	2021-02-01-00:00:00	2021-02-15-23:59:59	2021-02-01-00:00:00	2021-02-15-23:59:59
10006	2021-10-21-00:00:00	2021-11-25-23:59:59	2	MauDungeon_RangeTime	2021-10-21-00:00:00	2021-11-25-23:59:59	2021-10-21-00:00:00	2021-11-25-23:59:59
10007	2021-12-21-00:00:00	2022-01-25-23:59:59	2	MauDungeon_RangeTime	2021-12-21-00:00:00	2022-01-25-23:59:59	2021-12-21-00:00:00	2022-01-25-23:59:59
10008	2022-08-05-00:00:00	2022-09-05-23:59:59	2	MauDungeon_RangeTime	2022-08-05-00:00:00	2022-09-05-23:59:59	2022-08-05-00:00:00	2022-09-05-23:59:59
10009	2022-09-07-00:00:00	2022-09-30-23:59:59	2	MauDungeon_RangeTime	2022-09-07-00:00:00	2022-09-30-23:59:59	2022-09-07-00:00:00	2022-09-30-23:59:59
10010	2022-10-07-00:00:00	2022-10-07-00:00:00	2	MauDungeon_RangeTime	2022-10-07-00:00:00	2022-10-07-00:00:00	2022-10-07-00:00:00	2022-10-07-00:00:00
10011	2022-11-04-00:00:00	2022-11-30-23:59:59	2	MauDungeon_RangeTime	2022-11-04-00:00:00	2022-11-30-23:59:59	2022-11-04-00:00:00	2022-11-30-23:59:59
10012	2023-03-04-00:00:00	2023-03-30-23:59:59	2	MauDungeon_RangeTime	2023-03-04-00:00:00	2023-03-30-23:59:59	2023-03-04-00:00:00	2023-03-30-23:59:59
