ID	兑换物类型	兑换物ItemID	兑换物数量	奖励物品	资助奖励
int	int	string	int	string	string
Id	Type	ExchangeId	ExchangeNum	Reward	AssistReward
1	3	item144000000001	5	item4401,100;item1016,1125	item4401,100;item1016,750
2	3	item144000000002	5	item4401,140;item1016,2250	item4401,140;item1016,1500
3	3	item144000000004	3	item4401,200;item1016,1620	item4401,200;item1016,1080
4	3	item144000000003	3	item4401,280;item1016,2430	item4401,280;item1016,1620
5	3	item144000000004	3	item4401,200;item1016,1620	item4401,200;item1016,1080
6	3	item144000000003	3	item4401,280;item1016,2430	item4401,280;item1016,1620
7	3	item144000000005	5	item4401,480;item144600000001,1	item4401,480;item144600000001,1
8	3	item144000000005	10	item4401,480;item144600000001,1	item4401,480;item144600000001,1
9	3	item144100000001	5	item4401,120;item1016,3375	item4401,120;item1016,2250
10	3	item144100000002	5	item4401,160;item1016,4500	item4401,160;item1016,3000
11	3	item144100000003	3	item4401,240;item1016,2835	item4401,240;item1016,1890
12	3	item144200000021	3	item4401,180;item1016,2025	item4401,180;item1016,1350
13	3	item144200000023	2	item4401,240;item1016,3060	item4401,240;item1016,2040
14	3	item144200000025	2	item4401,320;item1016,4680	item4401,320;item1016,3120
15	3	item144200000026	2	item4401,400;item1016,5400	item4401,400;item1016,3600
16	3	item144200000026	3	item4401,400;item144600000001,1	item4401,400;item144600000001,1
17	3	item144200000026	8	item4401,400;item144600000001,4	item4401,400;item144600000001,4
18	3	item144200000024	2	item4401,480;item1016,6300	item4401,480;item1016,4200
19	3	item144200000022	2	item4401,560;item1016,7740	item4401,560;item1016,5160
20	3	item144200000025	5	item4401,320;item144600000001,2	item4401,320;item144600000001,2
21	3	item144200000024	5	item4401,480;item144600000001,3	item4401,480;item144600000001,3
22	3	item144200000022	3	item4401,560;item144600000001,2	item4401,560;item144600000001,2
23	3	item144200000001	3	item4401,220;item1016,2835	item4401,220;item1016,1890
24	3	item144200000002	2	item4401,260;item1016,2160	item4401,260;item1016,1440
25	3	item144200000003	2	item4401,380;item1016,3060	item4401,380;item1016,2040
26	3	item144200000004	2	item4401,460;item1016,3960	item4401,460;item1016,2640
27	3	item144200000031	3	item4401,260;item1016,4455	item4401,260;item1016,2970
28	3	item144200000034	2	item4401,340;item1016,3420	item4401,340;item1016,2280
29	3	item144200000033	2	item4401,420;item1016,3780	item4401,420;item1016,2520
30	3	item144200000036	2	item4401,500;item1016,6120	item4401,500;item1016,4080
31	3	item144200000032	2	item4401,580;item1016,7740	item4401,580;item1016,5160
32	3	item144200000032	5	item4401,580;item144600000001,3	item4401,580;item144600000001,3
33	3	item144200000032	6	item4401,580;item144600000001,4	item4401,580;item144600000001,4
34	3	item144200000032	9	item4401,580;item144600000001,6	item4401,580;item144600000001,6
35	3	item144200000035	2	item4401,660;item1016,9900	item4401,660;item1016,6600
36	3	item144200000035	3	item4401,660;item144600000001,2	item4401,660;item144600000001,2
37	3	item144200000035	5	item4401,660;item144600000001,4	item4401,660;item144600000001,4
38	3	item144200000035	8	item4401,660;item144600000001,7	item4401,660;item144600000001,7
