属性库ID	属性ID	属性集
int	int	string
PropLibId	PropId	PropTable
10201	40	0,9,0,0;1,10,0,0;2,12,0,0;3,18,0,0;4,21,0,0;5,26,0,0;6,37,0,0;7,46,0,0;8,56,0,0;9,73,0,0;10,85,0,0;11,99,0,0;12,122,0,0;13,0,0,0;14,0,0,0;15,0,0,0;
10202	41	0,9,0,0;1,10,0,0;2,12,0,0;3,18,0,0;4,21,0,0;5,26,0,0;6,37,0,0;7,46,0,0;8,56,0,0;9,73,0,0;10,85,0,0;11,99,0,0;12,122,0,0;13,0,0,0;14,0,0,0;15,0,0,0;
10203	42	0,9,0,0;1,10,0,0;2,12,0,0;3,18,0,0;4,21,0,0;5,26,0,0;6,37,0,0;7,46,0,0;8,56,0,0;9,73,0,0;10,85,0,0;11,99,0,0;12,122,0,0;13,0,0,0;14,0,0,0;15,0,0,0;
10301	40	0,22,0,0;1,24,0,0;2,28,0,0;3,38,0,0;4,44,0,0;5,52,0,0;6,72,0,0;7,88,0,0;8,106,0,0;9,136,0,0;10,158,0,0;11,182,0,0;12,221,0,0;13,0,0,0;14,0,0,0;15,0,0,0;
10302	41	0,22,0,0;1,24,0,0;2,28,0,0;3,38,0,0;4,44,0,0;5,52,0,0;6,72,0,0;7,88,0,0;8,106,0,0;9,136,0,0;10,158,0,0;11,182,0,0;12,221,0,0;13,0,0,0;14,0,0,0;15,0,0,0;
10303	42	0,22,0,0;1,24,0,0;2,28,0,0;3,38,0,0;4,44,0,0;5,52,0,0;6,72,0,0;7,88,0,0;8,106,0,0;9,136,0,0;10,158,0,0;11,182,0,0;12,221,0,0;13,0,0,0;14,0,0,0;15,0,0,0;
10401	40	0,32,0,0;1,35,0,0;2,41,0,0;3,55,0,0;4,63,0,0;5,74,0,0;6,102,0,0;7,125,0,0;8,150,0,0;9,192,0,0;10,223,0,0;11,257,0,0;12,313,0,0;13,0,0,0;14,0,0,0;15,0,0,0;
10402	41	0,32,0,0;1,35,0,0;2,41,0,0;3,55,0,0;4,63,0,0;5,74,0,0;6,102,0,0;7,125,0,0;8,150,0,0;9,192,0,0;10,223,0,0;11,257,0,0;12,313,0,0;13,0,0,0;14,0,0,0;15,0,0,0;
