流水	NPC编号	次数	货币	价格
int	string	int	int	int
Id	NpcId	Times	Currency	Cost
1	cannon_guildleague_me	1	0	0
2	cannon_guildleague_me	2	0	0
3	cannon_guildleague_me	3	2	500
4	cannon_guildleague_me	4	2	500
5	cannon_guildleague_me	5	2	500
6	cannon_guildleague_me	6	2	1000
7	cannon_guildleague_me	7	2	1000
8	cannon_guildleague_me	8	2	1000
9	cannon_guildleague_me	9	2	1000
10	cannon_guildleague_me	10	2	1000
11	cannon_guildleague_me	11	2	1500
12	cannon_guildleague_me	12	2	1500
13	cannon_guildleague_me	13	2	1500
14	cannon_guildleague_me	14	2	1500
15	cannon_guildleague_me	15	2	1500
16	cannon_guildleague_me	16	2	1500
17	cannon_guildleague_me	17	2	1500
18	cannon_guildleague_me	18	2	1500
19	cannon_guildleague_me	19	2	1500
20	cannon_guildleague_me	20	2	1500
21	cannon_guildleague_me	21	2	2000
22	cannon_guildleague_enemy	1	0	0
23	cannon_guildleague_enemy	2	0	0
24	cannon_guildleague_enemy	3	2	500
25	cannon_guildleague_enemy	4	2	500
26	cannon_guildleague_enemy	5	2	500
27	cannon_guildleague_enemy	6	2	1000
28	cannon_guildleague_enemy	7	2	1000
29	cannon_guildleague_enemy	8	2	1000
30	cannon_guildleague_enemy	9	2	1000
31	cannon_guildleague_enemy	10	2	1000
32	cannon_guildleague_enemy	11	2	1500
33	cannon_guildleague_enemy	12	2	1500
34	cannon_guildleague_enemy	13	2	1500
35	cannon_guildleague_enemy	14	2	1500
36	cannon_guildleague_enemy	15	2	1500
37	cannon_guildleague_enemy	16	2	1500
38	cannon_guildleague_enemy	17	2	1500
39	cannon_guildleague_enemy	18	2	1500
40	cannon_guildleague_enemy	19	2	1500
41	cannon_guildleague_enemy	20	2	1500
42	cannon_guildleague_enemy	21	2	2000
