流水ID	对话组	组内ID	语言包	对话NPC
int	int	int	string	string
ID	TalkGroup	SubTalkID	TalkContent	TalkNPC
1	1	1	Sailtalk11	npc_sail_10005
2	1	2	Sailtalk12	npc_sail_10005
3	1	3	Sailtalk13	npc_sail_10005
4	1	4	Sailtalk14	npc_sail_10005
5	1	5	Sailtalk15	npc_sail_10005
6	2	1	Sailtalk21	npc_sail_10005
7	2	2	Sailtalk22	npc_sail_10005
8	2	3	Sailtalk23	npc_sail_10005
9	2	4	Sailtalk24	npc_sail_10005
10	2	5	Sailtalk25	npc_sail_10005
11	3	1	Sailtalk31	npc_sail_10005
12	3	2	Sailtalk32	npc_sail_10005
13	3	3	Sailtalk33	npc_sail_10005
14	3	4	Sailtalk34	npc_sail_10005
15	3	5	Sailtalk35	npc_sail_10005
16	4	1	Sailtalk41	npc_sail_10005
17	4	2	Sailtalk42	npc_sail_10005
18	4	3	Sailtalk43	npc_sail_10005
19	4	4	Sailtalk44	npc_sail_10005
20	4	5	Sailtalk45	npc_sail_10005
21	5	1	Sailtalk51	npc_sail_10005
22	5	2	Sailtalk52	npc_sail_10005
23	5	3	Sailtalk53	npc_sail_10005
24	5	4	Sailtalk54	npc_sail_10005
25	5	5	Sailtalk55	npc_sail_10005
26	6	1	Sailtalk61	npc_sail_10005
27	6	2	Sailtalk62	npc_sail_10005
28	6	3	Sailtalk63	npc_sail_10005
29	6	4	Sailtalk64	npc_sail_10005
30	6	5	Sailtalk65	npc_sail_10005
31	7	1	Sailtalk71	npc_sail_10005
32	7	2	Sailtalk72	npc_sail_10005
33	7	3	Sailtalk73	npc_sail_10005
34	7	4	Sailtalk74	npc_sail_10005
35	7	5	Sailtalk75	npc_sail_10005
36	8	1	Sailtalk81	npc_sail_10005
37	8	2	Sailtalk82	npc_sail_10005
38	8	3	Sailtalk83	npc_sail_10005
39	8	4	Sailtalk84	npc_sail_10005
40	8	5	Sailtalk85	npc_sail_10005
41	9	1	Sailtalk91	npc_sail_10005
42	9	2	Sailtalk92	npc_sail_10005
43	9	3	Sailtalk93	npc_sail_10005
44	9	4	Sailtalk94	npc_sail_10005
45	9	5	Sailtalk95	npc_sail_10005
46	150	1	Sailtalk1501	npc_sail_10005
47	150	2	Sailtalk1502	npc_sail_10005
48	151	1	Sailtalk1511	npc_sail_10005
49	152	1	Sailtalk1521	npc_sail_10005
50	160	1	Sailtalk1601	npc_sail_10005
51	160	2	Sailtalk1602	npc_sail_10005
52	160	3	Sailtalk1603	npc_sail_10005
53	160	4	Sailtalk1604	npc_sail_10005
54	161	1	Sailtalk1611	player
55	161	2	Sailtalk1612	npc_sail_10005
56	161	3	Sailtalk1613	
57	1010	1	Sailtalk10101	npc_sail_10005
58	1010	2	Sailtalk10102	npc_sail_10005
59	1020	1	Sailtalk10201	npc_sail_10005
60	1020	2	Sailtalk10202	npc_sail_10005
61	1030	1	Sailtalk10301	npc_sail_10005
62	1030	2	Sailtalk10302	npc_sail_10005
63	1040	1	Sailtalk10401	npc_sail_10005
64	1040	2	Sailtalk10402	npc_sail_10005
65	1050	1	Sailtalk10501	npc_sail_10005
