ID	阶段	轮次（直接发放，邮件发放）	奖励类型	奖励说明	晋级奖励道具	淘汰奖励道具	参与奖	邮件组A	邮件组B
int	int	int	int	string	string	string	string	string	string
ID	Stage	Round	RewardType	Tips	PromoteRewards	LostRewards	Rewards	MailAID	MailBID
1	1	1	1	StarSparkleRankRewardPanel_Top3200	item18000000000001,2;item8200000800002,1		item1014,100	mail_star_competition_award_1_1_1mail	mail_star_competition_award_1_1_2mail
2	1	2	1	StarSparkleRankRewardPanel_Top3119	item18000000000001,3;item8200000800002,2		item1014,200	mail_star_competition_award_1_2_1mail	mail_star_competition_award_1_2_2mail
3	1	3	1	StarSparkleRankRewardPanel_Top1119	item18000000000001,5;item8200000800002,3		item1014,300	mail_star_competition_award_1_3_1mail	mail_star_competition_award_1_3_2mail
4	1	4	1	StarSparkleRankRewardPanel_Top499	item18000000000001,8;item8200000800002,5		item1014,500	mail_star_competition_award_1_4_1mail	mail_star_competition_award_1_4_2mail
5	2	1	1	StarSparkleRankRewardPanel_Top200	item18000000000002,1;item18000000000001,10;item8200000800002,8		item1014,800	mail_star_competition_award_2_1_1mail	mail_star_competition_award_2_1_0mail
6	2	2	1	StarSparkleRankRewardPanel_Top80	item18000000000002,2;item18000000000001,12;item8200000800002,8		item1014,1000	mail_star_competition_award_2_2_1mail	mail_star_competition_award_2_2_0mail
7	2	3	1	StarSparkleRankRewardPanel_SeaIn	item18000000000002,2;item18000000000001,15;item8200000800002,8		item1014,1000	mail_star_competition_award_2_3_1mail	mail_star_competition_award_2_3_0mail
8	3	1	1	StarSparkleRankRewardPanel_Top32	item18000000000002,4;item18000000000001,20;item8200000800002,10		item1014,1200	mail_star_competition_award_3_1_1mail	mail_star_competition_award_3_1_0mail
9	3	2	1	StarSparkleRankRewardPanel_Top16	item18000000000002,6;item18000000000001,25;item8200000800002,10		item1014,1500	mail_star_competition_award_3_2_1mail	mail_star_competition_award_3_2_0mail
10	3	3	1	StarSparkleRankRewardPanel_Top8	item18000000000002,8;item18000000000001,30;item8200000800002,10		item1014,2000	mail_star_competition_award_3_3_1mail	mail_star_competition_award_3_3_0mail
11	3	4	2	StarSparkleRankRewardPanel_Top4		item18000000000002,10;item18000000000001,30;item18000000000006,5;item141000000708,1	item1014,3000	mail_star_competition_award_3_4_1mail	mail_star_competition_award_3_4_0mail
12	3	5	2	StarSparkleRankRewardPanel_Top2		item18000000000002,20;item18000000000001,40;item18000000000009,1;item141000000707,1	item1014,4000	mail_star_competition_award_3_5_1mail	mail_star_competition_award_3_5_0mail
13	3	5	1	StarSparkleRankRewardPanel_Top1	item18000000000002,30;item18000000000001,50;item18000000000010,1;item141000000706,1		item1014,4000	mail_star_competition_award_3_6_1mail	mail_star_competition_award_3_6_0mail
