键值	数值
string	string
Id	Value
MobieFirstBindingReward	item1014,300;item8103010121003,30;item100000000000,5
MobieBindingReward	item1014,200;item8103010121003,20;item100000000000,2
MobieBinding_IsBindMobileUrl	http://gm.xianyuyouxi.com/service/sezg_mobile/isBindMobile
MobieBinding_BindMobileUrl	http://gm.xianyuyouxi.com/service/sezg_mobile/bindMobile
MobieBinding_SendCodeUrl	http://gm.xianyuyouxi.com/service/sezg_mobile/sendCode
MobieBinding_IsRefresh	1
MobieBinding_SendCodeToken	e32c36ea311bff152efc73508b6fd8f8
MobieBinding_CodeActiveTime	180
Active_Fireworks_OpenTime	19,15
Active_Fireworks_CloseTime	19,30
Active_Fireworks_npc	npc_fireworks1
Active_Fireworks_AddExpNum	1
Active_Fireworks_AddExpTimes	4
Active_Fireworks_AddExpMaxNum	150
Active_Fireworks_ExpRatio	40
Active_Fireworks_Dropbox	32046
Active_Fireworks_AddSilver	3000,10000
Active_Masquerade_AddExpNum	1
Active_Masquerade_AddExpTimes	5
Active_Masquerade_AddExpMaxNum	180
Active_Masquerade_ExpRatio	40
Active_Masquerade_Dropbox	0
Active_Masquerade_AddSilver	0,0
Active_Pricecutting_LotteryMaxNum	20
Active_Pricecutting_CuttingMaxNum	1000
Active_Pricecutting_RankLimitNum	1000
Active_Treasure_OpedDayLimit	22
Active_Treasure_LinkActive	2310,2338:Activity_Name_2310,item_91000000219,Activity_Name_2336,item_8100000000067
Active_Anniversary_CreateDayLimit	14
Active_Anniversary_LevelLimit	30
Active_Anniversary_OpenTime	2019-12-24-00:00:00
Active_Anniversary_EndTime	2020-01-09-00:00:00
ForgingDexterityRetRatio	1.252
Japan_FirstBindingReward	item1014,200;item100000000006,10
Active_Treasure_NoteLimitNum	50
fairy_gashapon_free	0
KillstarScoreDairyTimes	3
ActivityProtectCreateCharacterTime	0
ActivityProtectOpenServerTime	6
Strongest_team_preactivityreward_win	item1001,100
Strongest_team_preactivityreward_lose	item1000,10000
Strongest_team_menmmber_min	4
Strongest_team_active_min	10
SailingSeasonVisibleCol	4
SailingSeasonRankNeed	100
SailingSeasonBossMaxTimes	10
SailingSeasonBattleTalentOpen	102
SailingSeasonEnemyName	SailingSeason_Enemy
SailingSeasonSkiillTimeMax	3
SailingSeasonStarMiniMapId	10101
SailingSeasonPowerMax	3600
SailingSeasonSkillResetCDTime	14400
SailingSeasonMinimapChallengeTime	120
SailingSeasonPowerStart	360
SailingSeasonPowerPerhour	10
SailingSeasonPowerPerRecover	360
SailingSeasonVitMaxCount	3600
SailingSeasonSignLink	LinkUI:OpenServerActivityPanel
MonthPveLinkActs	0
AbyssWarMapGridRowMax	40
AbyssWarMapGridColMax	40
AbyssWarSkillShowItem	item106400001105;item106400001103
AbyssWarSceneFightMaxTime	90
AbyssWarSceneLilBossMaxTime	90
AbyssWarSceneBigBossMaxTime	90
AbyssWarMaxPathLen	10
AbyssWarQuickEndBefore	3
AbyssWarEnergyMaxCount	3000
AbyssWarSkillBoxNearDistance	284
AbyssWarLiliBossTime	10
AbyssWarEnergyEveryDay	120
AbyssWarEnergyPerHour	15
AbyssWarEnergyStart	300
ExplorePlanFirstOpenDays	7
ExplorePlanBoxFirstNum	6
ExplorePlanAvatarShow	6,soldier_npc_10018
QueryXianYuVip_Url	http://xy.sr.lingrendev.com/publisher/Xianyu_publisher/query_vip_user_mcurrency
QueryXianYuVip_Url_Test	http://49.234.148.111/ty_sdk/publisher/Xianyu_publisher/query_vip_user_mcurrency
QueryXianYuVip_ChannelIds	10001;10002;20001;30001
MonsterSiegeNum	3
MonsterSiegeRound	300
MonsterSiegeBossAlive	180
MonsterSiegeClear	30
MosterSiegeMax	200
MosterSiegeWorldLevelLimit	25
DuelStartTime	1,2022-03-03-05:00:00;2,2022-03-15-05:00:00;3,2022-03-22-05:00:00;4,2022-03-16-05:00:00;5,2022-03-16-05:00:00;6,2022-03-17-05:00:00
DuelCycleDay	28
DuelRankingMinDay	7
DuelRankingMinPerson	10
DuelRankingTime	2,21:45;2,22:15#4,21:45;4,22:15#0,21:45;0,22:15
DuelInitialScore	200
DuelScoreBattleTime	120
DuelRankBattleTime	100
DuelWorshipCurrency	48,10;1,100000;1,10000
DuelEffigyBaseAvatarZoom	0.5
DuelScoreBattleTimesLimit	5
DuelScoreBattleBuyTimesLimit	5
DuelScoreBattleVictoryCurrency	48,60
