序号	活动id	任务ID	是否是每日任务	活动子类型	开放时间	任务类型	任务参数	任务描述	任务奖励	宝箱icon
int	int	int	int	int	int	int	int	string	string	string
Order	ActiveId	TargetId	Daliy	RelationType	Time	TaskType	TaskParams	AchievementContent	Itemid	Pic
1	25303	1001	1	0	-1	1	1	StarblessingTaskDes1001	item106040110002,1	box_star01;box_star02
2	25303	1002	1	0	1	2	8	StarblessingTaskDes1002	item106040110003,2	box_star01;box_star02
3	25303	1003	0	0	0	3	2	StarblessingTaskDes1003	item106040110002,1;item106040110003,2	box_star03;box_star04
4	25303	1004	0	0	0	4	2	StarblessingTaskDes1004	item106040110004,2	box_star03;box_star04
5	25303	1005	1	0	1	5	5	StarblessingTaskDes1005	item106040110004,3;item106040110003,2	box_star01;box_star02
6	25303	1006	0	0	0	6	15	StarblessingTaskDes1006	item106040110005,2	box_star01;box_star02
7	25303	1007	1	0	2	7	5	StarblessingTaskDes1007	item106040110004,2	box_star03;box_star04
8	25303	1008	1	0	2	8	10	StarblessingTaskDes1008	item106040110004,3;item106040110003,2	box_star03;box_star04
9	25303	1009	1	0	3	9	5	StarblessingTaskDes1009	item106040110005,2	box_star01;box_star02
10	25303	1010	1	0	3	10	1	StarblessingTaskDes1010	item106040110005,1;item106040110002,2	box_star01;box_star02
11	25303	1011	0	0	0	11	5	StarblessingTaskDes1011	item106040110002,1	box_star03;box_star04
12	25303	1012	1	0	4	12	1	StarblessingTaskDes1012	item106040110003,2	box_star01;box_star02
13	25303	1013	1	0	4	13	1	StarblessingTaskDes1013	item106040110004,3;item106040110005,2	box_star05;box_star06
14	25303	1014	1	3	-1	101	5	StarblessingTaskDes1101	item106040110005,3	box_star03;box_star04
15	25303	1015	1	3	1	102	2	StarblessingTaskDes1102	item106040110005,1;item106040110002,2	box_star03;box_star04
16	25303	1016	1	3	2	103	3	StarblessingTaskDes1103	item106040110002,1	box_star01;box_star02
17	25303	1017	0	1	0	104	6	StarblessingTaskDes1104	item106040110003,2	box_star01;box_star02
18	25303	1018	0	1	0	105	3	StarblessingTaskDes1105	item106040110004,3;item106040110005,2	box_star05;box_star06
19	25303	1019	1	3	3	106	3	StarblessingTaskDes1106	item106040110002,1	box_star05;box_star06
20	25303	1020	0	2	0	107	6	StarblessingTaskDes1107	item106040110003,2	box_star05;box_star06
21	25303	1021	1	3	4	108	3	StarblessingTaskDes1108	item106040110003,1;item106040110005,1	box_star05;box_star06
22	25303	1022	0	3	0	109	10	StarblessingTaskDes1109	item106040110005,2	box_star03;box_star04
23	25303	1023	0	2	0	110	1	StarblessingTaskDes1110	item106040110005,3	box_star03;box_star04
24	25303	1024	1	4	-1	201	1280	StarblessingTaskDes1201	item106040110005,2	box_star03;box_star04
25	25303	1025	0	4	0	201	6480	StarblessingTaskDes1201	item106040110005,3	box_star03;box_star04
26	25303	1026	1	4	-1	202	300	StarblessingTaskDes1202	item106040110005,2	box_star03;box_star04
27	25303	1027	0	4	0	202	3280	StarblessingTaskDes1202	item106040110005,3	box_star03;box_star04
28	25304	1028	1	0	-1	1	1	StarblessingTaskDes1001	item106040110002,1	box_star01;box_star02
29	25304	1029	1	0	1	2	8	StarblessingTaskDes1002	item106040110003,2	box_star01;box_star02
30	25304	1030	0	0	0	3	2	StarblessingTaskDes1003	item106040110002,1;item106040110003,2	box_star03;box_star04
31	25304	1031	0	0	0	4	2	StarblessingTaskDes1004	item106040110004,2	box_star03;box_star04
32	25304	1032	1	0	1	5	5	StarblessingTaskDes1005	item106040110004,3;item106040110003,2	box_star01;box_star02
33	25304	1033	0	0	0	6	15	StarblessingTaskDes1006	item106040110005,2	box_star01;box_star02
34	25304	1034	1	0	2	7	5	StarblessingTaskDes1007	item106040110004,2	box_star03;box_star04
35	25304	1035	1	0	2	8	10	StarblessingTaskDes1008	item106040110004,3;item106040110003,2	box_star03;box_star04
36	25304	1036	1	0	3	9	5	StarblessingTaskDes1009	item106040110005,2	box_star01;box_star02
37	25304	1037	1	0	3	10	1	StarblessingTaskDes1010	item106040110005,1;item106040110002,2	box_star01;box_star02
38	25304	1038	0	0	0	11	5	StarblessingTaskDes1011	item106040110002,1	box_star03;box_star04
39	25304	1039	1	0	4	12	1	StarblessingTaskDes1012	item106040110003,2	box_star01;box_star02
40	25304	1040	1	0	4	13	1	StarblessingTaskDes1013	item106040110004,3;item106040110005,2	box_star05;box_star06
41	25304	1041	1	3	-1	101	5	StarblessingTaskDes1101	item106040110005,3	box_star03;box_star04
42	25304	1042	1	3	1	102	2	StarblessingTaskDes1102	item106040110005,1;item106040110002,2	box_star03;box_star04
43	25304	1043	1	3	2	103	3	StarblessingTaskDes1103	item106040110002,1	box_star01;box_star02
44	25304	1044	0	1	0	104	6	StarblessingTaskDes1104	item106040110003,2	box_star01;box_star02
45	25304	1045	0	1	0	105	3	StarblessingTaskDes1105	item106040110004,3;item106040110005,2	box_star05;box_star06
46	25304	1046	1	3	3	106	3	StarblessingTaskDes1106	item106040110002,1	box_star05;box_star06
47	25304	1047	0	2	0	107	6	StarblessingTaskDes1107	item106040110003,2	box_star05;box_star06
48	25304	1048	1	3	4	108	3	StarblessingTaskDes1108	item106040110003,1;item106040110005,1	box_star05;box_star06
49	25304	1049	0	3	0	109	10	StarblessingTaskDes1109	item106040110005,2	box_star03;box_star04
50	25304	1050	0	2	0	110	1	StarblessingTaskDes1110	item106040110005,3	box_star03;box_star04
51	25304	1051	1	4	-1	201	1280	StarblessingTaskDes1201	item106040110005,2	box_star03;box_star04
52	25304	1052	0	4	0	201	6480	StarblessingTaskDes1201	item106040110005,3	box_star03;box_star04
53	25304	1053	1	4	-1	202	300	StarblessingTaskDes1202	item106040110005,2	box_star03;box_star04
54	25304	1054	0	4	0	202	3280	StarblessingTaskDes1202	item106040110005,3	box_star03;box_star04
