流水ID	开始时间	结束时间	基础人数	显示时间间隔	增加人数
int	string	string	int	int	int
ID	StartTime	EndTime	BasePeople	TimeInterval	AddNum
1	2021-09-24-00:00:00	2021-09-24-01:00:00	0	60	0
2	2021-09-24-01:00:00	2021-09-24-09:00:00	0	60	0
3	2021-09-24-09:00:00	2021-09-24-10:00:00	0	300	43
4	2021-09-24-10:00:00	2021-09-24-12:00:00	516	300	17
5	2021-09-24-12:00:00	2021-09-24-15:00:00	924	360	16
6	2021-09-24-15:00:00	2021-09-24-18:00:00	1404	360	15
7	2021-09-24-18:00:00	2021-09-24-20:00:00	1854	300	41
8	2021-09-24-20:00:00	2021-09-24-22:00:00	2838	300	17
9	2021-09-24-22:00:00	2021-09-24-23:59:59	3246	360	15
10	2021-09-25-00:00:00	2021-09-25-01:00:00	3776	300	3
11	2021-09-25-01:00:00	2021-09-25-07:00:00	3812	360	6
12	2021-09-25-07:00:00	2021-09-25-10:00:00	4172	360	7
13	2021-09-25-10:00:00	2021-09-25-12:00:00	4382	300	9
14	2021-09-25-12:00:00	2021-09-25-15:00:00	4598	300	6
15	2021-09-25-15:00:00	2021-09-25-18:00:00	4814	300	4
16	2021-09-25-18:00:00	2021-09-25-20:00:00	4958	300	9
17	2021-09-25-20:00:00	2021-09-25-22:00:00	5174	300	9
18	2021-09-25-22:00:00	2021-09-25-23:59:59	5390	300	7
19	2021-09-26-00:00:00	2021-09-26-01:00:00	5558	1800	35
20	2021-09-26-01:00:00	2021-09-26-07:00:00	5628	3600	21
21	2021-09-26-07:00:00	2021-09-26-10:00:00	5754	1800	32
22	2021-09-26-10:00:00	2021-09-26-12:00:00	5946	1800	35
23	2021-09-26-12:00:00	2021-09-26-15:00:00	6086	1800	40
24	2021-09-26-15:00:00	2021-09-26-18:00:00	6326	1800	14
25	2021-09-26-18:00:00	2021-09-26-20:00:00	6410	1800	17
26	2021-09-26-20:00:00	2021-09-26-22:00:00	6478	1800	29
27	2021-09-26-22:00:00	2021-09-26-23:59:59	6594	1800	29
28	2021-09-27-00:00:00	2021-09-27-01:00:00	6710	1800	17
29	2021-09-27-01:00:00	2021-09-27-07:00:00	6744	3600	15
30	2021-09-27-07:00:00	2021-09-27-10:00:00	6834	1800	40
31	2021-09-27-10:00:00	2021-09-27-12:00:00	7074	1800	39
32	2021-09-27-12:00:00	2021-09-27-15:00:00	7230	1800	39
33	2021-09-27-15:00:00	2021-09-27-18:00:00	7464	1800	16
34	2021-09-27-18:00:00	2021-09-27-20:00:00	7560	1800	30
35	2021-09-27-20:00:00	2021-09-27-22:00:00	7680	1800	28
36	2021-09-27-22:00:00	2021-09-27-23:59:59	7792	1800	14
37	2021-09-28-00:00:00	2021-09-28-01:00:00	7848	1800	29
38	2021-09-28-01:00:00	2021-09-28-07:00:00	7906	3600	35
39	2021-09-28-07:00:00	2021-09-28-10:00:00	8116	1800	25
40	2021-09-28-10:00:00	2021-09-28-12:00:00	8266	1800	12
41	2021-09-28-12:00:00	2021-09-28-15:00:00	8314	1800	26
42	2021-09-28-15:00:00	2021-09-28-18:00:00	8470	1800	13
43	2021-09-28-18:00:00	2021-09-28-20:00:00	8548	1800	32
44	2021-09-28-20:00:00	2021-09-28-22:00:00	8676	1800	6
45	2021-09-28-22:00:00	2021-09-28-23:59:59	8700	1800	30
46	2021-09-29-00:00:00	2021-09-29-01:00:00	8820	1800	35
47	2021-09-29-01:00:00	2021-09-29-07:00:00	8890	3600	17
48	2021-09-29-07:00:00	2021-09-29-10:00:00	8992	1800	9
49	2021-09-29-10:00:00	2021-09-29-12:00:00	9046	1800	31
50	2021-09-29-12:00:00	2021-09-29-15:00:00	9170	1800	10
51	2021-09-29-15:00:00	2021-09-29-18:00:00	9230	1800	20
52	2021-09-29-18:00:00	2021-09-29-20:00:00	9350	1800	12
53	2021-09-29-20:00:00	2021-09-29-22:00:00	9398	1800	32
54	2021-09-29-22:00:00	2021-09-29-23:59:59	9526	1800	12
55	2021-09-30-00:00:00	2021-09-30-01:00:00	9574	1800	9
56	2021-09-30-01:00:00	2021-09-30-07:00:00	9592	3600	3
57	2021-09-30-07:00:00	2021-09-30-10:00:00	9610	1800	20
58	2021-09-30-10:00:00	2021-09-30-12:00:00	9730	1800	14
59	2021-09-30-12:00:00	2021-09-30-15:00:00	9786	1800	29
60	2021-09-30-15:00:00	2021-09-30-18:00:00	9960	1800	2
61	2021-09-30-18:00:00	2021-09-30-20:00:00	9972	1800	3
62	2021-09-30-20:00:00	2021-09-30-22:00:00	9984	1800	4
63	2021-09-30-22:00:00	2021-09-30-23:59:59	10000	1800	12
64	2021-10-01-00:00:00	2021-10-01-04:00:00	10048	1800	24
65	2021-10-01-04:00:00	2021-10-01-07:00:00	10096	3600	2
66	2021-10-01-07:00:00	2021-10-01-10:00:00	10108	1800	3
67	2021-10-01-10:00:00	2021-10-01-12:00:00	10126	1800	10
68	2021-10-01-12:00:00	2021-10-01-15:00:00	10166	1800	1
69	2021-10-01-15:00:00	2021-10-01-18:00:00	10172	1800	18
70	2021-10-01-18:00:00	2021-10-01-20:00:00	10280	1800	9
71	2021-10-01-20:00:00	2021-10-01-22:00:00	10316	1800	7
72	2021-10-01-22:00:00	2021-10-01-23:59:59	10344	1800	8
