流水id	技能宝石	进阶等级	最大等级	收集属性倍率	镶嵌属性倍率	收集额外属性	镶嵌额外属性	技能效果评分	突破所需材料	进阶需求货币数量
int	int	int	int	float	float	string	string	int	string	string
id	GemID	AdvancedLevel	MaxLevel	CollectAttrRatio	InlayAttrRatio	CollectAttrAdded	InlayAttrAdded	SkillScore	AdvancedNeedItem	AdvancedCurrency
1	20101001	0	20	0.000000	1.000000	1,38;26,13	4,5;1,53;26,17;21,17	30	item17902020101001,10	item1000,50000
2	20101001	1	40	0.000000	1.170000	1,52;26,18	4,7;1,73;26,24;21,24	35	item17902020101001,20	item1000,60000
3	20101001	2	60	0.000000	1.330000	1,68;26,23	4,9;1,99;26,33;21,33	40	item17902020101001,40	item1000,70000
4	20101001	3	80	0.000000	1.500000	1,84;26,28	4,13;1,135;26,45;21,45	45	item17902020101001,70	item1000,80000
5	20101001	4	100	0.000000	1.670000	1,102;26,34	4,18;1,182;26,60;21,60	50	item17902020101001,110	item1000,90000
6	20101001	5	120	0.000000	1.830000	1,114;26,38	4,24;1,242;26,80;21,80	55	item17902020101001,160	item1000,100000
7	20101001	6	140	0.000000	2.000000	1,128;26,43	4,31;1,317;26,105;21,105	60		
8	20102001	0	20	0.000000	1.000000	1,38;24,13	4,5;1,53;24,17;21,17	30	item17902020102001,10	item1000,50000
9	20102001	1	40	0.000000	1.170000	1,52;24,18	4,7;1,73;24,24;21,24	35	item17902020102001,20	item1000,60000
10	20102001	2	60	0.000000	1.330000	1,68;24,23	4,9;1,99;24,33;21,33	40	item17902020102001,40	item1000,70000
11	20102001	3	80	0.000000	1.500000	1,84;24,28	4,13;1,135;24,45;21,45	45	item17902020102001,70	item1000,80000
12	20102001	4	100	0.000000	1.670000	1,102;24,34	4,18;1,182;24,60;21,60	50	item17902020102001,110	item1000,90000
13	20102001	5	120	0.000000	1.830000	1,114;24,38	4,24;1,242;24,80;21,80	55	item17902020102001,160	item1000,100000
14	20102001	6	140	0.000000	2.000000	1,128;24,43	4,31;1,317;24,105;21,105	60		
15	20103001	0	20	0.000000	1.000000	4,4;23,13	4,5;1,53;23,17;22,17	30	item17902020103001,10	item1000,50000
16	20103001	1	40	0.000000	1.170000	4,6;23,18	4,7;1,73;23,24;22,24	35	item17902020103001,20	item1000,60000
17	20103001	2	60	0.000000	1.330000	4,7;23,23	4,9;1,99;23,33;22,33	40	item17902020103001,40	item1000,70000
18	20103001	3	80	0.000000	1.500000	4,9;23,28	4,13;1,135;23,45;22,45	45	item17902020103001,70	item1000,80000
19	20103001	4	100	0.000000	1.670000	4,11;23,34	4,18;1,182;23,60;22,60	50	item17902020103001,110	item1000,90000
20	20103001	5	120	0.000000	1.830000	4,12;23,38	4,24;1,242;23,80;22,80	55	item17902020103001,160	item1000,100000
21	20103001	6	140	0.000000	2.000000	4,13;23,43	4,31;1,317;23,105;22,105	60		
22	20104001	0	20	0.000000	1.000000	1,38;24,13	3,5;1,53;24,17;25,17	30	item17902020104001,10	item1000,50000
23	20104001	1	40	0.000000	1.170000	1,52;24,18	3,7;1,73;24,24;25,24	35	item17902020104001,20	item1000,60000
24	20104001	2	60	0.000000	1.330000	1,68;24,23	3,9;1,99;24,33;25,33	40	item17902020104001,40	item1000,70000
25	20104001	3	80	0.000000	1.500000	1,84;24,28	3,13;1,135;24,45;25,45	45	item17902020104001,70	item1000,80000
26	20104001	4	100	0.000000	1.670000	1,102;24,34	3,18;1,182;24,60;25,60	50	item17902020104001,110	item1000,90000
27	20104001	5	120	0.000000	1.830000	1,114;24,38	3,24;1,242;24,80;25,80	55	item17902020104001,160	item1000,100000
28	20104001	6	140	0.000000	2.000000	1,128;24,43	3,31;1,317;24,105;25,105	60		
29	20105001	0	20	0.000000	1.000000	4,4;26,13	4,5;1,53;23,17;26,17	30	item17902020105001,10	item1000,50000
30	20105001	1	40	0.000000	1.170000	4,6;26,18	4,7;1,73;23,24;26,24	35	item17902020105001,20	item1000,60000
31	20105001	2	60	0.000000	1.330000	4,7;26,23	4,9;1,99;23,33;26,33	40	item17902020105001,40	item1000,70000
32	20105001	3	80	0.000000	1.500000	4,9;26,28	4,13;1,135;23,45;26,45	45	item17902020105001,70	item1000,80000
33	20105001	4	100	0.000000	1.670000	4,11;26,34	4,18;1,182;23,60;26,60	50	item17902020105001,110	item1000,90000
34	20105001	5	120	0.000000	1.830000	4,12;26,38	4,24;1,242;23,80;26,80	55	item17902020105001,160	item1000,100000
35	20105001	6	140	0.000000	2.000000	4,13;26,43	4,31;1,317;23,105;26,105	60		
36	20106001	0	20	0.000000	1.000000	4,4;21,13	3,5;4,5;24,17;21,17	30	item17902020106001,10	item1000,50000
