流水	古堡掉落库ID	随机目标ID	权重
int	int	string	int
Id	DropId	RandomId	Weight
1	300	516	310
2	300	517	310
3	300	518	310
4	300	519	310
5	300	520	315
6	300	521	315
7	300	522	315
8	300	523	315
9	300	524	190
10	300	525	190
11	300	526	190
12	300	527	190
13	300	528	185
14	300	529	185
15	300	530	185
16	300	531	185
17	800	742	200
18	800	743	200
19	800	744	200
20	800	745	200
21	800	746	200
22	800	747	200
23	800	748	200
24	800	749	200
25	800	750	200
26	800	751	200
27	800	752	200
28	800	753	0
29	800	754	200
30	800	755	200
31	800	756	200
32	800	757	200
33	800	758	200
34	800	759	200
35	800	760	200
36	800	761	200
37	800	762	200
38	800	763	0
39	1001	1001	100
40	1001	1002	100
41	1001	1003	100
42	1002	1011	100
43	1002	1012	100
44	1002	1013	100
45	1003	1021	100
46	1003	1022	100
47	1003	1023	100
48	1004	1031	100
49	1004	1032	100
50	1004	1033	100
51	1005	1041	100
52	1005	1042	100
53	1005	1043	100
54	80	582	100
55	81	1001	100
56	82	1031	100
57	83	585	100
58	84	1002	100
59	85	1006	100
60	86	586	100
61	86	588	100
62	87	1003	100
63	88	1007	100
64	89	1012	100
65	90	589	100
66	90	591	100
67	91	1004	100
68	91	1008	100
69	92	1013	100
70	93	1010	100
71	94	1005	100
72	94	1009	100
73	95	592	100
74	95	594	100
75	96	1011	100
76	97	1014	100
77	1101	2001	100
78	1101	2002	100
79	1101	2003	100
80	1102	3001	100
81	1102	3002	100
82	1102	3003	100
83	1102	4001	100
84	1102	4002	100
85	1102	4003	100
86	1103	5001	100
87	1103	5002	100
88	1103	5003	100
89	1200	5@1	100
90	1201	1@732	2000
91	1201	1@733	2000
92	1201	1@734	2000
93	1201	1@735	2000
94	1201	1@735	286
95	1201	1@731	286
96	1201	1@737	286
97	1201	1@738	286
98	1201	1@739	286
99	1201	1@740	286
100	1201	1@741	286
101	1202	1@732	1500
102	1202	1@733	1500
103	1202	1@734	1500
104	1202	1@735	1500
105	1202	1@735	572
106	1202	1@731	572
107	1202	1@737	572
108	1202	1@738	572
109	1202	1@739	572
110	1202	1@740	572
111	1202	1@741	572
112	1203	1@732	1000
113	1203	1@733	1000
114	1203	1@734	1000
115	1203	1@735	1000
116	1203	1@735	858
117	1203	1@731	858
118	1203	1@737	858
119	1203	1@738	858
120	1203	1@739	858
121	1203	1@740	858
122	1203	1@741	858
123	102	610	0
124	102	611	4750
125	102	612	0
126	102	613	4750
127	102	580	0
128	102	581	0
129	102	582	0
130	103	610	0
131	103	611	4750
132	103	612	0
133	103	613	4750
134	103	580	0
135	103	581	0
136	103	582	0
137	104	610	0
138	104	611	2375
139	104	612	0
140	104	613	2375
141	104	580	0
142	104	581	0
143	104	582	0
144	104	410	5000
