流水	题目ID	种类	题目	正确答案	答案1	答案2	答案3	答案4
int	int	int	string	int	string	string	string	string
Id	QuestionID	QuestionType	Question	TureAnswer	Answer1	Answer2	Answer3	Answer4
1	1001	1	Question1	1	Answer1_1	Answer1_2	Answer1_3	Answer1_4
2	1010	1	Question10	2	Answer10_2	Answer10_1	Answer10_3	Answer10_4
3	1011	1	Question11	2	Answer11_2	Answer11_1	Answer11_3	Answer11_4
4	1012	1	Question12	2	Answer12_2	Answer12_1	Answer12_3	Answer12_4
5	1013	1	Question13	2	Answer13_2	Answer13_1	Answer13_3	Answer13_4
6	1014	1	Question14	2	Answer14_2	Answer14_1	Answer14_3	Answer14_4
7	1015	1	Question15	2	Answer15_2	Answer15_1	Answer15_3	Answer15_4
8	1016	1	Question16	2	Answer16_2	Answer16_1	Answer16_3	Answer16_4
9	1018	1	Question18	2	Answer18_2	Answer18_1	Answer18_3	Answer18_4
10	1019	1	Question19	1	Answer19_1	Answer19_2	Answer19_3	Answer19_4
11	1020	1	Question20	1	Answer20_1	Answer20_2	Answer20_3	Answer20_4
12	1021	1	Question21	1	Answer21_1	Answer21_2	Answer21_3	Answer21_4
13	1022	1	Question22	1	Answer22_1	Answer22_2	Answer22_3	Answer22_4
14	1023	1	Question23	1	Answer23_1	Answer23_2	Answer23_3	Answer23_4
15	1024	1	Question24	1	Answer24_1	Answer24_2	Answer24_3	Answer24_4
16	1025	1	Question25	3	Answer25_2	Answer25_3	Answer25_1	Answer25_4
17	1026	1	Question26	3	Answer26_2	Answer26_3	Answer26_1	Answer26_4
18	1027	1	Question27	3	Answer27_2	Answer27_3	Answer27_1	Answer27_4
19	1028	1	Question28	3	Answer28_2	Answer28_3	Answer28_1	Answer28_4
20	1029	1	Question29	3	Answer29_2	Answer29_3	Answer29_1	Answer29_4
21	1030	1	Question30	3	Answer30_2	Answer30_3	Answer30_1	Answer30_4
22	1031	1	Question31	3	Answer31_2	Answer31_3	Answer31_1	Answer31_4
23	1032	1	Question32	3	Answer32_2	Answer32_3	Answer32_1	Answer32_4
24	1033	1	Question33	3	Answer33_2	Answer33_3	Answer33_1	Answer33_4
25	1035	1	Question35	3	Answer35_2	Answer35_3	Answer35_1	Answer35_4
26	1036	1	Question36	1	Answer36_1	Answer36_2	Answer36_3	Answer36_4
27	1037	1	Question37	1	Answer37_1	Answer37_2	Answer37_3	Answer37_4
28	1038	1	Question38	1	Answer38_1	Answer38_2	Answer38_3	Answer38_4
29	1040	1	Question40	4	Answer40_2	Answer40_4	Answer40_3	Answer40_1
30	1042	1	Question42	4	Answer42_2	Answer42_4	Answer42_3	Answer42_1
31	1043	1	Question43	4	Answer43_2	Answer43_4	Answer43_3	Answer43_1
32	1044	1	Question44	4	Answer44_2	Answer44_4	Answer44_3	Answer44_1
33	1045	1	Question45	4	Answer45_2	Answer45_4	Answer45_3	Answer45_1
34	1046	1	Question46	4	Answer46_2	Answer46_4	Answer46_3	Answer46_1
35	1047	1	Question47	4	Answer47_2	Answer47_4	Answer47_3	Answer47_1
36	1048	1	Question48	4	Answer48_2	Answer48_4	Answer48_3	Answer48_1
37	1050	1	Question50	4	Answer50_2	Answer50_4	Answer50_3	Answer50_1
38	1051	1	Question51	2	Answer51_2	Answer51_1	Answer51_3	Answer51_4
39	1052	1	Question52	2	Answer52_2	Answer52_1	Answer52_3	Answer52_4
40	1053	1	Question53	2	Answer53_2	Answer53_1	Answer53_3	Answer53_4
41	1055	1	Question55	2	Answer55_2	Answer55_1	Answer55_3	Answer55_4
42	1056	1	Question56	2	Answer56_2	Answer56_1	Answer56_3	Answer56_4
43	1057	1	Question57	2	Answer57_2	Answer57_1	Answer57_3	Answer57_4
44	1058	1	Question58	2	Answer58_2	Answer58_1	Answer58_3	Answer58_4
45	1059	1	Question59	2	Answer59_2	Answer59_1	Answer59_3	Answer59_4
46	1060	1	Question60	2	Answer60_2	Answer60_1	Answer60_3	Answer60_4
47	1061	1	Question61	1	Answer61_1	Answer61_2	Answer61_3	Answer61_4
48	2001	2	RingQuestion2001	1	Answer2001_1	Answer2001_2	Answer2001_3	Answer2001_4
49	2002	2	RingQuestion2002	1	Answer2002_1	Answer2002_2	Answer2002_3	Answer2002_4
50	2003	2	RingQuestion2003	1	Answer2003_1	Answer2003_2	Answer2003_3	Answer2003_4
51	2004	2	RingQuestion2004	1	Answer2004_1	Answer2004_2	Answer2004_3	Answer2004_4
53	2006	2	RingQuestion2006	2	Answer2006_1	Answer2006_2	Answer2006_3	Answer2006_4
