流水	进阶组	进阶战宠ID	进阶后战宠id	进阶等级	当前突破等级	所需等级	所需突破等级	角色等级	进阶消耗道具	进阶消耗碎片数量	进阶货币消耗	等级上限	出战属性	技能id	进阶后普通被动技能	进阶后专属被动技能
int	int	string	string	int	int	int	int	int	string	int	string	int	string	string	string	string
Id	AdvGroupID	PetId	AdvancedPetId	AdvancedLevel	BreakLevel	PetLevel	PetBreakLevel	PlayerLevel	PetItemCost	PetFragmentCost	PetCurrencyCost	PetLevelLimit	FightProp	Skill	AdvancedSkillID	ExclusiveBuffID
1	0	pet_313		0	0	70	5	71		0		70				
2	1	pet_313	pet_314	1	5	70	5	71	item101020505207,2;item101020505312,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69000,1	
3	0	pet_314		1	5	70	5	71	item101020505207,2;item101020505312,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69000,1	
4	0	pet_314		1	6	0	0	0		0		80	211,200;212,600;213,300	skill79101,2	skill69000,2	
5	0	pet_314		1	7	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	
6	0	pet_314		1	8	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	skill60132,1
7	0	pet_314		1	9	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	skill60132,2
8	0	pet_314		1	10	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	skill60132,3
9	0	pet_315		0	0	70	5	71		0		70				
10	2	pet_315	pet_316	1	5	70	5	71	item101020505207,2;item101020505313,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69000,1	
11	0	pet_316		1	5	70	5	71	item101020505207,2;item101020505313,35	15	1,40000000	80	211,200;212,400;213,300	skill79101,1	skill69000,1	
12	0	pet_316		1	6	0	0	0		0		80	211,200;212,600;213,300	skill79101,2	skill69000,2	
13	0	pet_316		1	7	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	
14	0	pet_316		1	8	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	skill60152,1
15	0	pet_316		1	9	0	0	0		0		80	211,200;212,800;213,300	skill79101,3	skill69000,3	skill60152,2
