流水	装备ID	等级	属性
int	int	int	string
ID	EquipID	Level	PropList
1	211	0	3,30;21,29;25,35
2	211	1	3,36;21,34;25,42
3	211	2	3,42;21,39;25,49
4	211	3	3,48;21,44;25,56
5	211	4	3,54;21,49;25,63
6	211	5	3,60;21,54;25,70
7	211	6	3,69;21,62;25,80
8	211	7	3,78;21,70;25,90
9	211	8	3,87;21,78;25,100
10	211	9	3,96;21,86;25,110
11	211	10	3,105;21,94;25,120
12	211	11	3,117;21,105;25,134
13	211	12	3,129;21,116;25,148
14	211	13	3,141;21,127;25,162
15	211	14	3,153;21,138;25,176
16	211	15	3,165;21,149;25,190
17	211	16	3,180;21,163;25,207
18	211	17	3,195;21,177;25,224
19	211	18	3,210;21,191;25,241
20	211	19	3,225;21,205;25,258
21	211	20	3,240;21,219;25,275
22	211	21	3,258;21,236;25,296
23	211	22	3,276;21,253;25,317
24	211	23	3,294;21,270;25,338
25	211	24	3,312;21,287;25,359
26	211	25	3,330;21,304;25,380
27	211	26	3,360;21,333;25,415
28	211	27	3,390;21,362;25,450
29	211	28	3,420;21,391;25,485
30	211	29	3,450;21,420;25,520
31	211	30	3,480;21,449;25,555
32	212	0	1,154;21,25;24,31
33	212	1	1,184;21,30;24,37
34	212	2	1,214;21,35;24,43
35	212	3	1,244;21,40;24,49
36	212	4	1,274;21,45;24,55
37	212	5	1,304;21,50;24,61
38	212	6	1,350;21,57;24,70
39	212	7	1,396;21,64;24,79
40	212	8	1,442;21,71;24,88
41	212	9	1,488;21,78;24,97
42	212	10	1,534;21,85;24,106
43	212	11	1,595;21,95;24,118
44	212	12	1,656;21,105;24,130
45	212	13	1,717;21,115;24,142
46	212	14	1,778;21,125;24,154
47	212	15	1,839;21,135;24,166
48	212	16	1,916;21,147;24,181
49	212	17	1,993;21,159;24,196
50	212	18	1,1070;21,171;24,211
51	212	19	1,1147;21,183;24,226
52	212	20	1,1224;21,195;24,241
53	212	21	1,1316;21,210;24,260
54	212	22	1,1408;21,225;24,279
55	212	23	1,1500;21,240;24,298
56	212	24	1,1592;21,255;24,317
57	212	25	1,1684;21,270;24,336
58	212	26	1,1838;21,295;24,367
59	212	27	1,1992;21,320;24,398
60	212	28	1,2146;21,345;24,429
61	212	29	1,2300;21,370;24,460
62	212	30	1,2454;21,395;24,491
63	213	0	4,14;23,38;26,26
64	213	1	4,16;23,45;26,31
65	213	2	4,18;23,52;26,36
66	213	3	4,20;23,59;26,41
67	213	4	4,22;23,66;26,46
68	213	5	4,24;23,73;26,51
69	213	6	4,28;23,84;26,59
70	213	7	4,32;23,95;26,67
71	213	8	4,36;23,106;26,75
72	213	9	4,40;23,117;26,83
73	213	10	4,44;23,128;26,91
74	213	11	4,49;23,143;26,101
75	213	12	4,54;23,158;26,111
76	213	13	4,59;23,173;26,121
77	213	14	4,64;23,188;26,131
78	213	15	4,69;23,203;26,141
79	213	16	4,76;23,222;26,154
80	213	17	4,83;23,241;26,167
81	213	18	4,90;23,260;26,180
82	213	19	4,97;23,279;26,193
83	213	20	4,104;23,298;26,206
84	213	21	4,112;23,321;26,222
85	213	22	4,120;23,344;26,238
86	213	23	4,128;23,367;26,254
87	213	24	4,136;23,390;26,270
88	213	25	4,144;23,413;26,286
89	213	26	4,158;23,451;26,312
90	213	27	4,172;23,489;26,338
91	213	28	4,186;23,527;26,364
92	213	29	4,200;23,565;26,390
93	213	30	4,214;23,603;26,416
94	214	0	4,19;24,46;26,39
95	214	1	4,22;24,55;26,46
96	214	2	4,25;24,64;26,53
97	214	3	4,28;24,73;26,60
98	214	4	4,31;24,82;26,67
99	214	5	4,34;24,91;26,74
100	214	6	4,39;24,105;26,85
101	214	7	4,44;24,119;26,96
102	214	8	4,49;24,133;26,107
103	214	9	4,54;24,147;26,118
104	214	10	4,59;24,161;26,129
105	214	11	4,66;24,179;26,144
106	214	12	4,73;24,197;26,159
107	214	13	4,80;24,215;26,174
108	214	14	4,87;24,233;26,189
109	214	15	4,94;24,251;26,204
110	214	16	4,103;24,274;26,223
111	214	17	4,112;24,297;26,242
112	214	18	4,121;24,320;26,261
113	214	19	4,130;24,343;26,280
114	214	20	4,139;24,366;26,299
115	214	21	4,150;24,394;26,322
116	214	22	4,161;24,422;26,345
117	214	23	4,172;24,450;26,368
118	214	24	4,183;24,478;26,391
119	214	25	4,194;24,506;26,414
120	214	26	4,213;24,552;26,453
121	214	27	4,232;24,598;26,492
122	214	28	4,251;24,644;26,531
123	214	29	4,270;24,690;26,570
124	214	30	4,289;24,736;26,609
125	215	0	1,270;22,16;23,22
126	215	1	1,324;22,19;23,26
127	215	2	1,378;22,22;23,30
128	215	3	1,432;22,25;23,34
129	215	4	1,486;22,28;23,38
130	215	5	1,540;22,31;23,42
131	215	6	1,621;22,36;23,48
132	215	7	1,702;22,41;23,54
133	215	8	1,783;22,46;23,60
134	215	9	1,864;22,51;23,66
135	215	10	1,945;22,56;23,72
136	215	11	1,1053;22,62;23,81
137	215	12	1,1161;22,68;23,90
138	215	13	1,1269;22,74;23,99
139	215	14	1,1377;22,80;23,108
140	215	15	1,1485;22,86;23,117
141	215	16	1,1620;22,94;23,128
142	215	17	1,1755;22,102;23,139
143	215	18	1,1890;22,110;23,150
144	215	19	1,2025;22,118;23,161
145	215	20	1,2160;22,126;23,172
146	215	21	1,2322;22,136;23,185
147	215	22	1,2484;22,146;23,198
148	215	23	1,2646;22,156;23,211
149	215	24	1,2808;22,166;23,224
150	215	25	1,2970;22,176;23,237
151	215	26	1,3240;22,192;23,259
152	215	27	1,3510;22,208;23,281
153	215	28	1,3780;22,224;23,303
154	215	29	1,4050;22,240;23,325
155	215	30	1,4320;22,256;23,347
156	216	0	4,10;22,25;25,11
157	216	1	4,12;22,30;25,13
158	216	2	4,14;22,35;25,15
159	216	3	4,16;22,40;25,17
160	216	4	4,18;22,45;25,19
161	216	5	4,20;22,50;25,21
162	216	6	4,23;22,57;25,24
163	216	7	4,26;22,64;25,27
164	216	8	4,29;22,71;25,30
165	216	9	4,32;22,78;25,33
166	216	10	4,35;22,85;25,36
167	216	11	4,39;22,95;25,40
168	216	12	4,43;22,105;25,44
169	216	13	4,47;22,115;25,48
170	216	14	4,51;22,125;25,52
171	216	15	4,55;22,135;25,56
172	216	16	4,60;22,147;25,61
173	216	17	4,65;22,159;25,66
174	216	18	4,70;22,171;25,71
175	216	19	4,75;22,183;25,76
176	216	20	4,80;22,195;25,81
177	216	21	4,86;22,210;25,88
178	216	22	4,92;22,225;25,95
179	216	23	4,98;22,240;25,102
180	216	24	4,104;22,255;25,109
181	216	25	4,110;22,270;25,116
182	216	26	4,120;22,295;25,127
183	216	27	4,130;22,320;25,138
184	216	28	4,140;22,345;25,149
185	216	29	4,150;22,370;25,160
186	216	30	4,160;22,395;25,171
187	221	0	3,38;21,25;25,51
188	221	1	3,45;21,30;25,61
189	221	2	3,52;21,35;25,71
190	221	3	3,59;21,40;25,81
191	221	4	3,66;21,45;25,91
192	221	5	3,73;21,50;25,101
193	221	6	3,84;21,57;25,116
194	221	7	3,95;21,64;25,131
195	221	8	3,106;21,71;25,146
196	221	9	3,117;21,78;25,161
197	221	10	3,128;21,85;25,176
198	221	11	3,143;21,95;25,196
199	221	12	3,158;21,105;25,216
200	221	13	3,173;21,115;25,236
201	221	14	3,188;21,125;25,256
202	221	15	3,203;21,135;25,276
203	221	16	3,222;21,147;25,301
204	221	17	3,241;21,159;25,326
205	221	18	3,260;21,171;25,351
206	221	19	3,279;21,183;25,376
207	221	20	3,298;21,195;25,401
208	221	21	3,321;21,210;25,431
209	221	22	3,344;21,225;25,461
210	221	23	3,367;21,240;25,491
211	221	24	3,390;21,255;25,521
212	221	25	3,413;21,270;25,551
213	221	26	3,451;21,295;25,602
214	221	27	3,489;21,320;25,653
215	221	28	3,527;21,345;25,704
216	221	29	3,565;21,370;25,755
217	221	30	3,603;21,395;25,806
218	222	0	1,135;21,22;24,23
219	222	1	1,162;21,26;24,27
220	222	2	1,189;21,30;24,31
221	222	3	1,216;21,34;24,35
222	222	4	1,243;21,38;24,39
223	222	5	1,270;21,42;24,43
224	222	6	1,310;21,48;24,50
225	222	7	1,350;21,54;24,57
226	222	8	1,390;21,60;24,64
227	222	9	1,430;21,66;24,71
228	222	10	1,470;21,72;24,78
229	222	11	1,524;21,80;24,87
230	222	12	1,578;21,88;24,96
231	222	13	1,632;21,96;24,105
232	222	14	1,686;21,104;24,114
233	222	15	1,740;21,112;24,123
234	222	16	1,807;21,123;24,134
235	222	17	1,874;21,134;24,145
236	222	18	1,941;21,145;24,156
237	222	19	1,1008;21,156;24,167
238	222	20	1,1075;21,167;24,178
239	222	21	1,1156;21,180;24,192
240	222	22	1,1237;21,193;24,206
241	222	23	1,1318;21,206;24,220
242	222	24	1,1399;21,219;24,234
243	222	25	1,1480;21,232;24,248
244	222	26	1,1615;21,254;24,271
245	222	27	1,1750;21,276;24,294
246	222	28	1,1885;21,298;24,317
247	222	29	1,2020;21,320;24,340
248	222	30	1,2155;21,342;24,363
249	223	0	4,13;23,43;26,21
250	223	1	4,15;23,51;26,25
251	223	2	4,17;23,59;26,29
252	223	3	4,19;23,67;26,33
253	223	4	4,21;23,75;26,37
254	223	5	4,23;23,83;26,41
255	223	6	4,27;23,95;26,47
256	223	7	4,31;23,107;26,53
257	223	8	4,35;23,119;26,59
258	223	9	4,39;23,131;26,65
259	223	10	4,43;23,143;26,71
260	223	11	4,48;23,160;26,79
261	223	12	4,53;23,177;26,87
262	223	13	4,58;23,194;26,95
263	223	14	4,63;23,211;26,103
264	223	15	4,68;23,228;26,111
265	223	16	4,74;23,249;26,121
266	223	17	4,80;23,270;26,131
267	223	18	4,86;23,291;26,141
268	223	19	4,92;23,312;26,151
269	223	20	4,98;23,333;26,161
270	223	21	4,106;23,358;26,173
271	223	22	4,114;23,383;26,185
272	223	23	4,122;23,408;26,197
273	223	24	4,130;23,433;26,209
274	223	25	4,138;23,458;26,221
275	223	26	4,151;23,501;26,242
276	223	27	4,164;23,544;26,263
277	223	28	4,177;23,587;26,284
278	223	29	4,190;23,630;26,305
279	223	30	4,203;23,673;26,326
280	224	0	4,18;24,34;26,31
281	224	1	4,21;24,40;26,37
282	224	2	4,24;24,46;26,43
283	224	3	4,27;24,52;26,49
284	224	4	4,30;24,58;26,55
285	224	5	4,33;24,64;26,61
286	224	6	4,38;24,74;26,70
287	224	7	4,43;24,84;26,79
288	224	8	4,48;24,94;26,88
289	224	9	4,53;24,104;26,97
290	224	10	4,58;24,114;26,106
291	224	11	4,65;24,127;26,118
292	224	12	4,72;24,140;26,130
293	224	13	4,79;24,153;26,142
294	224	14	4,86;24,166;26,154
295	224	15	4,93;24,179;26,166
296	224	16	4,102;24,196;26,181
297	224	17	4,111;24,213;26,196
298	224	18	4,120;24,230;26,211
299	224	19	4,129;24,247;26,226
300	224	20	4,138;24,264;26,241
301	224	21	4,148;24,284;26,259
302	224	22	4,158;24,304;26,277
303	224	23	4,168;24,324;26,295
304	224	24	4,178;24,344;26,313
305	224	25	4,188;24,364;26,331
306	224	26	4,206;24,398;26,362
307	224	27	4,224;24,432;26,393
308	224	28	4,242;24,466;26,424
309	224	29	4,260;24,500;26,455
310	224	30	4,278;24,534;26,486
311	225	0	1,236;22,22;23,25
312	225	1	1,283;22,26;23,30
313	225	2	1,330;22,30;23,35
314	225	3	1,377;22,34;23,40
315	225	4	1,424;22,38;23,45
316	225	5	1,471;22,42;23,50
317	225	6	1,542;22,48;23,57
318	225	7	1,613;22,54;23,64
319	225	8	1,684;22,60;23,71
320	225	9	1,755;22,66;23,78
321	225	10	1,826;22,72;23,85
322	225	11	1,920;22,80;23,95
323	225	12	1,1014;22,88;23,105
324	225	13	1,1108;22,96;23,115
325	225	14	1,1202;22,104;23,125
326	225	15	1,1296;22,112;23,135
327	225	16	1,1414;22,123;23,147
328	225	17	1,1532;22,134;23,159
329	225	18	1,1650;22,145;23,171
330	225	19	1,1768;22,156;23,183
331	225	20	1,1886;22,167;23,195
332	225	21	1,2028;22,180;23,210
333	225	22	1,2170;22,193;23,225
334	225	23	1,2312;22,206;23,240
335	225	24	1,2454;22,219;23,255
336	225	25	1,2596;22,232;23,270
337	225	26	1,2832;22,254;23,295
338	225	27	1,3068;22,276;23,320
339	225	28	1,3304;22,298;23,345
340	225	29	1,3540;22,320;23,370
341	225	30	1,3776;22,342;23,395
342	226	0	4,9;22,33;25,17
343	226	1	4,10;22,39;25,20
344	226	2	4,11;22,45;25,23
345	226	3	4,12;22,51;25,26
346	226	4	4,13;22,57;25,29
347	226	5	4,14;22,63;25,32
348	226	6	4,16;22,73;25,37
349	226	7	4,18;22,83;25,42
350	226	8	4,20;22,93;25,47
351	226	9	4,22;22,103;25,52
352	226	10	4,24;22,113;25,57
353	226	11	4,27;22,126;25,63
354	226	12	4,30;22,139;25,69
355	226	13	4,33;22,152;25,75
