按键ID(不可修改ID)	快捷键显示字符串	是否修改为快捷键
int	string	bool
KeyCode	KeyName	CanUse
8		
9	Tab	1
12		
13	Enter	1
19		
27		
32	Space	1
33		
34		
35		
36		
37		
38		
39	'	1
40		
41		
42		
43		
44	,	1
45		
46	.	1
47	/	1
48	0	1
49	1	1
50	2	1
51	3	1
52	4	1
53	5	1
54	6	1
55	7	1
56	8	1
57	9	1
58		
59	;	1
60		
61		
62		
63		
64		
91	[	1
92	\	1
93	]	1
94		
95		
96		
97	A	1
98	B	1
99	C	1
100	D	1
101	E	1
102	F	1
103	G	1
104	H	1
105	I	1
106	J	1
107	K	1
108	L	1
109	M	1
110	N	1
111	O	1
112	P	1
113	Q	1
114	R	1
115	S	1
116	T	1
117	U	1
118	V	1
119	W	1
120	X	1
121	Y	1
122	Z	1
123		
124		
125		
126		
127		
256	0	1
257	1	1
258	2	1
259	3	1
260	4	1
261	5	1
262	6	1
263	7	1
264	8	1
265	9	1
266		
267		
268		
269		
270		
271		
272		
273		
274		
275		
276		
277		
278		
279		
280		
281		
282		
283		
284		
285		
286		
287		
288		
289		
290		
291		
292		
293		
294		
295		
296		
300		
301		
302		
303		
304	Shift	1
305		
306		
307		
308		
309		
309		
310		
310		
311		
312		
313		
315		
316		
317		
318		
319		
323		
324		
325		
326		
327		
328		
329		
330		
331		
332		
333		
334		
335		
336		
337		
338		
339		
340		
341		
342		
343		
344		
345		
346		
347		
348		
349		
350		
351		
352		
353		
354		
355		
356		
357		
358		
359		
360		
361		
362		
363		
364		
365		
366		
367		
368		
369		
370		
371		
372		
373		
374		
375		
376		
377		
378		
379		
380		
381		
382		
383		
384		
385		
386		
387		
388		
389		
390		
391		
392		
393		
394		
395		
396		
397		
398		
399		
400		
401		
402		
403		
404		
405		
406		
407		
408		
409		
410		
411		
412		
413		
414		
415		
416		
417		
418		
419		
420		
421		
422		
423		
424		
425		
426		
427		
428		
429		
430		
431		
432		
433		
434		
435		
436		
437		
438		
439		
440		
441		
442		
443		
444		
445		
446		
447		
448		
449		
450		
451		
452		
453		
454		
455		
456		
457		
458		
459		
460		
461		
462		
463		
464		
465		
466		
467		
468		
469		
470		
471		
472		
473		
474		
475		
476		
477		
478		
479		
480		
481		
482		
483		
484		
485		
486		
487		
488		
489		
490		
491		
492		
493		
494		
495		
496		
497		
498		
499		
500		
501		
502		
503		
504		
505		
506		
507		
508		
509		
