流水id	场景id	巢穴类型	副本阶段	控制方式	条件类型值	刷新内容	限制类型值	奖励次数保留上限	技能攻略
int	int	int	int	int	string	int	int	int	string
Id	SceneID	GroupId	State	CondType	CondValue	LimitType	Times	MaxRewardKeep	SkillStrategy
1	1150	150	1	1	monster34000360,monster34000361	30	1	1	
2	1150	150	2	2	0	30	1	1	
3	1036	3	1	2	0	30	1	3	6,7,8,159
4	1036	3	2	1	monster30000380	30	1	3	13,14,15,16,160
5	1029	3	1	2	0	30	1	3	6,7,8,159
6	1029	3	2	1	monster30000380	30	1	3	13,14,15,16,160
7	1030	3	1	2	0	30	1	3	9,10,11,159
8	1030	3	2	1	monster30100380	30	1	3	17,18,19,20,21,22,23,160
9	1151	151	1	1	monster34000260,monster34000281	30	1	1	
10	1151	151	2	1	monster34000280	30	1	1	
11	1037	2	1	2	0	30	1	3	25,26,159
12	1037	2	2	1	monster30000280	30	1	3	29,30,31,159
13	1037	2	3	1	monster30000282	30	1	3	35,36,37,38,160
14	1027	2	1	2	0	30	1	3	25,26,159
15	1027	2	2	1	monster30000280	30	1	3	29,30,31,159
16	1027	2	3	1	monster30000282	30	1	3	35,36,37,38,160
17	1028	2	1	2	0	30	1	3	27,28,159
18	1028	2	2	1	monster30100280	30	1	3	32,33,34,159
19	1028	2	3	1	monster30100282	30	1	3	39,40,41,42,43,160
20	1035	1	1	1	monster30000160	30	1	3	45,46,159
21	1035	1	2	1	monster30000161,monster30000162,monster30000163	30	1	3	49,50,51,159
22	1035	1	3	1	monster30000180	30	1	3	55,56,57,58,59,60,160
23	1025	1	1	1	monster30000160	30	1	3	45,46,159
24	1025	1	2	1	monster30000161,monster30000162,monster30000163	30	1	3	49,50,51,159
25	1025	1	3	1	monster30000180	30	1	3	55,56,57,58,59,60,160
26	1026	1	1	1	monster30100160	30	1	3	47,48,159
27	1026	1	2	1	monster30100161,monster30100162,monster30100163	30	1	3	52,53,54,159
28	1026	1	3	1	monster30100180	30	1	3	61,62,63,64,65,66,67,68,160
29	1031	4	1	1	monster30000460,monster30000461	30	1	3	70,71,75,159
30	1031	4	2	1	monster30000406	30	1	3	80,81,159
31	1031	4	3	1	monster30000480	30	1	3	85,86,87,88,89,90,160
32	1032	4	1	1	monster30100460,monster30100461	30	1	3	72,73,77,78,79,159
33	1032	4	2	1	monster30100406	30	1	3	82,83,159
34	1032	4	3	1	monster30100480	30	1	3	91,92,93,94,95,96,97,160
35	1100	100	2	1	monster31000180	33	1	1	102,103,104,105,165,106,107,108,109,110
36	1100	100	1	1	monster31000160	33	1	1	99,100,101,161
37	1103	100	2	1	monster31100180	33	1	1	189,190,191,192,165,193,194,195,196,197
38	1103	100	1	1	monster31100160	33	1	1	186,187,188,161
39	1033	5	3	1	monster30000560	30	1	3	111,112,113,114,115,159
40	1033	5	5	1	monster30000580	30	1	3	121,122,123,124,125,126,127,128,129,160
41	1034	5	3	1	monster30100560	30	1	3	116,117,118,119,120,159
42	1034	5	5	1	monster30100580	30	1	3	131,132,133,134,135,136,137,138,139,160
43	1039	6	2	1	monster30100660	30	1	3	197,198,199,200,201,202,203
44	1039	6	4	1	monster30100680	30	1	3	204,205,206,207,208,209,210
45	1038	6	2	1	monster30100660	30	1	3	197,198,199,200,201,202,203
