掉落库Id	加成的才艺属性id	掉落内容
int	int	string
RewardDropId	ArtPropId	KeyId
80001	0	item127000063020
80001	0	item127000063021
80001	0	item127000063022
80002	0	item127000065001
80002	0	item127000065002
80002	0	item127000065003
80002	0	item127000065004
80002	0	item127000065005
80002	0	item127000065006
80002	0	item127000065007
80002	0	item127000065008
80002	0	item127000065009
80003	0	item127000065010
80003	0	item127000065011
80003	0	item127000065012
80003	0	item127000065013
80003	0	item127000065014
80003	0	item127000065015
80003	0	item127000065016
80003	0	item127000065017
80003	0	item127000065018
80003	0	item127000065019
80003	0	item127000065020
80003	0	item127000065021
80003	0	item127000065022
80003	0	item127000065023
80003	0	item127000065024
80003	0	item127000065025
80003	0	item127000065026
80003	0	item127000065027
80003	0	item127000065028
80003	0	item127000065029
80004	0	item127000065030
80004	0	item127000065031
80004	0	item127000065032
80004	0	item127000065033
80004	0	item127000065034
80004	0	item127000065035
80004	0	item127000065036
80004	0	item127000065037
80004	0	item127000065038
80004	0	item127000065039
80004	0	item127000065040
80004	0	item127000065041
80004	0	item127000065042
80004	0	item127000065043
80004	0	item127000065044
80004	0	item127000065045
80004	0	item127000065046
80004	0	item127000065047
80004	0	item127000065048
80004	0	item127000065049
80005	0	item127000065050
80005	0	item127000065051
80005	0	item127000065052
80005	0	item127000065053
80005	0	item127000065054
80005	0	item127000065055
80005	0	item127000065056
80005	0	item127000065057
80005	0	item127000065058
80005	0	item127000065059
80005	0	item127000065060
80005	0	item127000065061
80005	0	item127000065062
80005	0	item127000065063
80005	0	item127000065064
80005	0	item127000065065
80005	0	item127000065066
80005	0	item127000065067
80005	0	item127000065068
80005	0	item127000065069
81001	0	item127000065001
81001	0	item127000065004
81001	0	item127000065005
81002	0	item127000065002
81002	0	item127000065006
81002	0	item127000065007
81003	0	item127000065003
81003	0	item127000065008
81003	0	item127000065009
81004	0	item127000065010
81004	0	item127000065011
81004	0	item127000065020
81004	0	item127000065021
81005	0	item127000065012
81005	0	item127000065013
81005	0	item127000065022
81005	0	item127000065023
81006	0	item127000065014
81006	0	item127000065015
81006	0	item127000065024
81006	0	item127000065025
81007	0	item127000065012
81007	0	item127000065013
81007	0	item127000065022
81007	0	item127000065023
81008	0	item127000065018
81008	0	item127000065019
81008	0	item127000065028
81008	0	item127000065029
81009	0	item127000065030
81009	0	item127000065031
81009	0	item127000065040
81009	0	item127000065041
81010	0	item127000065032
81010	0	item127000065033
81010	0	item127000065042
81010	0	item127000065043
81011	0	item127000065034
81011	0	item127000065035
81011	0	item127000065044
81011	0	item127000065045
81012	0	item127000065036
81012	0	item127000065037
81012	0	item127000065046
81012	0	item127000065047
