角色	姓名	姓名简称	职业	翻滚技能	职业名称	角色头像	职业图标	职业图标-主界面	展示音效ID	职业特性评价值属性	解锁条件	描述	语音拼接ID	性别	模型动作集	高模展示动作集	角色打断优先级	模型高度	发射点绑点	发射点偏移	模型半径	模型阴影大小比例	质量	警戒范围半径	追击范围半径	子类型	死亡特效	开始展示形象	开始展示装备	开始展示武器	开始展示翅膀	开始展示翅膀特效	对话显示参照	对话显示缩放	奔跑音效	模型展示缩放	觉醒角色Id	转性英雄id	默认高模Avatar	默认低模Avatar
string	string	string	int	string	string	string	string	string	int	string	int	string	int	int	int	string	int	float	int	string	float	float	float	float	float	string	int	string	string	int	int	int	vector3	float	string	float	int	string	string	string
Id	Name	ShortName	Job	RollSkill	JobName	PlayerIcon	JobIcon	MainJobIcon	ActionSound	JobEvaluateParams	UnlockCondition	Desc	TalkJointID	Sex	ActionSet	RandomActionId	RolePrior	CollideHeight	BulletBindPos	BulletOffset	CollideRadius	ShadowSize	RoleMass	WarningRadius	ChaseRadius	Script	DieEffectId	table@InitShowAvatar	table@InitShowEquipIds	InitShowWeaponRes	InitShowWing	InitShowWingStar	TalkShowOffset	TalkShowScale	Footstep	AvatarZoom	StarChildId	ChangeGenderHero	HighAvatarShow	LowAvatarShow
hero101	Hero_Name101	Hero_ShortName101	1	skill1219	Hero_JobName1	job1101	hero101_job01	hero101_job01	3000	0.75,0.9,0.5,0.8,0.9,0.85	0	Hero_Desc101	1	1	1002001	5	8	1.900000	0		0.500000	1.800000	1.000000	-1.000000	-1.000000	hero	90006	armor005_t1;clothes005_t1;pants005_t1	32420010;32420011;32420012;32420013;32420014;32420015	100603	53120010	0	0.1,0,-0.1	1.000000	8,0.09999999;8,0.4666662	1.000000	101		c001h|bottoms|c001h_bottoms001_t1|clothes|c001h_clothes001_t1|face|c001h_face001_t1|head|c001h_head001_t1|shoulder|c001h_shoulder001_t1|weapon|c001h_weapon001_t1|partb|c001h_partb001_t1|partc|c001h_partc001_t1	c001|bottoms|c001_bottoms001_t1|clothes|c001_clothes001_t1|face|c001_face001_t1|head|c001_head001_t1|shoulder|c001_shoulder001_t1|weapon|c001_weapon001_t1|partb|c001_partb001_t1|partc|c001_partc001_t1
hero102	Hero_Name102	Hero_ShortName102	2	skill1120	Hero_JobName2	job1201	hero102_job01	hero102_job01	3001	0.9,0.65,0.3,0.7,0.6,0.75	1	Hero_Desc102	2	2	1001001	5	8	1.800000	0	0,1.07,0.62	0.500000	1.800000	1.000000	-1.000000	-1.000000	hero	90006	armor005_t1;clothes005_t1;pants005_t1	32420010;32420011;32420012;32420013;32420014;32420015	100603	53120010	0	0.05,0.1,-0.5	1.000000	8,0.09999999;8,0.4666662	1.000000	102		c002h|bottoms|c002h_bottoms001_t1|clothes|c002h_clothes001_t1|face|c002h_face001_t1|head|c002h_head001_t1|shoulder|c002h_shoulder001_t1|weapon|c002h_weapon001_t1	c002|bottoms|c002_bottoms001_t1|clothes|c002_clothes001_t1|face|c002_face001_t1|head|c002_head001_t1|shoulder|c002_shoulder001_t1|weapon|c002_weapon001_t1
hero103	Hero_Name103	Hero_ShortName103	3	skill1018	Hero_JobName3	job1301	hero103_job01	hero103_job01	3002	0.85,0.75,0.3,0.75,0.8,0.9	2	Hero_Desc103	3	2	1000001	5	8	1.800000	0	0,1.15,0.45	0.500000	1.800000	1.000000	-1.000000	-1.000000	hero	90006	armor005_t1;clothes005_t1;pants005_t1	32420010;32420011;32420012;32420013;32420014;32420015	100603	53120010	0	0.1,0,-0.4	1.000000	8,0.03333333;8,0.3999996	1.000000	103	hero107	c003h|bottoms|c003h_bottoms001_t1|clothes|c003h_clothes001_t1|face|c003h_face001_t1|head|c003h_head001_t1|shoulder|c003h_shoulder001_t1|weapon|c003h_weapon001_t1|parta|c003h_parta001_t1	c003|bottoms|c003_bottoms001_t1|clothes|c003_clothes001_t1|face|c003_face001_t1|head|c003_head001_t1|shoulder|c003_shoulder001_t1|weapon|c003_weapon001_t1|parta|c003_parta001_t1
hero107	Hero_Name107	Hero_ShortName103	3	skill1018_1	Hero_JobName3	job1801	hero103_job01	hero103_job01	17	0.85,0.75,0.3,0.75,0.8,0.9	2	Hero_Desc103	7	1	1000001	5	8	1.900000	0	0,1.15,0.45	0.500000	1.800000	1.000000	-1.000000	-1.000000	hero	90006	armor005_t1;clothes005_t1;pants005_t1	32420010;32420011;32420012;32420013;32420014;32420015	100603	53120010	0	0.1,0,-0.4	1.000000	8,0.03333333;8,0.3999996	1.000000	107	hero103	c007h|bottoms|c007h_bottoms001_t1|clothes|c007h_clothes001_t1|face|c007h_face001_t1|head|c007h_head001_t1|shoulder|c007h_shoulder001_t1|weapon|c007h_weapon001_t1|parta|c007h_parta001_t1|partc|c007h_partc001_t1	c007|bottoms|c007_bottoms001_t1|clothes|c007_clothes001_t1|face|c007_face001_t1|head|c007_head001_t1|shoulder|c007_shoulder001_t1|weapon|c007_weapon001_t1|parta|c007_parta001_t1|partc|c007_partc001_t1
hero104	Hero_Name104	Hero_ShortName104	4	skill1318	Hero_JobName4	job1401	hero104_job01	hero104_job01	3003	0.45,0.75,0.9,0.5,0.75,0.5	3	Hero_Desc104	4	2	1003001	5	8	1.800000	0		0.500000	1.800000	1.000000	-1.000000	-1.000000	hero	90006	armor005_t1;clothes005_t1;pants005_t1	32420010;32420011;32420012;32420013;32420014;32420015	100603	53120010	0	0.1,0,-0.5	1.000000	8,0.09999999;8,0.4666662	1.000000	104	hero108	c004h|bottoms|c004h_bottoms001_t1|clothes|c004h_clothes001_t1|face|c004h_face001_t1|head|c004h_head001_t1|shoulder|c004h_shoulder001_t1|weapon|c004h_weapon001_t1	c004|bottoms|c004_bottoms001_t1|clothes|c004_clothes001_t1|face|c004_face001_t1|head|c004_head001_t1|shoulder|c004_shoulder001_t1|weapon|c004_weapon001_t1
hero108	Hero_Name204	Hero_ShortName104	4	skill1318_1	Hero_JobName4	job1701	hero104_job01	hero104_job01	3003	0.45,0.75,0.9,0.5,0.75,0.5	3	Hero_Desc104	8	1	1007001	5	8	1.900000	0		0.500000	1.800000	1.000000	-1.000000	-1.000000	hero	90006	armor005_t1;clothes005_t1;pants005_t1	32420010;32420011;32420012;32420013;32420014;32420015	100603	53120010	0	0.1,0,-0.5	1.000000	8,0.09999999;8,0.4666662	1.000000	108	hero104	c008h|bottoms|c008h_bottoms001_t1|clothes|c008h_clothes001_t1|face|c008h_face001_t1|head|c008h_head001_t1|shoulder|c008h_shoulder001_t1|weapon|c008h_weapon001_t1|partc|c008h_partc001_t1	c008|bottoms|c008_bottoms001_t1|clothes|c008_clothes001_t1|face|c008_face001_t1|head|c008_head001_t1|shoulder|c008_shoulder001_t1|weapon|c008_weapon001_t1|partc|c008_partc001_t1
hero105	Hero_Name105	Hero_ShortName105	5	skill1416	Hero_JobName5	job1501	hero105_job01	hero105_job01	3004	0.9,0.7,0.3,0.5,0.65,0.9	4	Hero_Desc105	5	1	1004001	5	8	1.800000	0		0.500000	1.800000	1.000000	-1.000000	-1.000000	hero	90006	armor005_t1;clothes005_t1;pants005_t1	32420010;32420011;32420012;32420013;32420014;32420015	100603	53120010	0	0.1,0,-0.5	1.000000	8,0.03333333;8,0.2999997	1.000000	105		c005h|bottoms|c005h_bottoms001_t1|clothes|c005h_clothes001_t1|face|c005h_face001_t1|head|c005h_head001_t1|shoulder|c005h_shoulder001_t1|weapon|c005h_weapon001_t1|parta|c005h_parta001_t1	c005|bottoms|c005_bottoms001_t1|clothes|c005_clothes001_t1|face|c005_face001_t1|head|c005_head001_t1|shoulder|c005_shoulder001_t1|weapon|c005_weapon001_t1|parta|c005_parta001_t1
hero106	Hero_Name106	Hero_ShortName106	6	skill1517	Hero_JobName6	job1601	hero106_job01	hero106_job01	17	0.9,0.8,0.2,1,0.8,1	0	Hero_Desc106	6	1	1005001	5	8	2.000000	0		0.700000	1.800000	1.000000	-1.000000	-1.000000	hero	90006	armor005_t1;clothes005_t1;pants005_t1	32420010;32420011;32420012;32420013;32420014;32420015	100603	53120010	0	0.1,0,-0.1	1.000000	8,0.09999999;8,0.4666662	0.950000	106		c006h|bottoms|c006h_bottoms001_t1|clothes|c006h_clothes001_t1|face|c006h_face001_t1|head|c006h_head001_t1|shoulder|c006h_shoulder001_t1|weapon|c006h_weapon001_t1	c006|bottoms|c006_bottoms001_t1|clothes|c006_clothes001_t1|face|c006_face001_t1|head|c006_head001_t1|shoulder|c006_shoulder001_t1|weapon|c006_weapon001_t1
