流水	精灵	成长度等级	成长度经验	突破阶段	饲养属性	出战属性	放生返回	技能id	展示技能Id	派遣获得奖励展示	是否公会新闻	进阶等级
int	string	int	int	int	string	string	string	string	string	string	bool	int
Id	Fairy	GrowLevel	Exp	BreakLimit	FeedingProp	FightProp	DroptCompensate	Skill	ShowSkill	DispatchReward	IsGuildNews	AdvancedLevel
1	egg_001	0	0	0								0
2	egg_002	0	0	0								0
3	egg_003	0	0	0								0
4	egg_004	0	0	0								0
5	egg_1001	0	0	0								0
6	egg_1002	0	0	0								0
7	egg_1003	0	0	0								0
8	egg_1004	0	0	0								0
9	egg_1005	0	0	0								0
10	egg_1006	0	0	0								0
11	egg_1007	0	0	0								0
12	egg_1008	0	0	0								0
13	egg_1009	0	0	0								0
14	egg_1010	0	0	0								0
15	egg_1011	0	0	0								0
16	egg_1012	0	0	0								0
17	egg_1013	0	0	0								0
18	egg_1014	0	0	0								0
19	egg_1015	0	0	0								0
20	egg_1016	0	0	0								0
21	egg_1017	0	0	0								0
22	egg_1018	0	0	0								0
23	egg_1019	0	0	0								0
24	egg_1020	0	0	0								0
25	egg_1021	0	0	0								0
26	egg_1022	0	0	0								0
27	egg_1023	0	0	0								0
28	egg_1024	0	0	0								0
29	egg_1025	0	0	0								0
30	egg_1026	0	0	0								0
31	egg_1027	0	0	0								0
32	egg_1028	0	0	0								0
33	egg_1029	0	0	0								0
34	egg_1030	0	0	0								0
35	egg_1031	0	0	0								0
36	egg_1032	0	0	0								0
37	egg_1033	0	0	0								0
38	egg_1034	0	0	0								0
39	egg_1035	0	0	0								0
40	egg_1036	0	0	0								0
41	egg_1037	0	0	0								0
42	egg_1038	0	0	0								0
43	egg_1039	0	0	0								0
44	egg_1040	0	0	0								0
45	egg_1041	0	0	0								0
46	egg_1042	0	0	0								0
47	egg_1043	0	0	0								0
48	egg_1044	0	0	0								0
49	egg_1045	0	0	0								0
50	egg_1046	0	0	0								0
51	egg_1047	0	0	0								0
52	egg_1048	0	0	0								0
53	egg_1049	0	0	0								0
54	egg_1050	0	0	0								0
55	egg_1051	0	0	0								0
56	egg_1052	0	0	0								0
57	egg_1053	0	0	0								0
58	egg_1054	0	0	0								0
59	egg_1055	0	0	0								0
60	egg_1056	0	0	0								0
61	egg_1057	0	0	0								0
62	egg_1058	0	0	0								0
63	egg_1059	0	0	0								0
64	egg_1060	0	0	0								0
65	egg_1061	0	0	0								0
66	egg_1062	0	0	0								0
67	egg_1063	0	0	0								0
68	egg_1064	0	0	0								0
69	egg_1065	0	0	0								0
70	egg_1066	0	0	0								0
71	egg_1067	0	0	0								0
72	egg_1068	0	0	0								0
73	egg_1069	0	0	0								0
74	egg_1070	0	0	0								0
75	egg_1071	0	0	0								0
76	egg_1072	0	0	0								0
77	egg_1073	0	0	0								0
78	egg_1074	0	0	0								0
79	egg_1075	0	0	0								0
80	egg_1076	0	0	0								0
81	egg_1077	0	0	0								0
82	egg_1078	0	0	0								0
83	egg_1079	0	0	0								0
84	egg_1080	0	0	0								0
85	egg_1081	0	0	0								0
86	egg_1082	0	0	0								0
87	egg_1083	0	0	0								0
88	egg_1084	0	0	0								0
89	egg_1085	0	0	0								0
90	egg_1086	0	0	0								0
91	egg_1087	0	0	0								0
92	egg_1088	0	0	0								0
93	egg_1089	0	0	0								0
94	egg_1090	0	0	0								0
95	egg_1091	0	0	0								0
96	egg_1092	0	0	0								0
97	egg_1093	0	0	0								0
98	egg_1094	0	0	0								0
99	egg_1095	0	0	0								0
100	egg_1096	0	0	0								0
101	egg_1097	0	0	0								0
102	egg_1098	0	0	0								0
103	egg_2001	0	0	0								0
104	egg_2002	0	0	0								0
105	egg_2003	0	0	0								0
106	egg_2004	0	0	0								0
