流水	使者ID	鉴定次数	条数库
int	string	string	int
Id	EnvoyId	Identify	ValueId
1	envoy_5001	0,1	10001
2	envoy_5001	2,2	10002
3	envoy_5001	3,10	10003
4	envoy_5001	11,40	10004
5	envoy_5001	41,999999999	10005
6	envoy_5002	0,1	10001
7	envoy_5002	2,2	10002
8	envoy_5002	3,10	10003
9	envoy_5002	11,40	10004
10	envoy_5002	41,999999999	10005
11	envoy_5003	0,1	10001
12	envoy_5003	2,2	10002
13	envoy_5003	3,10	10003
14	envoy_5003	11,40	10004
15	envoy_5003	41,999999999	10005
16	envoy_5004	0,1	10001
17	envoy_5004	2,2	10002
18	envoy_5004	3,10	10003
19	envoy_5004	11,14	11001
20	envoy_5004	15,19	11002
21	envoy_5004	20,999999999	11003
22	envoy_5005	0,1	10001
23	envoy_5005	2,2	10002
24	envoy_5005	3,10	10003
25	envoy_5005	11,40	10014
26	envoy_5005	41,999999999	10015
27	envoy_4001	0,1	20001
28	envoy_4001	2,2	20002
29	envoy_4001	3,10	20003
30	envoy_4001	11,20	20004
31	envoy_4001	21,999999999	20005
32	envoy_4002	0,1	20001
33	envoy_4002	2,2	20002
34	envoy_4002	3,10	20003
35	envoy_4002	11,20	20004
36	envoy_4002	21,999999999	20005
37	envoy_4003	0,1	20001
38	envoy_4003	2,2	20002
39	envoy_4003	3,10	20003
40	envoy_4003	11,20	20004
41	envoy_4003	21,999999999	20005
42	envoy_3001	0,999999999	30001
43	envoy_5006	0,1	10001
44	envoy_5006	2,2	10002
45	envoy_5006	3,10	10003
46	envoy_5006	11,40	10016
47	envoy_5006	41,999999999	10017
48	envoy_5007	0,1	10001
49	envoy_5007	2,2	10002
50	envoy_5007	3,10	10003
51	envoy_5007	11,14	11004
52	envoy_5007	15,19	11005
53	envoy_5007	20,999999999	11006
54	envoy_5008	0,1	10001
55	envoy_5008	2,2	10002
56	envoy_5008	3,10	10003
57	envoy_5008	11,40	10018
58	envoy_5008	41,999999999	10019
