合成前玩具ID	合成需要的数量	标题	合成后ID
int	int	string	int
Id	Numbers	Title	Result
1200101	2	Stn_Cmp_PetToy	1200102
1200102	2	Stn_Cmp_PetToy	1200103
1200103	2	Stn_Cmp_PetToy	1200104
1200104	2	Stn_Cmp_PetToy	1200105
1200201	2	Stn_Cmp_PetToy	1200202
1200202	2	Stn_Cmp_PetToy	1200203
1200203	2	Stn_Cmp_PetToy	1200204
1200204	2	Stn_Cmp_PetToy	1200205
1200301	2	Stn_Cmp_PetToy	1200302
1200302	2	Stn_Cmp_PetToy	1200303
1200303	2	Stn_Cmp_PetToy	1200304
1200304	2	Stn_Cmp_PetToy	1200305
1200401	2	Stn_Cmp_PetToy	1200402
1200402	2	Stn_Cmp_PetToy	1200403
1200403	2	Stn_Cmp_PetToy	1200404
1200404	2	Stn_Cmp_PetToy	1200405
1200501	2	Stn_Cmp_PetToy	1200502
1200502	2	Stn_Cmp_PetToy	1200503
1200503	2	Stn_Cmp_PetToy	1200504
1200504	2	Stn_Cmp_PetToy	1200505
1200601	2	Stn_Cmp_PetToy	1200602
1200602	2	Stn_Cmp_PetToy	1200603
1200603	2	Stn_Cmp_PetToy	1200604
1200604	2	Stn_Cmp_PetToy	1200605
1200701	2	Stn_Cmp_PetToy	1200702
1200702	2	Stn_Cmp_PetToy	1200703
1200703	2	Stn_Cmp_PetToy	1200704
1200704	2	Stn_Cmp_PetToy	1200705
1200801	2	Stn_Cmp_PetToy	1200802
1200802	2	Stn_Cmp_PetToy	1200803
1200803	2	Stn_Cmp_PetToy	1200804
1200804	2	Stn_Cmp_PetToy	1200805
1300101	2	Stn_Cmp_PetToy	1300102
1300102	2	Stn_Cmp_PetToy	1300103
1300103	2	Stn_Cmp_PetToy	1300104
1300104	2	Stn_Cmp_PetToy	1300105
1300201	2	Stn_Cmp_PetToy	1300202
1300202	2	Stn_Cmp_PetToy	1300203
1300203	2	Stn_Cmp_PetToy	1300204
1300204	2	Stn_Cmp_PetToy	1300205
1300301	2	Stn_Cmp_PetToy	1300302
1300302	2	Stn_Cmp_PetToy	1300303
1300303	2	Stn_Cmp_PetToy	1300304
1300304	2	Stn_Cmp_PetToy	1300305
1300401	2	Stn_Cmp_PetToy	1300402
1300402	2	Stn_Cmp_PetToy	1300403
1300403	2	Stn_Cmp_PetToy	1300404
1300404	2	Stn_Cmp_PetToy	1300405
1300501	2	Stn_Cmp_PetToy	1300502
1300502	2	Stn_Cmp_PetToy	1300503
1300503	2	Stn_Cmp_PetToy	1300504
1300504	2	Stn_Cmp_PetToy	1300505
1300601	2	Stn_Cmp_PetToy	1300602
1300602	2	Stn_Cmp_PetToy	1300603
1300603	2	Stn_Cmp_PetToy	1300604
1300604	2	Stn_Cmp_PetToy	1300605
1300701	2	Stn_Cmp_PetToy	1300702
1300702	2	Stn_Cmp_PetToy	1300703
1300703	2	Stn_Cmp_PetToy	1300704
1300704	2	Stn_Cmp_PetToy	1300705
1300801	2	Stn_Cmp_PetToy	1300802
1300802	2	Stn_Cmp_PetToy	1300803
1300803	2	Stn_Cmp_PetToy	1300804
1300804	2	Stn_Cmp_PetToy	1300805
1300901	2	Stn_Cmp_PetToy	1300902
1300902	2	Stn_Cmp_PetToy	1300903
1300903	2	Stn_Cmp_PetToy	1300904
1300904	2	Stn_Cmp_PetToy	1300905
1301001	2	Stn_Cmp_PetToy	1301002
1301002	2	Stn_Cmp_PetToy	1301003
1301003	2	Stn_Cmp_PetToy	1301004
1301004	2	Stn_Cmp_PetToy	1301005
1400101	2	Stn_Cmp_PetToy	1400102
1400102	2	Stn_Cmp_PetToy	1400103
1400103	2	Stn_Cmp_PetToy	1400104
1400104	2	Stn_Cmp_PetToy	1400105
1400201	2	Stn_Cmp_PetToy	1400202
1400202	2	Stn_Cmp_PetToy	1400203
1400203	2	Stn_Cmp_PetToy	1400204
1400204	2	Stn_Cmp_PetToy	1400205
1400301	2	Stn_Cmp_PetToy	1400302
1400302	2	Stn_Cmp_PetToy	1400303
1400303	2	Stn_Cmp_PetToy	1400304
1400304	2	Stn_Cmp_PetToy	1400305
1400401	2	Stn_Cmp_PetToy	1400402
1400402	2	Stn_Cmp_PetToy	1400403
1400403	2	Stn_Cmp_PetToy	1400404
1400404	2	Stn_Cmp_PetToy	1400405
1400501	2	Stn_Cmp_PetToy	1400502
