流水ID	商店标签	商品编号	类别ID	道具显示排序	道具显示角色ID	道具ID	货币类型	售价	角标类别	页签显示标签	原价	限购折扣	限购数量	限购类型	赠送限制	距离开服的天数	角色可见的等级	时装id	模型展示缩放	模型展示位置偏移	模型初始展示角度
int	int	int	int	int	string	string	int	string	int	string	int	int	int	int	int	string	string	string	float	string	int
Id	LabelId	GoodsId	LabelSort	ItemSort	HeroSort	ItemId	PriceType	GuidePrice	TabelSort	Tabel	OriginalPrice	Sale	BuyLimitNum	BuyLimitType	Present	SeverOpenTime	Level	FashionId	ShowZoom	ShowPos	ShowAngle
1	1	1	2	1	hero101	item130000001252	0	item101200040004,60	0		0	0	1	4	1			fashion_101252	1.150000	0.1,-0.25	180
2	1	2	2	2	hero102	item130000002252	0	item101200040004,60	0		0	0	1	4	1			fashion_102252	1.150000	0.1,-0.25	180
3	1	3	2	3	hero103	item130000003252	0	item101200040004,60	0		0	0	1	4	1			fashion_103252	1.150000	0.1,-0.25	180
4	1	4	2	4	hero104	item130000004252	0	item101200040004,60	0		0	0	1	4	1			fashion_104252	1.150000	0.1,-0.25	180
5	1	5	2	5	hero105	item130000005252	0	item101200040004,60	0		0	0	1	4	1			fashion_105252	1.150000	0.1,-0.25	180
6	1	6	2	6	hero106	item130000006252	0	item101200040004,60	0		0	0	1	4	1			fashion_106252	1.150000	0.1,-0.25	180
7	1	7	2	7	hero107	item130000007252	0	item101200040004,60	0		0	0	1	4	1			fashion_107252	1.150000	0.1,-0.25	180
8	1	8	2	8	hero108	item130000008252	0	item101200040004,60	0		0	0	1	4	1			fashion_108252	1.150000	0.1,-0.25	180
9	1	9	3	9	hero101	item130000001352	0	item101200040004,30	0		0	0	1	4	1			fashion_101352	1.150000	0.1,-0.25	180
10	1	10	3	10	hero102	item130000002352	0	item101200040004,30	0		0	0	1	4	1			fashion_102352	1.150000	0.1,-0.25	180
11	1	11	3	11	hero103	item130000003352	0	item101200040004,30	0		0	0	1	4	1			fashion_103352	1.150000	0.1,-0.25	180
12	1	12	3	12	hero104	item130000004352	0	item101200040004,30	0		0	0	1	4	1			fashion_104352	1.150000	0.1,-0.25	180
13	1	13	3	13	hero105	item130000005352	0	item101200040004,30	0		0	0	1	4	1			fashion_105352	1.150000	0.1,-0.25	180
14	1	14	3	14	hero106	item130000006352	0	item101200040004,30	0		0	0	1	4	1			fashion_106352	1.150000	0.1,-0.25	180
15	1	15	3	15	hero107	item130000007352	0	item101200040004,30	0		0	0	1	4	1			fashion_107352	1.150000	0.1,-0.25	180
16	1	16	3	16	hero108	item130000008352	0	item101200040004,30	0		0	0	1	4	1			fashion_108352	1.150000	0.1,-0.25	180
17	1	17	1	17	hero101	item130000001152	0	item101200040004,30	0		0	0	1	4	1			fashion_101152	1.150000	0.1,-0.25	180
18	1	18	1	18	hero102	item130000002152	0	item101200040004,30	0		0	0	1	4	1			fashion_102152	1.150000	0.1,-0.25	180
