流水	属性库id	属性品质	属性ID	属性下限	属性上限
int	int	int	int	int	int
Id	DropBoxId	PropRare	PropId	PropMin	PropMax
1	1010	2	301	1000	1000
2	1020	2	301	1000	1000
3	1030	2	301	2000	2000
4	1110	2	301	2000	2000
5	1120	2	301	2000	2000
6	1130	2	301	4000	4000
7	1140	3	301	6000	6000
8	1140	3	3	100	100
9	1140	3	13	100	100
10	1140	3	1	900	1200
11	1150	3	301	8000	8000
12	1150	3	3	100	100
13	1150	3	13	150	150
14	1150	3	1	900	1200
15	2110	2	301	4000	4000
16	2120	2	301	4000	4000
17	2130	2	301	8000	8000
18	2140	3	301	8000	10000
19	2140	3	3	100	100
20	2140	3	11	100	100
21	2140	3	1	1200	1500
22	2150	3	301	14000	15000
23	2150	3	3	100	100
24	2150	3	11	150	150
25	2150	3	1	1200	1500
26	2141	4	301	10000	10000
27	2141	4	3	100	100
28	2141	4	11	100	100
29	2141	4	1	2000	2500
30	2151	4	301	15000	15000
31	2151	4	3	100	100
32	2151	4	11	150	150
33	2151	4	13	300	300
34	2151	4	315	200	200
35	2160	4	301	20000	20000
36	2160	4	3	150	150
37	2160	4	11	300	300
38	2170	4	301	30000	30000
39	2170	4	3	200	200
40	2170	4	11	300	300
41	2170	4	13	300	300
42	2170	4	315	300	300
43	2241	4	301	10000	10000
44	2241	4	3	100	100
45	2241	4	11	100	100
46	2241	4	1	2000	2500
47	2251	4	301	15000	15000
48	2251	4	3	100	100
49	2251	4	11	150	150
50	2251	4	314	200	200
51	2251	4	315	200	200
52	2260	4	301	20000	20000
53	2260	4	3	150	150
54	2260	4	11	300	300
55	2270	4	301	30000	30000
56	2270	4	3	200	200
57	2270	4	11	300	300
58	2270	4	314	300	300
59	2270	4	315	300	300
60	2341	4	301	10000	10000
61	2341	4	3	100	100
62	2341	4	11	100	100
63	2341	4	1	2000	2500
64	2351	4	301	15000	15000
65	2351	4	3	100	100
66	2351	4	11	150	150
67	2351	4	314	200	200
68	2351	4	315	200	200
69	2360	4	301	20000	20000
70	2360	4	3	150	150
71	2360	4	11	300	300
72	2370	4	301	30000	30000
73	2370	4	3	200	200
74	2370	4	11	300	300
75	2370	4	314	300	300
76	2370	4	315	300	300
77	2441	4	301	10000	10000
78	2441	4	3	100	100
79	2441	4	11	100	100
80	2441	4	313	500	500
81	2451	4	301	15000	15000
82	2451	4	3	100	100
83	2451	4	11	150	150
84	2451	4	313	500	500
85	2451	4	314	200	200
86	2460	4	301	20000	20000
87	2460	4	3	150	150
88	2460	4	11	300	300
89	2460	4	313	500	500
90	2470	4	301	30000	30000
91	2470	4	3	200	200
92	2470	4	11	300	300
93	2470	4	313	500	500
94	2470	4	314	300	300
95	2470	4	331	2000	2000
96	2541	4	301	10000	10000
97	2541	4	3	100	100
98	2541	4	11	100	100
99	2541	4	312	600	600
100	2551	4	301	15000	15000
101	2551	4	3	100	100
102	2551	4	11	150	150
103	2551	4	312	600	600
104	2551	4	314	200	200
105	2560	4	301	20000	20000
106	2560	4	3	150	150
107	2560	4	11	300	300
108	2560	4	312	600	600
109	2570	4	301	30000	30000
110	2570	4	3	200	200
111	2570	4	11	300	300
112	2570	4	312	600	600
113	2570	4	314	300	300
114	2570	4	331	2000	2000
115	3110	2	301	5000	5000
116	3120	2	301	5000	5000
117	3130	2	301	8000	8000
118	3140	4	301	12000	12000
119	3140	4	3	50	50
120	3140	4	13	100	100
121	3140	4	331	1000	1000
122	3150	4	301	16000	16000
123	3150	4	3	100	100
124	3150	4	13	100	100
125	3150	4	331	1000	1000
126	3160	4	301	20000	20000
127	3160	4	3	150	150
128	3160	4	13	300	300
129	3160	4	51	600	600
130	3170	4	301	30000	30000
131	3170	4	3	200	200
132	3170	4	13	300	300
133	3170	4	332	500	500
134	3180	4	301	40000	40000
135	3180	4	3	300	300
136	3180	4	13	300	300
137	3180	4	332	500	500
138	4110	2	301	6000	6000
139	4120	2	301	6000	6000
140	4130	2	301	9000	9000
141	4140	4	301	12000	12000
142	4140	4	3	50	50
143	4140	4	13	100	100
144	4140	4	331	2000	2000
145	4150	4	301	15000	15000
146	4150	4	3	100	100
147	4150	4	13	100	100
148	4150	4	331	2000	2000
149	4160	4	301	20000	20000
150	4160	4	3	150	150
151	4160	4	13	300	300
152	4160	4	51	600	600
153	4170	4	301	30000	30000
154	4170	4	3	200	200
155	4170	4	13	300	300
156	4170	4	51	600	600
157	4180	4	301	40000	40000
158	4180	4	3	300	300
159	4180	4	13	300	300
160	4180	4	332	600	600
161	4190	4	301	50000	50000
162	4190	4	3	300	300
163	4190	4	13	300	300
164	4190	4	332	600	600
